"GYS1","RIK2","KML3","NUR4","BSP5","QIE6","QVK7","Output22","MQC8","GYI9","NXZ10","IEF11","YXO12"
"N",5.316,79.172,34.039,20,"F",32.739,"Class3",41.537,NA,62.985,24.55,64
"H",47.503,25.588,39.325,67,"I",12.151,"Class1",4.025,74.024,75.374,27.097,40
"M",2.877,57.79,28.398,41,"D",17.948,"Class3",28.068,NA,31.094,40.036,32
"K",50.684,37.348,90.725,11,"T",55.444,"Class2",47.7,80.433,36.083,82.223,33
"M",68.651,57.516,17.58,54,"S",77.577,"Class4",87.564,32.104,72.667,88.751,56
"T",53.605,75.306,40.635,69,"N",9.722,"Class1",12.002,51.585,76.2,29.558,34
"C",5.641,NA,27.261,22,"F",42.401,"Class3",40.331,19.832,54.582,78.352,28
"F",9.207,53.678,33.969,83,"F",42.936,"Class3",65.563,20.851,55.4,24.269,31
"N",2.497,30.485,46.847,51,"D",25.246,"Class3",15.191,19.76,65.75,79.471,48
"T",43.022,36.574,27.135,38,"H",90.266,"Class2",46.016,50.862,38.863,83.637,36
"H",51.395,82.061,39.114,61,"N",8.454,"Class1",3.816,46.411,77.063,20.48,36
"O",5.831,75.093,43.645,86,"C",32.802,"Class3",75.016,21.425,64.002,34.809,46
"M",5.456,56.778,26.537,32,"Z",23.339,"Class3",57.015,24.761,83.172,51.058,26
"U",49.381,37.897,42.094,51,"O",64.664,"Class2",46.198,39.262,40.507,83.611,22
"P",78.266,70.565,12.95,71,"S",51.53,"Class4",72.906,32.262,62.924,72.45,48
"T",47.547,34.125,70.484,19,"O",50.678,"Class2",47.277,NA,36.005,82.063,24
"E",47.48,36.225,44.727,37,"H",64.722,"Class2",46.814,68.195,39.548,84.494,35
"R",44.73,35.681,80.036,34,"O",62.965,"Class2",46.293,68.955,38.481,82.939,38
"F",3.447,52.591,38.041,7,"C",28.974,"Class3",56.332,19.468,78.507,39.4,30
"U",102.702,78.623,12.941,72,"A",101.398,"Class4",56.309,32.521,69.949,70.42,71
"T",24.815,NA,39.503,64,"W",16.447,"Class1",12.22,47.414,75.624,26.085,41
"O",3.401,70.418,37.458,70,"Z",12.875,"Class3",66.24,23.46,85.665,60.233,50
"K",49.391,33.226,47.723,31,"U",57.703,"Class2",47.282,38.894,38.343,84.075,26
"R",50.159,NA,78.93,70,"C",81.348,"Class2",47.146,49.353,38.933,82.209,33
"R",53.784,37.45,38.972,75,"T",77.298,"Class2",47.033,52.262,35.816,84.346,38
"T",50.827,34.746,75.06,11,"O",58.105,"Class2",47.147,53.488,38.287,84.473,22
"T",50.224,37.58,47.614,34,"C",61.228,"Class2",46.851,64.61,42.84,83.912,24
"C",6.589,60.424,45.692,12,"F",49.781,"Class3",52.789,20.089,69.615,26.948,64
"T",51.782,35.785,41.516,75,"H",55.481,"Class2",47.318,80.465,37.624,84.666,26
"H",33.266,61.846,40.057,69,"I",12.824,"Class1",12.633,75.171,75.789,25.39,36
"Z",75.446,NA,13.814,37,"A",44.512,"Class4",60.569,NA,74.322,88.57,80
"N",4.841,NA,34.288,18,"R",28.639,"Class3",47.056,21.711,83.787,44.815,69
"U",48.735,86.916,10.224,54,"S",70.901,"Class4",66.19,32.268,56.774,80.709,59
"F",4.44,61.563,32.381,78,"Z",5.604,"Class3",31.873,21.485,87.996,43.863,59
"F",2.632,63.635,38.113,78,"C",52.556,"Class3",64.249,24.398,63.257,38.223,61
"M",5.51,51.366,39.096,17,"R",19.053,"Class3",9.854,20.137,92.305,34.364,38
"C",4.414,72.989,34.936,71,"C",30.606,"Class3",32.841,20.898,67.545,69.593,30
"W",39.776,64.941,40.679,63,"W",14.289,"Class1",4.002,46.228,74.056,21.4,2
"R",14.038,36.73,39.729,61,"O",18.162,"Class1",9.556,54.474,76.457,23.232,10
"T",49.164,36.175,82.301,29,"O",100.754,"Class2",46.055,47.756,38.563,84.402,23
"M",1.258,32.244,27.226,87,"F",30.58,"Class3",52.406,22.975,53.4,21.464,50
"W",28.602,57.951,40.701,61,"N",17.153,"Class1",3.373,76.815,74.131,23.164,32
"T",44.455,36.156,57.75,53,"O",57.905,"Class2",47.014,72.267,39.993,82.521,34
"M",2.863,39.57,31.698,37,"Z",22.082,"Class3",15.676,19.576,74.755,23.155,39
"K",51.714,37.351,58.526,11,"H",65.945,"Class2",47.971,54.997,35.921,82.899,32
"N",7.115,53.507,26.432,32,"R",11.936,"Class3",32.941,23.926,74.845,78.017,47
"U",51.043,34.766,41.067,20,"O",60.424,"Class2",46.531,77.172,36.835,83.051,27
"C",7.015,51.464,31.206,59,"F",40.449,"Class3",5.606,21.699,49.549,44.464,47
"M",79.979,87.348,13.316,77,"Y",55.577,"Class4",73.948,32.047,54.132,75.069,75
"U",73.672,73.807,16.478,39,"Y",106.361,"Class4",80.899,32.037,68.922,89.082,74
"O",7.328,70.703,38.782,30,"Z",22.938,"Class3",9.284,24.183,74.391,28.472,66
"F",2.63,68.255,33.035,86,"D",5.787,"Class3",50.558,20.991,46.993,22.09,35
"T",34.638,27.757,39.707,60,"N",17.672,"Class1",11.525,68.602,75.865,17.734,34
"U",76.215,82.591,15.078,73,"A",72.666,"Class4",92.512,NA,87.938,85.56,78
"R",60.615,42.209,38.87,60,"N",12.545,"Class1",9.574,63.095,76.689,25.612,37
"Z",45.727,60.284,10.378,68,"N",55.045,"Class4",79.679,32.136,65.757,76.348,71
"P",105.864,78.127,12.105,39,"S",76.013,"Class4",92.872,32.298,52.812,72.799,73
"K",51.713,34.978,43.417,41,"T",50.59,"Class2",46.323,78.443,38.518,82.217,36
"S",82.023,86.704,17.224,43,"D",50.93,"Class4",58.332,32.345,77.169,82.926,87
"N",4.299,NA,42.521,39,"F",9.86,"Class3",36.934,20.197,103.735,51.779,49
"N",6.504,54.386,27.268,24,"Z",45.84,"Class3",9.822,22.472,88.343,42.445,58
"W",35.07,26.947,39.715,69,"Z",12.116,"Class1",5.806,57.106,75.103,28.193,38
"T",47.862,38.457,93.844,66,"O",72.008,"Class2",47.708,49.033,39.605,83.722,32
"K",46.806,35.408,12.205,25,"T",46.683,"Class2",46.598,NA,38.449,83.222,20
"R",26.14,52.507,38.874,59,"W",21.551,"Class1",10.647,45.483,74.875,23.852,36
"Z",81.643,77.722,15.223,63,"A",88.217,"Class4",82.815,32.962,71.496,89.366,64
"W",27.691,56.33,39.761,68,"O",11.662,"Class1",4.583,64,76.05,19.529,39
"I",40.375,51.472,40.881,68,"N",13.833,"Class1",10.286,46.074,75.839,21.042,20
"U",53.669,NA,55.277,40,"H",63.625,"Class2",46.502,66.022,38.825,82.204,27
"U",81.531,92.265,15.798,48,"D",44.853,"Class4",89.444,32.241,65.867,72.955,54
"Z",83.121,64.351,9.433,58,"D",68.49,"Class4",71.304,32.421,50.024,79.026,81
"T",53.913,34.55,19.07,19,"T",71.399,"Class2",46.843,84.63,38.685,82.757,27
"T",31.771,69.647,39.836,61,"Z",7.855,"Class1",9.353,49.389,74.256,17.235,24
"N",7.833,38.375,27.306,52,"R",9.094,"Class3",50.878,21.162,24.014,78.866,48
"M",102.962,93.836,14.505,54,"N",82.555,"Class4",67.729,32.652,59.9,71.932,48
"T",61.712,38.97,40.379,59,"I",19.278,"Class1",5.587,55.498,75.544,29.44,18
"M",71.682,67.911,8.169,44,"S",88.649,"Class4",69.741,32.725,65.593,78.014,82
"O",7.39,33.019,43.024,52,"D",13.785,"Class3",71.859,NA,38.227,42.006,45
"Z",42.79,69.134,14.093,41,"S",82.792,"Class4",58.794,32.857,68.386,88.771,50
"M",65.749,69.11,10.252,66,"Y",17.373,"Class4",55.17,32.917,66.287,75.717,58
"S",75.532,74.112,10.83,58,"A",48.536,"Class4",55.989,32.218,92.135,84.396,69
"F",5.933,35.766,33.996,45,"C",18.996,"Class3",50.598,23.191,81.037,16.921,47
"W",19.506,34.104,38.46,65,"Z",11.083,"Class1",4.53,67.668,76.731,31.103,25
"K",50.83,35.621,14.503,21,"T",52.229,"Class2",46.537,76.311,39.118,83.083,30
"U",47.92,37.994,89.565,18,"T",36.047,"Class2",46.167,NA,37.031,82.933,26
"W",50.93,23.249,40.879,67,"O",8.814,"Class1",14.917,52.729,75.019,24.631,20
"K",44.487,37.265,27.242,42,"U",48.548,"Class2",46.26,43.779,39.436,82.738,37
"P",70.21,78.493,9.506,58,"A",57.875,"Class4",68.477,32.793,67.845,80.763,75
"P",71.746,NA,7.458,58,"N",57.657,"Class4",65.271,32.22,57.209,76.295,85
"S",70.874,82.003,14.421,54,"S",40.084,"Class4",72.508,32.07,56.285,80.793,61
"T",59.575,31.559,38.214,53,"T",50.847,"Class2",46.254,43.498,39.891,83.116,22
"H",17.833,NA,40.471,64,"N",13.498,"Class1",12.769,59.124,74.356,20.327,29
"T",26.438,28.882,38.388,63,"N",14.191,"Class1",5.703,52.334,74.659,26.559,36
"T",28.935,60.404,39.249,68,"N",13.187,"Class1",11.243,NA,75.62,30.732,4
"O",4.59,68.548,44.77,13,"R",37.289,"Class3",56.193,20.095,35.174,77.125,27
"W",35.652,40.769,38.729,68,"O",10.723,"Class1",10.058,61.155,75.443,21.12,16
"W",62.707,70.105,39.21,64,"O",11.168,"Class1",12.09,49.9,78.17,17.465,3
"K",53.789,33.582,27.752,78,"C",61.519,"Class2",46.49,68.444,38.499,82.204,26
"K",47.455,36.02,18.988,42,"U",59.242,"Class2",46.924,80.432,38.694,82.555,26
"T",48.014,36.719,30.195,40,"O",52.87,"Class2",47.585,51.332,35.036,83.587,29
"W",29.917,55.884,38.004,68,"Z",12.188,"Class1",3.945,64.225,75.463,30.539,21
"U",49.447,33.918,35.659,54,"C",64.28,"Class2",47.948,56.117,42.354,84.912,36
"Z",81.143,74.407,11.39,58,"Y",83.197,"Class4",58.366,32.933,66.893,79.798,77
"T",34.669,35.945,40.135,64,"O",17.685,"Class1",7.537,67.514,75.892,22.423,38
"W",37.129,72.908,38.926,61,"O",17.933,"Class1",6.098,54.51,75.128,26.871,28
"M",35.61,74.231,11.672,74,"Y",85.671,"Class4",55.9,32.877,78.611,88.467,53
"S",65.574,NA,15.031,39,"N",44.471,"Class4",72.92,32.632,55.782,85.301,79
"N",4.958,61.571,34.049,45,"F",44.792,"Class3",67.536,19.78,59.208,40.463,62
"T",27.32,57.135,39.364,64,"N",22.213,"Class1",6.065,65.733,75.792,27.918,45
"T",50.218,36.064,28.79,66,"U",75.527,"Class2",46.443,42.359,36.71,83.537,21
"K",49.869,38.598,31.902,59,"T",68.695,"Class2",47.386,NA,40.416,82.279,29
"R",47.588,26.727,39.989,69,"Z",16.988,"Class1",8.701,54.808,75.436,23.104,22
"W",37.488,36.99,40.034,60,"W",7.979,"Class1",8.544,60.417,75.524,29.578,16
"K",52.255,34.176,20.48,77,"H",92.732,"Class2",47.232,81.552,41.025,82.374,29
"E",53.355,33.824,44.6,27,"T",69.994,"Class2",47.618,69.559,36.73,82.148,31
"W",38.409,44.791,40.733,61,"Z",16.331,"Class1",8.135,46.021,77.731,20.005,26
"K",49.282,NA,27.067,16,"T",57.541,"Class2",46.01,NA,38.314,82.995,25
"C",1.872,36.18,40.672,52,"Z",43.261,"Class3",55.407,24.179,98.973,38.911,37
"N",3.951,68.278,33.395,31,"D",22.61,"Class3",21.639,24.809,103.684,33.363,38
"F",5.728,67.231,35.742,84,"R",16.918,"Class3",40.85,23.443,66.957,38.113,64
"W",45.7,9.537,39.887,68,"W",16.03,"Class1",11.535,NA,75.364,18.011,3
"Z",91.122,78.581,14.918,70,"N",49.647,"Class4",62.741,32.951,70.28,80.89,68
"Z",85.086,59.453,15.089,39,"Y",60.747,"Class4",59.712,32.647,70.36,69.333,74
"O",4.611,57.327,40.848,31,"Z",38.098,"Class3",31.127,19.409,98.225,64.494,25
"K",55.609,33.784,56.548,16,"O",72.995,"Class2",47.898,60.25,39.144,84.536,20
"T",66.787,6.706,40.888,62,"W",11.406,"Class1",14.362,68.001,75.926,20.573,24
"R",36.538,32.022,38.524,60,"W",13.702,"Class1",11.998,69.203,74.548,21.187,32
"U",71.512,76.966,8.835,58,"D",44.865,"Class4",62.964,32.582,61.947,85.892,55
"S",77.129,80.139,8.647,39,"A",68.356,"Class4",80.11,32.535,80.351,79.555,69
"Z",54.496,87.494,16.606,68,"S",87.691,"Class4",59.82,32.91,68.397,87.386,53
"S",37.634,82.253,13.143,49,"Y",71.741,"Class4",83.446,32.542,68.129,77.842,55
"U",51.94,63.951,17.183,54,"D",67.349,"Class4",75.655,32.451,67.184,70.585,76
"Z",40.038,77.092,12.078,73,"A",84.902,"Class4",81.523,32.267,69.59,74.439,66
"T",28.865,49.864,39.327,62,"I",16.357,"Class1",11.871,54.561,74.57,23.371,4
"S",41.103,66.29,10.895,63,"Y",106.887,"Class4",68.555,32.984,67.498,87.229,74
"W",43.511,56.74,40.147,68,"Z",11.485,"Class1",9.352,58.951,75.325,23.496,35
"U",54.062,35.091,32.071,24,"H",86.319,"Class2",47.493,60.445,38.813,84.501,35
"W",62.219,55.677,38.246,61,"I",15.819,"Class1",9.955,47.802,74.612,30.63,30
"U",49.069,35.094,54.43,28,"O",63.092,"Class2",47.47,51.854,37.963,84.743,35
"P",81.073,69.734,16.102,56,"Y",74.052,"Class4",66.517,32.256,61.584,84.067,49
"R",38.759,23.015,39.551,68,"Z",14.678,"Class1",6.136,71.37,76.072,30.825,30
"E",57.003,33.725,19.313,78,"O",71.394,"Class2",46.395,71.324,37.744,83.379,30
"H",38.83,40.068,39.988,66,"I",11.988,"Class1",3.865,49.377,75.29,30.878,41
"R",51.657,48.188,40.277,66,"N",17.188,"Class1",9.842,68.671,75.001,22.79,45
"C",5.901,46.311,40.233,83,"D",29.273,"Class3",2.778,19.67,82.627,42.879,26
"M",10.777,60.466,39.493,65,"Z",15.063,"Class3",47.716,21.289,65.694,71.868,46
"O",4.201,74.611,46.599,65,"F",18.91,"Class3",12.748,NA,54.629,65.487,60
"I",42.99,42.595,40.064,59,"W",17.402,"Class1",4.902,43.194,75.658,28.883,5
"P",33.487,63.51,14.416,45,"Y",16.075,"Class4",62.846,32.737,73.823,76.759,80
"R",56.848,32.444,39.004,60,"N",18.403,"Class1",7.744,62.508,74.897,17.792,33
"Z",62.274,72.705,10.013,71,"D",66.569,"Class4",64.477,32.779,78.425,73.159,63
"P",83.674,70.926,17.331,38,"N",78.429,"Class4",64.567,32.177,71.505,76.601,60
"I",55.305,45.691,40.868,65,"I",15.312,"Class1",8.689,55.013,75.535,19.678,18
"M",51.556,64.939,16.959,45,"D",75.946,"Class4",66.285,32.391,56.184,83.913,78
"W",50.424,20.654,38.612,69,"Z",8.647,"Class1",10.498,54.492,76.056,17.068,20
"O",9.513,39.367,35.747,38,"D",25.602,"Class3",27.708,22.357,52.166,59.779,43
"T",33.621,61.533,40.548,64,"I",10.475,"Class1",10.038,56.395,74.43,21.638,13
"S",77.258,72.645,12.133,50,"Y",50.404,"Class4",71.675,32.495,57.381,84.519,64
"U",73.518,NA,9.673,65,"D",119.207,"Class4",60.46,32.153,74.435,72.971,83
"R",49.056,36.33,36.052,66,"H",38.108,"Class2",47.346,39.493,37.405,82.8,37
"U",55.232,35.086,32.368,44,"C",75.47,"Class2",47.542,59.82,40.911,83.265,36
"E",51.752,37.924,37.408,25,"C",77.417,"Class2",47.252,41.653,37.937,83.551,20
"I",22.607,31.571,40.175,69,"W",12.284,"Class1",8.093,75.755,75.729,29.302,33
