"PVT1","EWU2","YVT3","XIU4","VWP5","TGF6","WGR7","OEX8","EBD9","JXG10","XGE11","Output7"
"H",29.323,43.215,19.298,45.172,19.813,75.778,3,"G",59.426,92.471,"Class3"
"J",76.293,72.064,15.145,44.715,71.308,61.256,86,"W",81.076,94.929,"Class2"
"D",23.454,17.279,79.149,39.39,33.83,41.802,8,"A",27.567,79.5,"Class1"
"D",22.476,19.444,78.138,58.879,31.956,61.758,NA,"T",30.518,76.116,"Class1"
"J",71.54,69.16,1.878,30.916,78.179,66.439,90,"W",96,54.125,"Class2"
"L",27.122,24.888,24.977,27.402,27.393,69.466,4,"G",59.917,86.258,"Class3"
"J",69.205,72.481,7.809,32.482,65.232,59.487,79,"Q",90.508,8.337,"Class2"
"P",24.637,18.486,105.573,55.946,31.79,20.646,23,"S",13.824,60.146,"Class1"
"X",22.71,17.783,86.406,57.143,31.348,42.319,16,"E",12.596,78.386,"Class1"
"C",70.205,67.175,35.331,13.785,66.767,65.589,61,"Q",80.764,34.868,"Class2"
"C",76.13,63.235,34.676,25.926,81.033,63.051,70,"W",96.163,70.849,"Class2"
"Y",22.084,18.559,68.809,41.393,32.719,18.902,12,"T",25.142,80.767,"Class1"
"D",23.091,19.124,88.554,51.474,32.292,-6.528,10,"U",36.245,67.681,"Class1"
"Y",17.539,17.485,83.945,41.865,32.27,17.628,15,"E",27.558,43.364,"Class1"
"V",22.571,17.692,77.955,45.331,32.757,16.185,9,"E",2.541,58.028,"Class1"
"F",29.063,26.45,13.248,38.725,19.992,68.835,3,"D",55.521,92.368,"Class3"
NA,28.225,23.677,18.261,62.217,21.154,69.171,3,"E",58.675,89.106,"Class3"
"L",21.591,23.848,15.982,71.522,22.752,75.623,3,"D",55.877,84.447,"Class3"
"W",70.207,67.05,0.439,23.289,64.304,79.992,52,"W",89.531,71.484,"Class2"
"L",22.004,44.598,20.431,35.246,21.608,65.059,3,"E",59.53,91.092,"Class3"
"Y",18.622,19.558,94.529,49.511,33.208,5.341,14,"S",10.622,63.811,"Class1"
"F",28.37,28.226,29.166,72.739,21.276,76.938,2,"E",54.88,87.566,"Class3"
"L",21.323,37.633,27.748,39.624,20.465,71.821,3,"O",58.185,82.467,"Class3"
NA,18.818,48.572,23.973,45.54,12.152,66.122,3,"S",58.748,90.876,"Class3"
"O",36.243,28.631,23.465,75.523,21.396,71.448,4,"E",56,88.06,"Class3"
"V",19.981,18.296,87.494,58.458,30.992,-4.428,25,"S",27.111,55.865,"Class1"
"W",73.12,69.033,24.197,50.297,84.378,69.072,72,"Q",82.805,66.101,"Class2"
"O",19.115,38.217,12.015,81.77,14.521,68.945,4,"O",57.406,83.379,"Class3"
"P",20.278,18.034,77.77,50.233,31.702,22.859,15,"T",31.357,61.105,"Class1"
NA,76.81,69.586,36.774,25.416,72.308,65.594,78,"Y",90.574,42.418,"Class2"
"V",18.237,19.059,96.825,69.929,32.746,34.018,12,"U",10.381,61.241,"Class1"
"O",24.951,40.462,16.959,40.513,18.272,71.473,4,"O",58.139,82.815,"Class3"
"V",22.032,18.214,78.405,38.156,31.883,2.126,5,"S",0.103,54.171,"Class1"
"P",23.903,19.987,86.109,46.622,30.253,25.582,21,"S",8.053,66.083,"Class1"
"D",28.382,17.356,87.816,53.446,31.964,27.552,8,"T",18.477,48.615,"Class1"
"C",75.568,73.647,25.372,25.495,54.346,74.163,79,"W",64.088,97.221,"Class2"
"J",69.642,72.455,32.024,14.74,65.842,62.309,58,"Y",99.582,42.248,"Class2"
"X",19.305,18.324,96.983,37.999,32.208,23.308,3,"S",16.946,73.583,"Class1"
"H",22.971,25.15,7.884,66.687,10.626,69.19,2,"G",54.637,84.812,"Class3"
"P",75.521,69.147,14.42,33.163,64.946,75.895,87,"W",83.089,27.84,"Class2"
"H",14.09,32.997,11.388,35.305,14.566,71.458,4,"G",53.815,81.384,"Class3"
"J",72.169,64.642,30.082,13.229,54.052,51.201,61,"W",92.521,6.777,"Class2"
"C",70.253,69.745,14.648,57.151,69.193,53.045,86,"E",98.748,15.134,"Class2"
"J",75.323,66.987,26.742,37.553,79.011,63.585,54,"Q",82.282,97.755,"Class2"
"J",68.562,64.769,23.342,16.097,77.052,64.255,57,"T",84.499,35.358,"Class2"
"W",73.203,71.461,9.009,47.36,54.795,77.714,81,"T",68.841,37.796,"Class2"
"P",19.47,19.287,91.851,51.834,32.296,33.015,14,"A",8.137,50.418,"Class1"
"G",27.646,45.081,9.607,84.441,19.625,69.618,4,"G",62.004,92.53,"Class3"
"J",78.167,66.618,-0.366,42.038,67.66,71.584,61,"E",97.376,84.602,"Class2"
"M",72.509,65.984,16.231,45.068,76.556,53.279,84,"Q",85.921,59.084,"Class2"
"P",73.54,68.136,28.877,55.025,62.652,67.382,75,"W",93.46,89.315,"Class2"
"P",76.675,65.858,21.241,19.913,46.466,71.425,65,"Y",81.436,89.757,"Class2"
NA,25.65,26.397,21.469,81.277,16.164,69.511,3,"O",57.062,91.004,"Class3"
"X",17.295,18.758,87.732,65.463,32.253,30.914,15,"S",34.701,70.24,"Class1"
"X",27.697,19.392,76.047,68.305,32.475,30.31,8,"S",20.693,83.548,"Class1"
"Y",18.664,17.915,98.47,62.318,32.198,29.431,7,"E",26.889,65.899,"Class1"
"P",21.446,19.527,85.988,55.809,31.335,11.155,7,"T",11.835,53.513,"Class1"
"D",24.073,19.109,88.103,38.403,32.158,35.069,19,"E",27.643,52.608,"Class1"
"G",27.108,22.536,11.857,26.135,24.3,73.084,2,"O",60.134,88.463,"Class3"
"G",28.846,37.275,4.71,79.365,21.275,75.68,2,"S",60.615,90.076,"Class3"
"P",74.141,65.948,17.705,40.664,52.781,66.386,84,"Q",95.339,93.808,"Class2"
"C",75.398,63.331,39.44,49.753,77.588,62.991,82,"W",97.743,77.919,"Class2"
NA,77.511,66.43,4.125,49.412,47.809,75.349,88,"Q",92.06,60.052,"Class2"
"X",23.318,18.463,79.438,61.281,32.265,10.583,25,"U",13.553,65.471,"Class1"
"C",73.223,64.535,36.536,47.736,43.275,76.697,62,"W",96.306,83.457,"Class2"
"L",26.822,46.036,18.558,30.903,17.616,67.952,NA,"G",53.07,84.068,"Class3"
"J",72.196,66.836,18.031,50.153,81.897,72.785,65,"Y",64.84,73.913,"Class2"
"H",30.553,33.389,8.374,57.417,14.185,72.559,4,"D",56.303,86.854,"Class3"
"P",71.078,72.2,4.298,19.888,65.64,82.122,69,"T",85.362,5.862,"Class2"
"X",25.665,17.288,72.332,47.186,31.86,27.156,NA,"E",36.718,77.61,"Class1"
"Y",22.129,17.589,88.633,52.406,32.168,31.75,NA,"S",27.26,73.392,"Class1"
"H",21.761,27.919,14.322,57.417,18.024,74.264,4,"D",53.063,92.455,"Class3"
"H",15.607,28.567,26.138,76.945,21.179,74.393,3,"O",63.855,88.609,"Class3"
"G",21.973,22.706,13.57,38.759,15.762,70.806,3,"G",60.297,91.609,"Class3"
NA,19.183,17.828,71.821,56.918,32.526,24.27,21,"T",2.341,63.462,"Class1"
"P",23.955,17.852,87.999,36.167,33.248,33.473,21,"S",13.142,67.883,"Class1"
"P",70.233,67.29,23.125,31.112,65.659,67.886,83,"T",71.583,33.573,"Class2"
"Y",22.447,19.496,71.788,45.412,32.605,21.332,21,"A",31.117,44.015,"Class1"
"J",76.746,70.659,41.875,21.038,61.918,54.676,70,"Q",82.193,13.673,"Class2"
"P",76.908,66.342,26.573,38.074,64.87,66.015,52,"W",90.214,60.335,"Class2"
"G",33.071,33.771,17.352,50.395,16.804,71.059,3,"E",56.605,91.61,"Class3"
"O",29.158,32.421,19.581,41.267,19.852,69.062,2,"D",55.917,86.539,"Class3"
"L",31.808,24.19,18.976,26.491,22.442,75.033,2,"S",60.496,81.097,"Class3"
"D",22.836,19.294,76.409,71.959,31.551,2.327,25,"A",4.485,70.657,"Class1"
NA,18.51,31.614,15.682,62.371,26.537,70.025,2,"E",58.27,86.722,"Class3"
"Y",26.33,18.406,83.631,64.69,31.33,30.879,20,"T",11.552,55.24,"Class1"
"J",69.267,63.681,22.965,51.697,63.99,71.322,71,"Y",97.642,19.591,"Class2"
"D",22.337,17.44,81.263,49.19,31.207,13.948,5,"S",1.452,69.557,"Class1"
"C",70.269,65.182,23.741,24.523,71.557,66.228,79,"T",75.587,22.842,"Class2"
"D",24.954,18.707,88.942,42.497,33.093,35.641,12,"U",5.702,53.939,"Class1"
"M",76.9,66.237,36.832,46.162,54.123,75.42,89,"W",78.839,34.232,"Class2"
"X",21.73,17.889,92.955,43.617,32.002,33.414,16,"U",29.732,61.356,"Class1"
"M",71.582,73.688,23.632,30.561,93.12,52.828,83,"T",82.413,58.858,"Class2"
"M",75.633,63.862,30.529,31.04,82.868,71.578,75,"Y",93.532,29.912,"Class2"
"M",79.614,65.52,17.91,56.329,92.052,62.738,87,"W",78.318,94.93,"Class2"
"M",74.069,64.447,30.456,18.124,97.572,61.75,75,"E",94.588,86.137,"Class2"
"J",65.334,69.943,35.186,42.183,100.485,68.739,65,"W",73.013,16.591,"Class2"
"L",19.87,43.229,23.401,78.987,14.886,73.157,4,"D",56.516,92.479,"Class3"
"D",24.1,19.171,83.582,71.639,31.12,56.809,20,"E",9.043,57.242,"Class1"
"P",18.169,18.031,69.937,38.69,33.29,-3.636,12,"S",10.412,45.579,"Class1"
"V",23.263,18.014,84.405,50.045,31.998,14.137,20,"A",23.216,60.852,"Class1"
"C",66.921,69.242,5.944,55.567,54.428,54.461,78,"E",99.344,44.425,"Class2"
"C",70.184,72.823,28.107,23.579,71.995,68.225,73,"T",74.772,59.539,"Class2"
"X",24.342,17.912,82.142,61.403,31.638,29.895,7,"U",21.023,83.321,"Class1"
"V",22.871,17.031,88.236,60.847,30.976,11.022,20,"U",36.518,62.879,"Class1"
"D",20.307,19.091,80.995,58.588,32.632,25.93,9,"U",30.45,60.631,"Class1"
"H",18.545,46.268,18.039,43.967,18.367,70.711,4,"G",54.988,91.888,"Class3"
"F",31.033,25.769,12.289,70.477,24.483,67.766,4,"D",57.279,84.756,"Class3"
"P",20.261,17.013,92.476,66.486,33.945,30.957,22,"T",33.873,84.156,"Class1"
"X",23.828,18.303,91.216,41.121,32.16,42.402,22,"U",28.259,71.321,"Class1"
"W",74.633,66.058,24.615,42.922,74.433,60.758,91,"T",94.263,16.964,"Class2"
"H",24.398,23.771,17.639,63.061,24.004,69.489,4,"S",54.733,91.102,"Class3"
"V",24.407,17.793,98.616,63.79,31.252,21.965,NA,"U",10.939,81.19,"Class1"
"C",76.524,69.754,17.813,53.704,53.068,57.93,77,"T",65.261,90.366,"Class2"
"O",26.011,39.52,16.244,76.322,13.978,71.739,3,"G",60.407,84.054,"Class3"
"G",27.327,26.029,20.526,81.326,18.165,66.073,2,"E",60.295,81.924,"Class3"
"F",35.037,47.356,18.803,26.239,22.906,71.096,2,"G",53.842,83.555,"Class3"
"M",67.145,72.136,18.837,12.695,60.509,73.175,55,"T",67.405,37.372,"Class2"
"H",24.512,27.316,16.35,53.206,17.502,66.703,2,"D",62.763,84.653,"Class3"
"J",73.95,65.936,25.451,36.308,79.694,76.861,61,"Y",77.767,14.248,"Class2"
"P",70.941,63.293,37.967,51.367,85.307,63.529,NA,"W",64.427,79.161,"Class2"
"C",70.323,73.642,37.045,54.191,70.012,75.468,86,"W",95.164,75.851,"Class2"
"V",25.379,19.949,76.44,40.86,30.81,38.183,5,"T",19.95,47.355,"Class1"
"F",18.016,41.214,17.218,67.315,20.541,72.492,3,"D",58.704,92.024,"Class3"
NA,29.259,42.273,21.861,73.299,20.992,68.943,2,"E",53.364,88.678,"Class3"
"W",70.933,65.501,16.979,16.143,73.203,57.184,74,"E",68.107,14.759,"Class2"
"G",21.27,28.2,16.826,47.503,19.834,74.376,2,"G",63.371,92.921,"Class3"
"Y",19.24,19.651,91.278,55.529,31.476,27.621,13,"U",24.702,53.389,"Class1"
"F",29.579,25.522,16.267,51.139,18.67,70.266,3,"G",63.839,86.321,"Class3"
"M",71.441,63.846,50.067,43.643,81.516,64.227,83,"T",78.938,99.074,"Class2"
"G",26.87,22.79,15.143,44.993,12.586,65.284,2,"D",61.164,91.485,"Class3"
"F",29.788,49.128,27.719,84.461,22.628,68.579,2,"D",62.437,82.579,"Class3"
"F",10.542,46.603,3.925,61.999,27.637,69.876,3,"O",54.777,86.083,"Class3"
"O",26.935,29.015,17.977,32.788,20.262,72.095,NA,"S",60.819,87.984,"Class3"
"H",18.283,49.91,11.646,46.036,19.34,72.806,4,"D",54.615,88.961,"Class3"
"J",72.096,64.733,14.379,13.399,58.283,64.226,75,"Y",66.909,43.981,"Class2"
"P",21.893,18.552,70.011,59.216,30.757,16.985,25,"T",25.86,79.074,"Class1"
"M",83.081,65.914,37.774,48.005,63.655,56.021,63,"T",98.826,24.189,"Class2"
"O",28.373,28.649,19.511,50.071,12.042,67.262,2,"O",59.781,87.918,"Class3"
"P",72.533,66.421,30.182,57.666,50.8,71.096,74,"T",63.15,10.527,"Class2"
"M",78.226,65.168,16.648,33.478,81.544,60.706,69,"Y",82.36,79.66,"Class2"
"Y",23.004,17.346,86.449,56.735,30.807,11.533,18,"S",9.332,70.786,"Class1"
"L",32.488,37.395,14.371,79.026,28.542,69.455,3,"O",58.228,83.35,"Class3"
"G",27.799,33.911,21.095,63.394,24.512,76.509,4,"D",58.121,84.469,"Class3"
"Y",19.703,18.444,85.138,54.636,31.556,16.981,NA,"E",35.817,76.923,"Class1"
"Y",24.657,19.761,75.692,56.983,31.892,57.601,20,"A",10.339,55.677,"Class1"
"P",24.573,18.682,91.131,39.161,33.433,33.346,16,"A",26.541,78.548,"Class1"
"M",74.582,63.938,9.749,55.798,72.439,56.112,69,"Y",92.263,35.129,"Class2"
"V",20.007,17.701,84.899,61.224,32.211,27.4,19,"T",28.486,59.187,"Class1"
"W",71.99,63.601,23.268,55.439,74.913,74.057,NA,"Q",65.095,23.193,"Class2"
"M",66.254,68.57,-2.06,31.756,60.215,47.804,55,"E",77.604,20.799,"Class2"
"F",23.709,25.914,16.285,71.778,17.483,68.002,3,"O",57.562,90.16,"Class3"
"P",21.441,18.577,83.4,66.653,33.262,21.937,8,"E",5.157,69.619,"Class1"
"M",79.369,71.117,41.338,15.468,79.292,64.074,69,"Y",70.6,65.896,"Class2"
"P",19.75,17.808,92.842,42.03,31.199,11.851,3,"A",18.489,56.031,"Class1"
"F",24.295,48.838,24.483,31.316,21.612,72.035,4,"S",61.049,82.589,"Class3"
"J",79.556,70.429,32.481,35.192,75.123,50.48,85,"Y",73.472,19.098,"Class2"
"Y",19.813,17.128,98.006,62.949,31.416,14.275,19,"U",24.654,78.356,"Class1"
"F",25.53,33.355,22.208,69.825,20.785,76.187,3,"O",57.311,87.025,"Class3"
"G",24.735,21.582,22.681,32.598,17.339,72.254,4,"O",61.455,85.63,"Class3"
"O",19.716,38.438,21.543,64.251,18.213,67.388,3,"G",63.601,82.125,"Class3"
"O",24.638,24.915,15.797,65.912,16.693,69.264,2,"S",56.379,82.364,"Class3"
"J",82.765,66.754,15.837,13.327,72.869,78.757,71,"Q",72.568,57.554,"Class2"
"W",72.455,72.198,12.672,39.748,64.951,76.216,84,"E",69.541,70.592,"Class2"
"V",23.28,19.378,65.522,46.212,31.876,35.283,18,"E",1.417,66.289,"Class1"
"X",27.073,18.454,71.243,62.271,32.258,24.16,5,"U",22.522,58.612,"Class1"
"Y",22.146,18.299,70.211,40.042,32.233,5.804,17,"U",31.177,51.411,"Class1"
"G",22.825,39.075,13.026,82.898,23.227,72.559,3,"S",61.919,88.602,"Class3"
"F",31.989,25.957,19.658,25.256,19.26,68.809,4,"G",61.396,83.013,"Class3"
"G",19.323,29.277,4.14,73.536,25.002,71.175,3,"O",58.08,84.934,"Class3"
"D",20.847,17.646,99.983,69.965,31.355,35.84,23,"T",31.739,77.59,"Class1"
"L",24.447,21.768,20.702,62.011,22.423,70.68,4,"G",57.195,81.852,"Class3"
"L",21.944,25.818,12.372,68.861,20.342,71.165,4,"E",56.726,81.373,"Class3"
"P",18.247,17.313,75.603,67.044,32.637,25.228,4,"T",25.029,72.322,"Class1"
"D",20.271,17.306,76.42,42.451,32.617,23.089,7,"U",35.386,65.4,"Class1"
"D",23.501,17.153,83.813,58.766,32.27,26.91,25,"A",29.513,83.517,"Class1"
"L",32.024,48.377,20.251,28.316,13.891,71.47,4,"S",60.963,84.902,"Class3"
"M",68.278,71.07,18.516,33.792,60.379,63.557,76,"E",92.424,16.542,"Class2"
"F",19.678,46.237,13.958,76.328,23.121,67.983,3,"S",61.267,91.319,"Class3"
"X",22.236,19.938,75.781,47.757,32.208,10.322,10,"E",12.807,78.288,"Class1"
"M",76.5,66.115,11.38,20.075,64.643,62.284,74,"Q",63.002,99.315,"Class2"
"F",25.787,41.18,13.16,50.797,19.48,70.338,4,"S",54.804,88.243,"Class3"
"V",27.411,19.419,106.159,37.543,32.073,7.123,9,"E",24.157,71.369,"Class1"
"Y",17.217,17.291,85.123,38.941,31.45,52.431,13,"S",32.38,82.239,"Class1"
"P",22.209,19.205,78.855,61.302,32.88,24.519,13,"A",25.227,81.925,"Class1"
"G",10.629,47.734,18.17,62.267,21.256,67.233,2,"O",62.199,83.365,"Class3"
"G",13.929,41.32,22.817,46.447,18.024,73.92,4,"E",58.331,86.751,"Class3"
"D",18.734,19.191,86.235,59.855,32.521,-4.77,20,"U",11.431,52.228,"Class1"
"P",66.978,67.706,18.407,32.461,81.5,76.499,89,"Q",90.144,70.787,"Class2"
"H",29.445,43.296,25.332,68.85,19.081,69.907,3,"G",55.638,87.91,"Class3"
"V",23.88,17.716,97.959,61.624,31.528,44.985,26,"U",8.467,64.028,"Class1"
"M",79.794,67.987,20.804,12.15,56.872,66.113,53,"Y",86.295,80.786,"Class2"
"W",68.568,64.465,40.577,32.353,75.566,61.473,90,"Y",79.834,11.004,"Class2"
"J",76.918,73.382,17.856,42.836,76.387,63.628,68,"Q",79.68,97.365,"Class2"
"D",23.907,19.49,76.932,36.582,29.97,33.204,NA,"E",30.236,45.223,"Class1"
"P",19.903,19.064,92.711,70.529,31.726,28.331,26,"E",27.132,48.309,"Class1"
"X",19.622,18.684,83.3,64.776,32.039,15.869,23,"E",2.961,75.536,"Class1"
"V",21.01,17.684,88.677,46.583,31.794,8.122,4,"E",19.086,78.454,"Class1"
"M",71.367,72.501,16.668,33.178,66.157,56.483,58,"T",77.457,66.798,"Class2"
"G",20.157,34.898,19.697,34.189,23.1,68.125,2,"E",63.18,91.733,"Class3"
"Y",21.884,19.386,90.999,63.381,32.076,7.262,4,"E",5.42,47.775,"Class1"
"X",20.75,17.989,79.698,42.178,33.192,-6.218,21,"A",29.415,67.689,"Class1"
"H",27.54,37.846,12.649,67.943,16.196,68.712,2,"D",53.179,90.258,"Class3"
"P",19.944,19.247,82.199,47.419,31.735,39.375,19,"A",29.24,59.963,"Class1"
"G",8.785,33.064,13.094,66.759,15.261,71.518,2,"O",54.915,91.902,"Class3"
"X",25.943,17.535,76.763,64.446,31.73,10.246,7,"T",3.387,71.668,"Class1"
"V",22.754,17.31,93.088,39.378,33.297,7.424,11,"E",11.259,67.403,"Class1"
"D",20.516,17.081,71.797,63.057,32.166,20.683,20,"S",36.646,58.749,"Class1"
"C",73.263,73.889,23.372,32.604,81.854,60.372,77,"Q",77.841,26.837,"Class2"
"P",19.393,18.848,88.802,64.517,32.449,33.888,26,"S",6.44,59.375,"Class1"
"V",19.088,17.549,93.581,62.602,32.257,25.271,11,"U",30.787,46.322,"Class1"
"V",24.683,17.277,74.243,38.023,31.411,41.352,21,"A",16.115,79.523,"Class1"
"L",16.196,34.285,22.477,75.739,21.336,70.33,4,"E",59.653,83.077,"Class3"
"H",32.747,37.567,13.513,83.722,20.203,67.951,3,"S",54.071,86.279,"Class3"
"W",69.668,63.12,-6.769,16.843,63.619,54.874,89,"Y",72.042,91.995,"Class2"
"F",26.045,27.896,6.164,67.334,19.495,71.348,2,"G",56.406,86.202,"Class3"
"H",33.648,34.925,8.608,38.817,24.815,64.383,2,"G",62.676,84.324,"Class3"
"M",74.319,68.566,23.22,47.194,60.802,69.679,90,"T",80.712,90.353,"Class2"
"Y",24.32,18.033,75.816,70.625,31.743,36.057,18,"U",23.207,67.476,"Class1"
"P",22.045,19.316,100.892,67.28,31.975,32.439,6,"T",24.075,72.62,"Class1"
"Y",17.717,18.609,78.579,53.369,31.276,35.253,NA,"E",34.234,64.926,"Class1"
"D",21.462,17.271,82.121,36.107,31.375,24.385,5,"A",11.93,59.109,"Class1"
"H",24.821,30.404,15.452,68.049,12.818,71.349,4,"E",54.682,86.811,"Class3"
"D",24.472,17.953,79.227,39.111,31.809,25.713,9,"E",1.644,48.827,"Class1"
"J",80.622,64.776,31.1,25.958,59.419,67.288,80,"Y",65.838,36.535,"Class2"
"D",18.013,19.877,90.022,40.559,32.6,19.294,3,"U",1.512,79.188,"Class1"
"V",25.834,17.738,80.858,65.946,32.814,15.531,6,"A",10.985,55.089,"Class1"
"F",29.178,23.814,18.172,35.02,17.037,66.027,3,"O",53.12,90.544,"Class3"
"P",18.683,18.904,77.281,50.381,31.636,36.288,4,"E",20.974,45.43,"Class1"
"D",27.658,19.723,80.455,55.221,31.753,35.519,5,"S",12.557,44.05,"Class1"
"C",74.849,64.872,20.813,55.336,49.804,58.573,77,"Y",73.608,74.69,"Class2"
"J",79.779,68.458,37.756,13.085,62.806,62.792,91,"Q",76.233,47.613,"Class2"
"P",23.572,18.326,71.898,44.696,31.734,24.471,19,"S",4.034,56.689,"Class1"
"Y",18.743,19.822,69.067,51.07,32.519,28.428,7,"U",12.928,60.756,"Class1"
"C",65.061,71.729,16.006,16.754,62.188,63.739,79,"Y",81.849,97.893,"Class2"
"D",22.522,17.304,81.768,42.605,31.72,9.763,14,"A",22.662,78.856,"Class1"
"D",17.826,18.396,74.546,42.764,31.643,3.49,11,"U",5.946,70.755,"Class1"
"X",22.548,18.869,79.917,58.906,31.841,3.81,4,"A",21.948,63.642,"Class1"
NA,20.889,18.804,80.043,59.341,31.833,30.9,9,"E",33.735,60.063,"Class1"
"G",26.632,33.57,24.113,71.802,24.665,70.784,3,"D",59.641,87.146,"Class3"
"Y",21.963,18.815,101.885,65.376,32.539,38.799,11,"S",20.256,56.212,"Class1"
"M",77.009,72.775,18.125,28.169,55.751,57.399,77,"W",84.467,25.025,"Class2"
"H",20.94,29.953,17.214,40.903,19.498,72.37,2,"E",55.59,90.296,"Class3"
"D",19.663,17.03,100.669,55.124,32.182,29.492,4,"A",16.254,51.753,"Class1"
"F",16.264,21.6,18.106,67.29,17.057,73.409,4,"G",63.379,91.49,"Class3"
"F",24.855,45.917,17.231,62.588,15.776,66.596,3,"D",60.537,92.32,"Class3"
"M",76.179,65.68,15.448,26.926,73.313,64.238,78,"W",80.571,45.717,"Class2"
"G",23.387,31.978,13.773,57.225,22.678,69.249,2,"E",61.996,82.204,"Class3"
"L",23.064,32.32,24.782,66.844,16.154,70.713,2,"O",56.848,87.689,"Class3"
NA,25.674,41.282,11.978,81.254,18.43,66.861,2,"G",57.233,83.56,"Class3"
"P",70.98,67.714,10.276,40.014,73.512,66.632,74,"T",79.757,10.014,"Class2"
"X",18.709,18.217,88.323,42.369,31.181,23.262,9,"A",2.379,71.853,"Class1"
"O",29.488,33.703,3.79,50.5,17.235,70.429,2,"E",55.636,88.159,"Class3"
"V",19.635,19.438,73.074,41.972,32.952,39.351,26,"S",15.738,61.337,"Class1"
"P",23.887,19.017,79.224,56.278,32.467,34.253,9,"T",25.001,84.827,"Class1"
"L",12.184,28.457,15.788,46.77,22.784,65.801,4,"O",61.665,90.194,"Class3"
"L",24.082,29.593,18.124,29.43,26.48,69.231,3,"S",62.68,92.057,"Class3"
"M",69.426,66.563,4.19,39.64,67.514,61.569,78,"E",68.164,49.085,"Class2"
"H",19.094,35.034,6.896,73.483,18.455,67.714,2,"G",63.392,87.355,"Class3"
"O",13.262,49.424,16.696,34.573,15.984,67.349,4,"O",62.725,83.639,"Class3"
"G",27.82,31.924,12.545,26.775,12.732,67.614,3,"D",55.063,88.312,"Class3"
"M",73.118,68.841,31.339,49.713,72.689,65.952,90,"T",82.199,96.745,"Class2"
"V",20.185,17.847,92.966,58.202,32.075,28.958,17,"A",27.782,75.402,"Class1"
"G",29.995,25.09,25.586,45.912,22.41,66.386,3,"O",59.443,83.815,"Class3"
"X",19.561,18.557,64.512,63.458,33.23,42.941,6,"U",23.876,63.229,"Class1"
"X",23.878,19.419,88.772,58.71,30.742,23.756,26,"T",21.423,71.842,"Class1"
"W",81.942,68.047,36.54,50.688,64.197,66.754,88,"T",93.8,65.384,"Class2"
"M",70.007,68.469,8.292,50.433,93.834,64.424,82,"T",74.6,31.887,"Class2"
"X",29.193,19.697,79.296,41.021,32.049,18.455,18,"S",30.995,59.173,"Class1"
"Y",26.219,19.921,80.378,62.778,32.491,29.698,16,"U",30.774,60.39,"Class1"
"P",26.029,18.542,70.447,48.181,31.363,25.622,10,"U",36.536,62.439,"Class1"
"V",21.797,18.428,82.384,45.25,33.013,35.791,24,"S",29.331,61.554,"Class1"
"P",74.939,71.65,28.321,30.96,73.533,59.374,60,"E",72.532,93.818,"Class2"
"X",18.851,17.528,83.453,43.267,33.081,34.657,15,"S",32.218,56.136,"Class1"
"J",81.294,63.204,21.136,45.206,45.686,61.045,57,"E",94.508,38.082,"Class2"
"C",71.332,65.838,3.621,25.73,80.35,71.718,60,"W",68.978,71.296,"Class2"
"O",25.568,39.364,11.119,71.599,18.961,71.632,3,"O",62.782,86.531,"Class3"
"C",79.689,67.174,22.777,19.72,64.195,61.13,57,"E",89.591,89.316,"Class2"
"Y",21.828,18.604,104.536,65.664,31.99,14.985,15,"E",3.319,60.642,"Class1"
"G",19.522,48.854,23.729,29.03,7.778,67.371,4,"E",55.312,91.844,"Class3"
"G",21.721,43.687,12.956,81.529,20.259,75.752,3,"O",60.398,90.692,"Class3"
"X",19.637,17.214,77.794,40.587,32.136,15.38,24,"S",19.179,83.85,"Class1"
"W",71.774,65.234,4.208,36.296,69.758,54.551,58,"W",69.653,44.033,"Class2"
"O",16.851,28.937,17.275,43.964,15.885,70.2,4,"D",58.368,82.023,"Class3"
"H",32.262,48.578,21.609,55.816,23.116,72.625,2,"G",63.526,89.205,"Class3"
NA,26.911,43.247,12.933,65.424,16.578,67.557,NA,"D",55.139,86.681,"Class3"
"X",21.728,18.172,76.071,68.086,31.435,41.178,22,"U",18.586,83.738,"Class1"
"V",18.895,18.283,82.37,57.221,31.77,2.296,18,"S",22.297,76.813,"Class1"
"C",75.361,71.19,23.922,14.999,73.498,69.834,85,"Q",99.025,81.581,"Class2"
"O",15.112,49.236,16.635,71.403,15.67,62.427,2,"E",54.097,89.681,"Class3"
"P",75.408,70.156,10.036,39.566,68.54,70.055,72,"Y",81.779,63.123,"Class2"
"P",21.95,18.359,82.69,58.456,32.118,14.417,NA,"A",32.085,51.469,"Class1"
"F",23.936,36.986,26.936,68.416,20.08,75.893,2,"G",53.196,90.18,"Class3"
"C",80.074,70.937,3.208,12.198,80.569,69.746,69,"T",63.795,83.926,"Class2"
"F",10.784,37.996,9.222,35.192,22.573,62.374,4,"O",55.116,85.247,"Class3"
"L",26.678,43.295,19.168,29.085,22.518,67.773,4,"O",62.055,88.151,"Class3"
"W",77.263,73.135,23.557,52.478,71.695,63.691,67,"Y",92.915,71.591,"Class2"
"L",28.941,48.755,13.322,80.107,9.697,70.824,4,"G",57.875,90.122,"Class3"
"W",62.154,71.975,25.383,27.87,52.742,65.191,88,"Q",83.877,75.3,"Class2"
"F",18.711,28.052,20.587,48.854,15.264,69.69,3,"S",55.467,81.835,"Class3"
"P",71.295,67.035,11.505,52.665,72.153,64.855,60,"E",63.778,87.609,"Class2"
