"CAI1","LOM2","CNL3","ZIY4","GCO5","UQO6","HAI7","CWY8","SUO9","Output20","UNL10"
"Y",34.955,34,98.054,97.816,97.318,65.948,17.504,19.534,"Class3",91.228
"Y",38.865,17,22.006,76.973,21.276,43.555,62.497,9.983,"Class2",38.063
"Z",44.454,64,54.474,25.479,4.68,50.097,41.72,77.547,"Class5",56.296
"N",25.518,7,89.951,86.466,61.473,48.823,62.187,82.999,"Class4",17.323
"S",40.565,26,17.177,80.587,105.047,54.194,54.052,2.374,"Class2",40.945
"Z",33.459,18,17.625,63.696,67.678,19.019,59.84,11.431,"Class2",26.685
"L",46.325,32,92.854,54.134,97.095,54.886,35.725,7.388,"Class3",92.81
"D",43.732,73,24.382,20.531,20.963,70.955,75.74,82.312,"Class1",53.213
"Y",63.848,23,33.056,89.829,32.395,13.302,55.107,4.591,"Class2",10.038
"Z",52.602,65,24.474,8.094,18.67,69.044,69.922,81.877,"Class1",73.785
"A",54.251,6,79.563,83.066,95.337,45.222,74.514,50.81,"Class4",18.996
"N",48.46,44,53.674,34.541,36.317,46.076,32.264,71.376,"Class5",13.319
"Y",45.844,6,26.22,65.187,77.051,8.062,59.81,4.658,"Class2",29.496
"P",46.443,49,54.289,29.607,51.532,43.342,30.18,72.244,"Class5",33.013
"L",25.609,8,37.02,66.094,74.703,45.85,37.12,77.771,"Class4",17.372
"D",67.382,84,28.025,22.23,29.339,65.787,87.977,98.67,"Class1",35.071
"Y",46.662,18,23.193,51.534,87.949,33.504,67.029,4.973,"Class2",36.759
"A",40.449,65,84.825,91.84,52.35,53.637,47.614,48.013,"Class4",19.171
"Z",44.448,68,67.061,31.343,-3.218,48.232,27.314,51.135,"Class5",77.403
"D",38.511,10,42.355,91.385,68.606,27.142,57.646,1.234,"Class2",16.124
"U",69.489,10,49.007,66.334,57.349,17.721,74.024,9.317,"Class2",11.757
"B",57.294,72,20.796,15.584,23.471,64.049,48.505,81.675,"Class1",34.175
"N",47.441,40,61.034,25.869,12.878,58.9,47.778,81.498,"Class5",61.597
"B",38.253,34,98.548,85.18,97.048,43.385,53.881,17.822,"Class3",106.24
"D",67.518,33,93.558,47.201,91.117,64.688,53.478,5.538,"Class3",86.599
"Y",79.008,15,17.687,78.954,68.232,31.169,66.497,10.347,"Class2",26.299
"B",52.004,56,21.073,11.611,15.405,62.657,71.418,86.199,"Class1",43.661
"B",63.41,70,23.247,15.385,17.289,68.173,53.76,62.307,"Class1",37.915
NA,32.349,34,94.695,76.867,97.493,51.244,20.964,8.252,"Class3",87.296
"A",47.649,46,66.813,79.213,43.952,54.901,29.628,58.419,"Class4",24.515
"Z",70.892,87,19.967,11.626,8.577,65.089,41.254,50.842,"Class1",26.467
"S",38.338,8,18.75,93.33,87.198,17.713,74.708,3.212,"Class2",46.043
"D",64.136,84,20.869,7.74,21.68,69.253,78.871,53.083,"Class1",47.094
"Y",37.279,8,40.462,64.389,63.804,-8.832,68.314,9.918,"Class2",26.691
NA,62.691,86,22.558,9.204,10.423,68.677,93.021,78.872,"Class1",45.81
"A",15.622,39,62.354,72.385,81.036,53.255,38.304,66.041,"Class4",17.958
"B",65.494,49,23.138,14.358,21.398,65.011,43.562,NA,"Class1",27.866
"P",48.368,40,34.498,28.443,23.959,43.499,26.398,85.571,"Class5",54.155
"C",35.68,68,76.358,75.816,42.635,39.51,81.335,54.441,"Class4",23.674
"N",24.63,30,68.492,75.584,68.749,54.377,37.161,66.093,"Class4",22.005
"G",53.116,86,25.642,15.949,1.581,53.238,70.235,60.116,"Class1",30.77
"B",56.08,75,23.953,18.728,33.906,66.197,85.844,54.297,"Class1",41.413
"Z",68.879,3,22.861,77.587,67.346,33.296,73.22,NA,"Class2",43.82
"Z",50.424,39,78.559,28.715,34.697,33.618,39.736,82.755,"Class5",42.896
"G",59.288,80,23.597,19.436,15.364,66.703,54.257,69.76,"Class1",21.038
"A",54.992,32,95.813,34.198,94.741,71.612,41.924,19.41,"Class3",90.972
"Y",36.385,24,42.479,42.34,100.859,36.832,70.724,11.481,"Class2",56.87
"T",54.469,73,22.061,12.252,22.894,68.442,93.926,58.642,"Class1",53.269
"K",25.512,69,72.684,69.529,61.077,37.224,31.096,46.23,"Class4",23.398
"B",42.358,62,20.642,17.958,27.331,72.996,93.58,64.98,"Class1",33.55
"Z",68.807,58,20.395,15.283,20.057,62.189,89.725,66.636,"Class1",38.208
"C",30.028,15,58.118,80.317,19.54,40.421,35.246,55.871,"Class4",15.834
"U",63.896,26,28.321,81.454,45.864,13.054,55.958,5.956,"Class2",23.152
"Q",50.967,48,45.115,28.188,5.544,47.814,36.162,82.388,"Class5",47.176
"C",51.96,17,95.44,70.205,34.278,48.031,50.587,51.035,"Class4",18.424
"Z",44.731,84,22.034,13.449,7.715,67.167,86.163,55.086,"Class1",27.128
"U",51.075,15,34.311,50.941,87.291,50.579,56.017,3.541,"Class2",31.888
"Z",56.323,23,32.277,53.983,89.152,37.444,69.599,5.554,"Class2",30.242
"B",53.821,68,16.63,10.038,39.68,67.168,79.943,97.449,"Class1",26.232
"C",48.628,55,68.056,78.199,75.818,50.069,49.351,74.803,"Class4",21.838
"W",46.264,35,50.953,27.509,25.563,52.474,26.396,51.674,"Class5",35.524
"A",28.464,12,68.039,68.407,35.165,47.784,58.013,72.166,"Class4",19.373
"B",42.734,76,19.17,12.876,14.831,60.742,58.187,56.79,"Class1",34.322
"G",44.972,75,24.62,7.768,34.413,66.633,74.26,90.883,"Class1",34.46
"L",62.741,35,98.139,70.485,96.861,48.488,34.286,NA,"Class3",86.223
"L",27.845,66,67.711,76.213,46.366,51.895,34.273,56.675,"Class4",17.432
"C",38.033,67,87.974,67.705,44.512,50.5,53.692,58.842,"Class4",18.608
"Z",38.248,4,23.535,45.188,74.926,48.851,67.815,5.528,"Class2",19.783
"A",43.74,32,96.594,80.519,93.961,60.308,49.774,18.079,"Class3",87.562
NA,78.059,34,97.763,39.101,93.887,59.599,38.472,18.882,"Class3",90.893
"Z",57.069,3,30.435,56.632,48.924,57.067,71.405,10.021,"Class2",37.445
"Y",60.844,33,97.998,42.14,91.583,54.289,32.154,11.52,"Class3",92.548
"K",36.219,44,90.473,80.615,66.379,44.718,21.241,68.321,"Class4",23.469
NA,66.981,83,18.407,14.719,24.093,71.748,69.109,81.216,"Class1",15.614
"S",75.152,26,28.359,78.289,52.514,79.178,64.653,2.714,"Class2",25.13
"Z",50.037,43,74.062,25.523,49.524,36.397,38.504,53.021,"Class5",42.731
"N",48.602,63,45.452,33.993,36.644,47.636,32.041,58.009,"Class5",63.197
"Z",53.962,72,21.007,10.881,11.906,71.152,57.515,48.987,"Class1",25.772
"Q",47.319,46,84.166,30.294,70.763,51.117,28.422,79.368,"Class5",58.816
"Z",50.318,4,32.632,46.714,66.789,43.752,71.086,11.29,"Class2",36.74
"P",45.811,63,65.984,27.243,51.103,43.64,44.715,55.438,"Class5",38.648
"D",80.642,33,96.041,35.513,94.171,59.884,25.01,7.371,"Class3",96.189
"L",53.215,33,97.433,39.252,93.715,62.099,33.55,15.751,"Class3",89.443
"D",67.15,24,36.193,89.238,56.881,21.699,63.431,5.334,"Class2",39.295
"C",14.263,64,84.604,71.832,69.862,48.358,74.546,72.318,"Class4",23.896
"D",31.946,35,97.835,46.744,95.99,56.331,25.165,15.733,"Class3",90.256
"L",62.954,35,95.422,56.244,90.743,52.626,17.754,19.916,"Class3",81.938
"A",19.002,57,40.043,75.541,59.19,49.779,72.93,49.318,"Class4",20.391
"S",73.021,25,37.086,56.798,109.508,61.118,60.315,4.911,"Class2",47.174
"K",15.698,71,75.306,75.637,101.695,53.978,31.804,48.225,"Class4",16.356
"N",42.401,71,71.832,78.846,47.958,49.412,74.161,53.337,"Class4",21.216
"Z",59.556,10,54.058,52.357,80.449,66.797,52.909,1.731,"Class2",36.014
"A",36.051,34,93.965,93.739,93.532,52.113,11.603,8.573,"Class3",82.952
"W",48.136,61,18.235,28.655,24.093,43.622,33.88,50.073,"Class5",51.47
"Q",49.497,42,64.742,27.085,61.329,49.511,53.408,43.286,"Class5",54.426
"Q",44.241,68,60.036,28.031,58.674,50.54,41.774,76.773,"Class5",73.143
"B",37.569,32,94.566,37.404,95.624,66.83,37.632,18.85,"Class3",88.248
"Z",45.651,55,103.751,25.564,7.084,39.419,50.332,56.774,"Class5",41.339
"D",68.78,52,20.256,16.748,31.139,74.069,54.968,86.231,"Class1",13.878
"S",44.415,17,30.541,44.015,81.757,43.546,72.196,9.695,"Class2",24.984
"K",50.897,45,72.807,74.06,61.484,43.415,20.84,53.083,"Class4",21.211
"N",45.203,52,39.749,28.677,28.441,33.049,35.972,70.141,"Class5",31.766
"B",64.023,62,23.436,19.533,30.555,56.725,45.356,56.796,"Class1",43.059
"P",48.31,64,15.143,26.852,21.444,53.703,45.071,52.32,"Class5",25.335
"C",25.232,68,82.235,73.515,64.751,37.238,70.856,49.944,"Class4",25.649
"S",50.728,4,29.957,79.203,64.079,29.562,74.529,NA,"Class2",28.345
"T",60.961,66,23.571,22.195,18.157,77.861,46.631,76.112,"Class1",35.446
"T",43.628,78,19.162,22.341,27.929,60.297,92.287,62.554,"Class1",26.911
"N",53.071,5,43.228,75.78,47.796,55.927,75.462,61.85,"Class4",19.647
"K",48.029,24,44.188,66.218,65.98,50.381,27.445,82.591,"Class4",22.441
"K",29.718,55,59.439,80.585,36.297,38.755,43.637,60.803,"Class4",20.04
"U",77.185,17,25.106,86.362,90.519,48.634,61.414,9.455,"Class2",28.661
"N",28.186,67,88.778,74.735,100.429,47.367,47.753,76.574,"Class4",20.183
"W",48.828,43,85.924,27.253,65.547,44.162,42.77,79.711,"Class5",50.075
"Y",58.877,19,54.204,44.864,65.741,52.506,64.963,NA,"Class2",35.343
"T",45.096,62,21.457,11.971,18.868,57.109,81.883,89.328,"Class1",31.078
"B",66.595,65,18.357,12.003,17.227,64.071,61.294,82.829,"Class1",40.577
"B",57.627,55,21.811,19.488,25.845,70.573,63.655,70.172,"Class1",23.507
"B",25.628,34,92.158,66.089,104.401,56.985,12.891,19.413,"Class3",75.965
"D",77.67,15,7.075,47.167,75.227,29.132,68.132,11.9,"Class2",42.556
"P",49.531,49,40.897,27.816,17.573,44.492,40.93,70.056,"Class5",55.241
"W",47.972,36,58.379,27.535,20.774,50.523,25.041,54.563,"Class5",58.475
"K",34.693,55,72.054,69.822,38.543,46.106,64.026,NA,"Class4",28.325
"W",49.925,69,75.017,32.99,49.237,36.249,34.718,73.331,"Class5",27.725
"D",65.525,5,36.338,77.963,78.705,39.87,73.549,6.606,"Class2",32.545
"P",45.179,59,56.659,26.075,30.035,57.624,41.669,84.611,"Class5",59.555
"B",39.377,34,94.746,72.208,94.896,55.066,59.558,11.386,"Class3",97.962
"Z",48.129,63,32.194,30.079,52.676,23.39,29.313,56.906,"Class5",44.067
"B",51.461,35,95.525,62.269,96.754,48.169,16.715,19.883,"Class3",92.291
"S",45.071,9,26.717,77.726,91.074,38.388,50.773,9.115,"Class2",16.215
"D",25.942,32,97.456,62.116,91.641,63.016,27.917,9.746,"Class3",86.276
"L",37.355,17,68.001,85.506,49.757,50.905,47.657,NA,"Class4",21.14
"T",63.939,55,24.201,19.397,17.574,66.767,64.562,85.509,"Class1",40.036
"W",50.625,45,42.117,32.96,35.706,51.61,34.205,72.191,"Class5",50.918
"N",36.625,7,65.81,68.081,106.042,55.029,63.446,58.838,"Class4",20.323
"D",71.076,32,96.164,79.484,97.328,45.861,27.081,19,"Class3",93.054
NA,51.362,32,100.26,53.56,99.396,75.11,57.557,6.743,"Class3",94.468
"D",70.166,3,38.457,78.648,48.571,-5.5,63.467,11.456,"Class2",43.507
NA,27.096,14,81.842,85.408,44.087,46.258,41.822,61.599,"Class4",19.716
"C",39.093,29,79.713,77.629,74.554,52.278,23.192,56.741,"Class4",24.356
NA,76.787,34,97.481,40.859,90.694,45.703,38.846,10.531,"Class3",71.519
"D",45.301,33,95.829,48.512,94.619,63.545,43.416,18.171,"Class3",91.659
"C",22.2,26,97.723,82.718,31.604,43.255,29.539,49.017,"Class4",21.143
"G",56.885,80,17.742,10.727,12.751,63.049,72.182,98.203,"Class1",34.599
"Y",42.659,34,95.267,55.678,93.34,58.681,12.986,13.994,"Class3",80.339
"P",48.071,66,71.545,34.808,29.848,50.13,42.871,54.308,"Class5",34.959
"Z",49.367,43,36.987,32.838,11.475,38.278,32.913,42.718,"Class5",47.815
"B",68.356,67,17.329,12.931,24.691,65.605,43.538,46.298,"Class1",41.05
"B",61.594,32,94.397,80.889,97.53,54.193,26.817,8.943,"Class3",88.155
"G",68.514,57,22.272,20.335,6.192,60.584,47.712,50.481,"Class1",34.903
"N",51.767,63,27.095,34.726,50.692,49.467,48.736,78.536,"Class5",64.102
"G",45.239,76,19.265,22.867,36.311,71.689,70.787,83.321,"Class1",32.789
NA,29.735,35,96.183,60.061,97.107,55.285,60.833,NA,"Class3",93.55
NA,47.204,55,63.184,28.972,29.571,56.138,27.478,60.158,"Class5",21.031
"D",60.966,58,21.659,8.945,10.088,64.833,73.482,82.582,"Class1",26.8
"D",67.42,2,42.914,49.663,96.503,56.322,56.802,4.952,"Class2",45.176
"L",47.524,33,93.959,57.758,91.155,48.605,27.853,13.511,"Class3",87.639
"D",65.931,65,22.27,7.196,16.878,68.291,68.528,63.74,"Class1",33.324
"D",53.418,7,24.289,44.046,86.585,22.287,71.396,7.405,"Class2",39.05
"W",48.023,35,30.751,30.592,18.55,38.493,36.848,51.374,"Class5",52.874
"W",48.341,37,80.791,29.072,-1.68,43.655,26.7,50.533,"Class5",74.879
"Z",44.951,68,55.992,28.543,37.737,48.638,35.34,NA,"Class5",50.269
"Z",45.589,70,25.858,26.737,20.253,41.543,45.074,59.333,"Class5",22.71
"L",43.823,15,110.868,76.874,62.935,45.794,78.232,68.138,"Class4",20.807
"A",21.104,64,65.912,78.824,65.178,41.702,61.202,69.827,"Class4",21.329
"G",60.441,55,24.382,13.079,7.333,58.62,45.685,47.832,"Class1",29.166
"Q",49.677,34,67.433,27.276,17.285,41.321,29.11,64.998,"Class5",54.617
"G",54.03,87,22.495,12.075,6.704,70.531,48.294,53.835,"Class1",30.179
"Z",70.101,55,18.222,8.548,33.95,65.872,50.974,52.618,"Class1",23.037
"U",78.906,15,31.405,83.335,104.717,6.258,67.474,4.932,"Class2",11.985
"Q",51.827,48,78.428,30.569,35.111,40.845,43.045,50.96,"Class5",60.686
"Z",47.347,35,43.08,28.815,78.411,47.749,40.826,60.516,"Class5",21.897
"P",49.749,69,64.782,34.635,19.556,45.642,53.953,50.88,"Class5",63.95
"D",46.476,18,35.915,92.903,83.427,38.409,70.583,4.697,"Class2",36.417
"A",47.835,52,74.105,88.217,94.51,48.448,63.149,49.438,"Class4",21.824
"Q",49.015,48,27.938,29.868,17.608,49.067,28.456,64.336,"Class5",47.072
NA,26.912,34,96.178,66.443,97.461,78.798,39.649,14.996,"Class3",76.067
"T",51.581,58,22.517,9.176,19.483,57.523,43.569,86.687,"Class1",44.071
"Z",41.96,22,46.439,68.938,89.484,31.327,51.159,NA,"Class2",35.321
"Z",46.451,49,48.859,31.603,8.958,51.477,27.853,68.02,"Class5",32.681
"P",47.163,64,69.151,26.778,51.776,41.431,53.464,78.005,"Class5",51.923
"C",20.938,62,68.687,75.114,95.417,42.16,20.127,58.369,"Class4",16.498
"L",13.72,32,67.231,76.603,22.67,49.26,53.178,52.347,"Class4",16.886
"G",64.61,88,16.082,9.504,23.966,62.737,63.461,53.387,"Class1",33.831
"K",35.975,68,18.14,67.133,66.93,38.197,37.922,49.808,"Class4",22.393
"A",59.483,32,97.32,48.535,97.19,69.071,16.212,6.553,"Class3",101.49
NA,48.85,57,21.152,15.065,12.168,64.013,80.182,50.929,"Class1",20.399
"D",67.336,81,18.414,10.398,25.66,67.826,53.747,85.753,"Class1",48.111
"Y",74.67,33,100.203,95.057,97.004,62.409,23.058,16.749,"Class3",85.276
NA,39.555,20,44.625,45.271,73.899,31.638,72.067,9.073,"Class2",39.266
NA,18.12,61,44.141,79.174,56.602,40.918,77.168,70.435,"Class4",20.423
"Z",64.615,72,20.335,13.727,-2.301,75.193,45.207,97.67,"Class1",62.096
"D",43.476,61,23.153,14.813,13.765,71.605,70.274,53.099,"Class1",34.496
"U",36.318,16,38.185,69.864,102.632,29.282,57.176,8.864,"Class2",38.615
"G",46.546,52,22.315,10.479,36.678,65.712,67.802,67.808,"Class1",50.951
"L",23.823,45,80.152,71.35,79.022,51.536,35.627,56.178,"Class4",22.274
NA,28.137,35,97.024,61.272,96.384,66.72,47.356,NA,"Class3",73.233
"D",66.677,11,16.462,67.594,72.301,46.448,69.947,8.642,"Class2",40.723
"U",51.703,14,28.409,73.419,70.319,40.624,65.069,7.382,"Class2",29.359
"Y",49.4,35,93.711,89.352,102.596,77.724,21.97,19.716,"Class3",91.827
"C",18.417,36,66.498,90.312,27.664,52.923,45.129,66.172,"Class4",16.127
"N",50.706,35,54.683,25.661,56.352,44.55,46.137,46.576,"Class5",57.741
"D",52.324,22,47.036,51.886,84.926,25.373,75.094,10.996,"Class2",9.737
"D",46.508,66,20.525,9.52,14.742,64.379,75.903,59.396,"Class1",28.599
"S",68.101,17,33.307,78.628,99.611,34.715,61.529,11.44,"Class2",13.54
"D",60.173,21,27.465,77.789,65.919,24.45,57.009,NA,"Class2",35.371
"Y",23.724,32,98.262,80.866,92.021,47.166,33.596,10.062,"Class3",93.205
"Z",69.221,4,27.171,82.476,66.384,42.487,60.016,3.119,"Class2",32.542
"C",26.438,33,47.494,66.808,37.689,44.936,80.895,64.911,"Class4",17.985
"Z",51.281,64,48.236,25.469,51.526,43.01,36.419,79.706,"Class5",37.131
"S",48.803,12,20.353,51.259,47.177,30.216,50.391,9.437,"Class2",26.238
"A",31.084,33,91.015,56.034,89.705,56.821,51.706,14.043,"Class3",81.588
"N",14.053,71,64.668,74.088,67.537,45.753,79.07,70.865,"Class4",21.254
"W",45.462,39,42.558,30.043,30.954,43.985,41.015,42.34,"Class5",56.543
"L",34.95,34,94.94,43.476,90.846,48.841,35.228,8.838,"Class3",93.038
"Z",45.914,81,20.317,21.358,12.128,68.577,77.077,82.723,"Class1",27.256
"K",43.767,57,84.834,73.178,81.779,58.384,72.363,54.781,"Class4",21.789
"Y",33.743,33,96.437,87.833,97.456,37.466,50.866,8.846,"Class3",93.58
"A",49.322,32,93.799,77.327,99.005,55.794,36.115,NA,"Class3",91.814
"N",53.519,55,48.82,91.319,78.689,52.662,53.553,76.83,"Class4",14.535
"W",45.156,45,56.448,29.426,51.285,54.159,52.573,70.819,"Class5",38.47
"W",51.855,69,50.904,29.372,24.96,51.042,36.288,47.889,"Class5",36.902
"T",66.387,57,20.677,20.482,9.613,75.073,92.856,89.517,"Class1",37.053
"D",41.127,8,18.47,67.74,88.191,20.769,64.833,3.207,"Class2",21.709
"Z",36.519,8,29.987,49.461,71.443,42.223,63.546,11.184,"Class2",16.084
"N",19.33,50,80.485,66.639,61.231,47.026,81.001,NA,"Class4",21.747
"G",61.007,82,24.258,10.204,17.73,68.704,76.866,83.132,"Class1",40.113
"P",45.478,43,24.55,28.928,54.264,41.558,39.357,61.905,"Class5",50.181
"D",72.465,34,97.05,87.221,92.492,49.042,13.074,18.264,"Class3",82.193
"Q",50.069,66,56.675,25.921,14.72,44.986,50.383,77.903,"Class5",46.09
"Q",44.948,36,26.115,32.136,39.97,45.199,44.794,52.242,"Class5",37.918
NA,52.282,55,22.172,7.916,20.448,58.12,57.833,83.982,"Class1",34.93
"N",47.392,63,53.361,32.422,35.366,39.616,30.434,39.779,"Class5",71.047
"W",47.455,51,68.645,34.309,71.471,44.98,32.869,44.757,"Class5",53.113
NA,78.416,17,46.278,49.22,65.935,41.455,65.328,1.351,"Class2",23.7
NA,49.004,54,72.735,31.26,13.895,59.62,33.143,85.563,"Class5",59.543
"K",52.388,10,45.453,89.71,97.8,45.2,81.5,NA,"Class4",21.734
"Q",50.103,66,17.314,32.694,63.537,48.241,33.521,56.388,"Class5",51.855
"K",37.368,7,54.828,70.325,44.724,51.824,47.668,73.378,"Class4",13.305
"U",79.755,23,33.887,88.259,44.636,44.203,69.015,6.568,"Class2",34.208
"B",49.899,64,24.59,12.946,8.731,66.363,74.357,65.986,"Class1",56.535
"Y",64.959,11,15.791,85.365,50.471,26.151,73.411,7.61,"Class2",31.983
"Y",74.052,25,49.602,72.048,69.819,22.138,55.303,10.636,"Class2",27.17
"D",53.855,49,22.907,21.568,22.967,63.663,71.546,49.037,"Class1",50.973
"Z",61.739,20,21.73,65.44,64.568,18.514,65.594,6.278,"Class2",33.238
"D",64.535,77,19.487,20.96,18.839,62.244,74.652,93.707,"Class1",36.033
"B",77.008,33,97.625,94.597,92.847,51.827,11.989,8.536,"Class3",96.271
"K",50.814,16,55.89,67.896,-10.075,53.94,39.53,82.177,"Class4",22.46
"N",15.677,22,59.406,78.647,84.479,49.412,51.51,68.413,"Class4",20.178
"Z",46.133,17,41.795,63.696,45.087,36.22,71.702,8.652,"Class2",39.591
"N",43.224,68,28.007,74.474,45.604,51.592,53.807,72.621,"Class4",21.738
"Z",42.166,16,42.5,49.635,58.679,20.79,56.884,11.284,"Class2",27.624
"W",47.841,40,80.391,33.793,44.794,48.012,47.072,73.458,"Class5",52.669
"D",50.994,33,96.701,64.614,99.528,74.675,42.437,18.45,"Class3",82.293
"G",46.753,75,18.471,22,27.474,69.822,48.906,72.882,"Class1",39.466
"A",49.158,35,94.347,93.327,95.731,41.713,28.133,14.202,"Class3",81.517
"K",36.51,65,72.909,91.723,69.249,42.358,53.861,62.404,"Class4",18.085
"Y",73.895,35,94.921,34.399,94.021,46.433,47.342,14.155,"Class3",99.505
"D",35.432,21,29.936,79.619,62.285,29.953,73.908,1.793,"Class2",39.632
"P",49.368,68,61.753,30.37,43.632,49.001,26.52,69.898,"Class5",53.892
NA,65.293,35,92.963,87.173,97.133,70.079,14.35,19.108,"Class3",88.92
NA,64.869,79,21.17,19.043,34.241,68.998,42.599,69.587,"Class1",52.996
"D",41.362,32,94.008,32.518,94.045,48.778,45.353,6.7,"Class3",88.41
"B",66.318,74,19.181,14.553,33.988,53.957,80.514,79.722,"Class1",38.063
"Y",65.616,15,36.155,64.991,84.497,53.22,60.896,3.616,"Class2",24.463
"K",41.783,18,93.818,78.502,0.033,42.035,38.218,46.025,"Class4",20.832
"N",47.592,43,70.757,31.899,37.255,38.527,48.072,78.294,"Class5",44.527
"Z",44.074,58,83.644,34.224,-1.66,51.308,34.66,42.032,"Class5",84.357
"Z",56.52,9,36.294,78.96,84.044,43.422,55.075,10.341,"Class2",31.29
"D",49.392,5,37.404,46.535,72.16,39.671,53.021,4.154,"Class2",52.008
NA,17.066,16,56.59,66.983,39.159,47.003,38.321,57.575,"Class4",24.3
"L",53.142,35,97.405,77.771,88.095,36.201,30.735,14.071,"Class3",89.813
"D",69.383,8,7.071,76.222,71.767,29.688,53.77,1.851,"Class2",36.059
"Y",38.154,33,95.184,33.888,95.841,56.701,20.61,10.591,"Class3",87.313
"P",47.156,70,57.081,29.653,30.223,37.648,32.117,84.917,"Class5",77.289
"K",34.485,16,37.94,70.341,75.936,57.772,38.421,45.312,"Class4",19.259
"A",46.833,66,99.358,79.602,68.971,48.869,28.808,50.401,"Class4",20.006
"L",20.065,64,56.519,88.303,50.897,49.997,58.913,71.143,"Class4",20.617
"N",45.37,35,52.903,32.134,-8.651,52.969,48.336,71.935,"Class5",68.922
NA,72.767,35,92.968,40.348,95.836,60.452,54.072,9.124,"Class3",82.818
"Z",47.62,70,27.274,15.963,9.479,53.396,47.561,91.394,"Class1",42.99
"A",24.427,35,97.694,39.052,95.883,59.575,41.795,6.62,"Class3",90.339
NA,44.431,26,18.703,57.205,72.894,31.935,63.487,NA,"Class2",28.164
"D",63.518,61,16.195,20.767,21.883,63.192,84.002,93.519,"Class1",42.61
"D",51.898,58,22.777,11.817,19.721,69.428,41.152,50.471,"Class1",47.287
"D",66.592,15,31.681,53.451,81.35,34.182,51.851,4.307,"Class2",36.462
"D",56.011,59,20.998,16.058,39.471,66.451,82.689,93.439,"Class1",34.04
"D",67.354,51,23.977,7.547,21.663,67.363,88.7,57.169,"Class1",24.823
"D",41.211,35,96.66,76.041,93.2,65.461,35.592,18.011,"Class3",77.106
"D",27.716,34,93.969,74.32,95.206,60.755,9.203,14.813,"Class3",80.725
"A",76.736,34,95.16,37.271,96.757,50.969,23.989,10.408,"Class3",82.916
"C",36.61,62,104.2,84.737,90.43,53.487,38.494,56.926,"Class4",19.882
"U",71.001,4,24.695,87.413,68.942,29.589,74.038,10.422,"Class2",26.018
"A",52.657,38,60.22,69.131,50.007,44.795,33.885,80.975,"Class4",26.685
"D",45.672,76,21.54,20.893,42.225,71.996,70.818,85.078,"Class1",27.634
"L",64.06,32,94.296,93.602,93.014,66.008,46.697,15.439,"Class3",94.837
"D",78.965,4,34.28,93.019,56.269,-9.367,63.72,1.58,"Class2",50.104
"K",34.18,8,71.973,76.364,73.602,51.18,30.934,81.7,"Class4",22.342
"U",39.868,10,28.54,47.041,68.72,31.277,55.556,3.228,"Class2",39.688
"U",51.287,2,22.778,77.658,96.463,52.692,66.037,11.215,"Class2",40.374
"A",25.974,33,95.51,84.082,95.962,51.196,60.974,10.721,"Class3",84.731
"Z",51.504,37,71.973,27.044,13.886,42.744,51.255,70.083,"Class5",34.888
"Z",68.297,69,22.841,19.429,21.299,70.128,88.626,60.817,"Class1",35.852
"Y",66.82,33,93.329,55.915,89.611,71.231,12.929,15.22,"Class3",86.902
"L",58.946,35,97.366,74.041,95.208,49.808,49.122,19.229,"Class3",79.233
"G",64.136,75,23.04,13.258,34.459,67.502,78.125,65.429,"Class1",44.213
"U",53.281,19,37.511,89.851,68.504,40.283,54.371,4.947,"Class2",47.868
"Y",42.516,11,45.92,61.546,73.513,34.657,57.553,9.926,"Class2",35.757
NA,50.321,16,40.44,55.694,58.321,17.67,62.122,1.939,"Class2",33.742
"K",46.306,66,41.164,79.928,47.855,39.596,38.275,54.452,"Class4",18.4
"Y",34.942,12,44.638,64.222,42.422,8.949,60.064,9.528,"Class2",33.491
"K",51.1,63,93.983,91.455,19.695,47.239,52.513,61.637,"Class4",17.623
"W",48.367,54,37.235,29.249,35.849,39.92,53.914,83.875,"Class5",33.574
"L",27.933,38,79.466,81.499,-4.107,42.576,76.795,67,"Class4",20.245
"A",43.613,66,52.345,72.824,48.452,36.835,58.157,46.184,"Class4",16.907
"Y",68.298,34,93.067,71.283,100.075,62.264,57.086,16.439,"Class3",95.948
"A",73.955,34,98.593,83.673,89.098,57.441,23.508,9.579,"Class3",67.73
"P",50.782,62,49.23,31.384,50.588,51.923,36.893,78.099,"Class5",82.504
"N",48.749,64,65.521,25.803,-7.381,52.747,38.719,71.615,"Class5",32.621
"N",46.408,69,58.477,28.346,20.283,47.226,35.15,57.952,"Class5",44.736
"N",51.514,37,123.103,27.008,49.271,44.258,27.739,54.93,"Class5",65.27
"Z",48.967,46,5.792,34.358,-0.029,54.432,32.075,79.74,"Class5",53.812
"P",50.369,43,60.45,25.985,37.228,50.65,34.44,66.319,"Class5",59.423
"C",30.748,18,70.538,87.689,95.272,42.619,60.579,79.748,"Class4",24.676
"Z",56.257,73,19.116,11.611,23.756,71.121,87.032,87.056,"Class1",21.357
"Q",48.753,62,80.554,33.912,27.709,52.369,30.931,43.146,"Class5",47.956
"N",45.168,60,59.918,32,46.28,27.016,50.865,66.467,"Class5",46.465
"G",64.267,62,17.069,14.16,18.448,68.185,56.205,48.494,"Class1",47.745
"C",23.102,26,68.373,89.987,36.533,43.674,27.789,49.372,"Class4",18.936
"S",33.795,20,38.422,72.556,62.049,34.309,74.109,3.985,"Class2",17.982
