"GKT1","EVL2","TVU3","KAM4","OMD5","Output5","UVT6","KTN7","JQW8","FJI9","XOR10","GDI11"
"W",40.887,27.019,48.497,61.953,"Class3",84,84.591,71.767,17.4,47.531,"N"
"G",39.405,53.47,38.038,44.105,"Class2",37,79.26,36.993,88.327,70.415,"E"
"H",38.403,49.168,41.347,44.919,"Class2",43,97.103,79.263,91.23,55.244,"M"
"J",15.867,57.541,40.78,64.115,"Class1",60,33.794,45.7,15.069,67.652,"D"
"I",33.127,54.249,36.467,46.099,"Class2",51,89.992,24.254,91.525,19.546,"M"
"J",17.602,45.877,55.076,21.244,"Class3",77,81.96,32.838,50.723,54.423,"U"
"F",-1.472,60.691,40.445,59.988,"Class1",59,37.58,45.16,24.061,76.439,"M"
"I",26.035,52.279,44.43,58.723,"Class2",31,77.075,75.791,88.552,45.997,"Y"
"E",4.813,22.893,34.832,92.796,"Class1",64,45.141,45.856,36.653,83.17,"N"
"G",18.491,50.312,38.819,75.908,"Class2",53,97.569,51.199,86.76,9.01,"Y"
"W",23.745,8.594,44.55,45.902,"Class3",59,80.034,66.06,46.565,55.239,"U"
"G",39.299,51.454,40.317,40.298,"Class2",41,84.61,77.046,90.327,41.195,"Y"
"X",2.653,34.116,16.865,44.609,"Class1",62,33.783,47.082,44.143,58.849,"N"
"V",26.853,27.056,39.467,42.042,"Class3",72,75.098,32.14,60.22,41.619,"V"
"H",25.489,53.155,30.884,48.695,"Class2",31,86.466,37.476,87.384,6.36,"B"
"P",9.024,44.617,30.381,51.739,"Class1",54,28.345,47.667,37.11,66.594,"N"
"I",25.038,52.058,43.767,59.109,"Class2",43,75.222,46.052,89.569,17.844,"H"
"H",27.089,51.852,NA,72.368,"Class2",39,73.997,63.721,87.762,37.255,"E"
"P",5.97,36.156,38.466,84.887,"Class1",46,26.792,48.355,21.639,91.393,"D"
"E",40.7,8.324,51.363,18.238,"Class3",72,82.339,26.997,47.95,56.675,"V"
"W",29.396,23.754,52.234,37.41,"Class3",73,80.629,25.148,27.84,54.136,"P"
"J",12.903,33.851,31.507,60.284,"Class1",66,40.474,48.454,25.496,59.506,"D"
"M",30.938,49.299,37.343,66.799,"Class2",42,83.585,41.781,91.788,36.575,"Y"
"M",40.518,50.086,46.219,63.903,"Class2",36,80.954,61.328,92.574,9.107,"M"
"J",-4.661,30.946,NA,82.099,"Class1",51,37.801,45.122,41.466,75.621,"D"
"H",18.1,49.416,33.663,63.565,"Class2",52,68.749,24.335,94.887,17.453,"B"
"J",0.105,47.199,33.266,85.333,"Class1",68,41.027,44.376,40.497,85.599,"N"
"F",28.372,36.097,NA,NA,"Class3",70,84.777,32.242,4.443,45.784,"U"
"J",26.17,22.071,49.579,23.234,"Class3",55,77.473,46.425,16.182,48.825,"N"
"J",43.586,44.282,53.447,51.086,"Class3",49,79.45,36.585,41.057,50.774,"V"
"F",14.93,38.922,44.958,34.008,"Class3",56,82.394,40.654,14.854,40.342,"E"
"M",26.882,54.926,37.04,66.667,"Class2",46,78.748,27.815,89.454,68.488,"E"
"F",12.082,25.571,61.4,6.717,"Class1",68,39.065,49.794,50.629,63.138,"D"
"E",42.339,29.533,60.324,20.472,"Class3",69,79.696,53.804,18.606,43.597,"E"
"J",28.48,5.958,53.173,50.643,"Class3",69,82.532,50.176,34.062,52.287,"N"
"E",29.003,32.778,52.406,23.646,"Class3",56,83.921,64.156,72.192,40.682,"N"
"X",9.944,58.87,29.507,68.606,"Class1",39,35.852,48.456,31.155,91.681,"D"
"W",31.082,7.978,36.861,41.906,"Class3",71,86.943,25.828,35.174,44.616,"U"
"F",30.145,19.613,53.039,71.53,"Class3",50,87.272,66.276,12.311,53.067,"E"
"E",36.966,22.285,45.33,34.452,"Class3",71,80.943,23.95,18.286,55.295,"V"
"X",7.371,33.292,41.924,NA,"Class1",52,35.783,47.836,44.616,54.389,"N"
"F",3.07,26.438,32.199,36.324,"Class1",65,32.51,45.097,43.67,72.037,"M"
"F",36.746,44.807,39.128,NA,"Class3",44,80.554,61.144,55.788,49.303,"V"
"H",20.661,52.294,40.23,71.692,"Class2",49,93.473,60.678,93.222,5.624,"H"
"E",32.585,27.569,30.624,63.333,"Class3",58,79.9,32.8,30.678,45.97,"P"
"J",25.882,44.179,42.815,71.516,"Class3",83,81.648,61.234,29.331,44.581,"E"
"F",30.24,30.725,33.427,54.625,"Class3",76,83.747,57.085,47.875,49.012,"V"
"X",29.719,49.474,37.332,47.139,"Class2",34,73.146,79.189,87.926,3.179,"H"
"F",4.148,45.285,51.459,43.31,"Class1",37,34.9,47.599,21.274,52.294,"B"
"W",25.203,34.435,NA,71.039,"Class3",74,79.816,62.222,3.336,48.547,"U"
"F",37.496,35.054,41.811,29.672,"Class3",45,82.182,34.465,29.09,40.888,"P"
"F",7.229,35.263,39.112,31.717,"Class1",60,23.148,44.46,51.712,64.682,"M"
"X",41.611,50.29,NA,74.748,"Class2",42,96.105,55.716,90.655,7.876,"E"
"P",4.73,53.649,35.599,63.258,"Class1",70,18.513,45.295,39.281,62.921,"M"
"W",35.447,23.785,44.891,NA,"Class3",49,80.662,39.588,49.118,42.251,"E"
"E",4.272,29.797,31.963,19.663,"Class1",64,30.912,44.713,34.563,53.207,"D"
"F",8.167,60.842,27.553,78.095,"Class1",67,21.246,44.459,30.09,87.113,"D"
"E",10.693,22.097,46.945,30.083,"Class1",71,30.394,45.63,59.389,57.599,"B"
"J",7.043,27.77,42.229,71.624,"Class1",46,39.358,48.971,42.09,77.094,"N"
"M",15.87,53.099,41.547,54.514,"Class2",47,78.508,41.505,89.936,48.845,"H"
"J",6.859,55.927,26.981,3.711,"Class1",46,40.309,46.923,32.91,55.291,"B"
"J",8.213,34.9,42.119,54.829,"Class1",44,42.135,44.734,38.154,83.958,"D"
"X",31.707,54.683,NA,51.46,"Class2",34,85.266,57.944,88.353,66.285,"E"
"P",9.971,41.126,45.965,32.063,"Class1",48,28.724,49.613,42.169,77.965,"B"
"W",37.24,5.885,38.237,69.919,"Class3",53,78.649,64.565,14.449,44.998,"P"
"F",8.14,45.144,25.797,58.679,"Class1",37,29.1,47.404,36.781,88.536,"M"
"M",27.319,53.411,32.85,55.591,"Class2",43,77.476,43.009,88.772,61.997,"B"
"H",29.296,50.995,24.457,59.35,"Class2",28,61.323,66.916,90.193,51.582,"H"
"E",35.155,16.515,38.036,64.371,"Class3",57,82.606,62.045,56.686,48.474,"E"
"W",27.984,10.02,53.365,45.313,"Class3",52,81.448,57.149,47.943,45.683,"N"
"J",8.868,60.262,NA,62.184,"Class1",71,31.802,49.545,37.227,55.847,"E"
"F",22.856,35.34,NA,73.797,"Class3",73,79.255,63.673,2.811,41.92,"N"
"F",0.876,37.432,38.95,69.243,"Class1",49,44.259,46.394,26.728,69.72,"B"
"F",4.941,25.689,38.657,11.624,"Class1",48,19.986,45.868,33.36,52.56,"B"
"I",17.168,55.916,43.968,68.485,"Class2",51,100.706,55.114,90.529,41.915,"B"
"W",24.531,26.942,44.387,56.017,"Class3",64,79.944,74.388,35.831,46.357,"P"
"E",3.765,51.748,57.977,61.744,"Class1",40,57.609,46.903,41.292,61.077,"D"
"G",20.821,48.619,28.123,40.898,"Class2",48,90.497,60.024,85.629,18.89,"H"
"E",18.039,23.603,54.383,59.554,"Class3",64,82.045,62.78,22.059,45.809,"N"
"E",21.782,11.641,NA,55.855,"Class3",85,82.548,48.935,51.817,44.627,"P"
"E",33.515,44.693,41.287,28.177,"Class3",72,82.629,49.236,21.711,52.619,"N"
"F",30.452,37.418,42.849,NA,"Class3",58,79.532,54.436,15.157,55.609,"U"
"X",24.256,48.67,34.09,65.375,"Class2",38,85.941,22.325,88.316,45.792,"B"
"M",28.281,52.442,42.116,69.534,"Class2",42,72.458,39.522,83.737,73.69,"E"
"E",19.165,39.738,52.183,64.031,"Class3",44,82.395,62.661,17.607,42.982,"V"
"F",1.185,38.39,9.865,42.97,"Class1",39,45.455,48.79,46.898,87.651,"N"
"V",24.673,44.871,48.816,61.061,"Class3",71,81.232,50.496,47.021,46.326,"P"
"F",17.325,45.877,41.49,17.921,"Class3",65,79.329,23.049,59.714,46.95,"V"
"H",35.09,55.912,32.575,65.814,"Class2",32,58.002,67.822,92.261,63.337,"H"
"F",7.182,39.305,49.258,22.953,"Class1",58,31.427,48.186,41.578,68.115,"D"
"E",-0.613,28.809,32.485,4.809,"Class1",59,30.221,45.089,29.999,73.333,"N"
"F",32.884,22.213,NA,71.995,"Class3",54,83.607,52.216,59.392,44.818,"U"
"J",33.107,16.066,55.149,26.097,"Class3",76,84.911,63.872,-7.686,53.356,"U"
"H",24.176,54.198,37.906,81.765,"Class2",28,88.117,69.607,83.624,4.422,"B"
"J",40.42,28.046,46.251,63.131,"Class3",54,86.732,50.229,8.683,56.841,"E"
"J",33.939,2.614,49.956,31.349,"Class3",77,84.101,65.84,44.109,42.753,"P"
"J",10.036,34.602,36.138,74.832,"Class1",55,30.977,48.229,44.549,49.691,"E"
"E",13.975,42.816,24.072,49.899,"Class1",62,47.16,44.342,33.259,57.643,"D"
"X",20.124,49.086,36.899,42.371,"Class2",46,70.681,79.141,86.031,2.471,"M"
"H",41.471,51.669,25.521,57.459,"Class2",33,82.3,76.273,91.307,47.762,"E"
"H",24.936,53.844,30.67,NA,"Class2",28,99.016,48.477,88.821,39.429,"Y"
"M",33.729,48.318,35.065,72.164,"Class2",38,80.241,72.575,91.155,37.794,"B"
"J",25.421,38.919,38.267,70.733,"Class3",56,84.439,24.924,35.84,56.295,"E"
"J",6.186,50.991,36.429,33.708,"Class1",41,39.487,49.193,35.801,58.262,"N"
"G",26.8,52.3,40.426,49.803,"Class2",39,73.818,19.518,87.383,11.262,"Y"
"E",34.073,11.889,33.346,27.494,"Class3",61,78.629,67.991,60.227,44.574,"U"
"P",10.749,29.772,33.8,9.128,"Class1",46,31.047,45.644,34.201,64.097,"B"
"F",4.504,23.157,50.933,89.131,"Class1",54,45.302,48.096,47.038,58.302,"E"
"H",41.431,49.753,43.595,60.354,"Class2",44,67.751,31.217,87.248,16.8,"B"
"I",31.521,48.488,34.751,45.324,"Class2",37,92.258,60.659,89.142,42.551,"M"
"V",30.124,40.711,50.219,65.186,"Class3",49,78.794,71.157,23.504,41.164,"P"
"F",28.515,9.468,46.936,30.512,"Class3",45,86.139,70.346,30.986,55.596,"P"
"E",6.211,13.395,65.588,40.261,"Class3",57,82.954,37.041,-1.634,43.749,"N"
"P",6.194,58.446,41.513,71.441,"Class1",62,55.545,45.569,41.839,81.836,"D"
"F",38.177,20.712,37.74,71.441,"Class3",65,77.342,30.63,34.548,55.774,"U"
"X",36.073,48.042,32.186,50.871,"Class2",38,73.954,47.225,86.454,76.349,"B"
"P",8.099,33.144,40.071,55.948,"Class1",40,48.659,47.659,34.718,74.812,"B"
"H",46.846,54.067,41.028,52.999,"Class2",53,84.349,52.717,93.576,13.978,"Y"
"X",5.179,59.342,37.36,56.634,"Class1",65,25.883,44.603,34.526,86.746,"B"
"M",21.929,51.5,30.747,66.567,"Class2",30,70.215,81.68,86.214,55.672,"B"
"W",26.909,3.271,52.071,43.948,"Class3",81,78.064,60.777,17.41,51.908,"P"
"J",8.316,26.657,44.483,11.713,"Class1",67,34.826,46.865,31.428,81.538,"E"
"P",12.332,28.783,41.076,56.913,"Class1",49,35.787,44.65,29.545,59.604,"E"
"F",33.897,13.815,46.71,39.196,"Class3",59,83.294,27.474,20.053,47.118,"N"
"V",22.816,10.406,45.383,30.702,"Class3",48,83.979,26.541,38.371,46.53,"E"
"P",7.842,21.744,36.63,NA,"Class1",56,18.566,44.279,46.884,69.659,"M"
"J",-0.116,45.101,26.148,51.559,"Class1",47,27.617,45.972,33.038,82.898,"N"
"H",44.743,52.351,40.163,56.626,"Class2",29,73.823,64.225,90.199,38.243,"B"
"W",33.336,34.854,38.129,61.548,"Class3",58,85.002,30.373,22.711,42.36,"N"
"M",18.751,49.151,48.431,75.722,"Class2",38,86.912,21.02,87.115,10.347,"M"
"E",24.808,32.758,36.215,50.469,"Class3",48,81.345,53.091,26.146,55.202,"E"
"P",11.983,29.97,31.908,30.106,"Class1",39,39.927,48.139,18.609,55.097,"B"
"P",7.605,37.558,49.296,9.561,"Class1",72,28.593,46.699,31.272,80.358,"N"
"J",32.875,45.949,46.907,39.183,"Class3",59,82.108,39.221,63.951,49.179,"E"
"F",28.741,32.898,41.804,42.599,"Class3",44,77.743,63.165,2.394,54.578,"E"
"G",26.169,55.9,34.861,49.25,"Class2",33,57.105,68.389,91.75,76.451,"B"
"I",36.195,50.652,28.772,70.876,"Class2",47,75.931,45.262,90.117,65.83,"E"
"F",11.61,33.195,34.727,83.852,"Class1",47,33.703,46.771,42.436,88.73,"E"
"X",9.764,54.649,45.281,86.583,"Class1",40,42.946,45.522,47.785,58.647,"B"
"J",35.376,30.055,38.685,20.617,"Class3",54,82.134,35.377,11.712,43.128,"P"
"H",37.315,53.374,27.382,74.1,"Class2",46,79.309,55.816,89.499,39.94,"Y"
"F",45.204,21.018,35.009,52.243,"Class3",62,82.687,74.962,9.863,51.425,"P"
"F",32.679,31.883,35.012,31.096,"Class3",71,81.809,30.004,28.077,56.697,"N"
"X",2.935,40.163,17.148,48.893,"Class1",72,41.314,44.578,31.984,74.495,"M"
"G",43.18,50.515,41.996,75.032,"Class2",46,82.856,78.177,92.806,26.019,"E"
"M",53.395,53.77,38.323,NA,"Class2",33,75.292,46.671,87.772,5.464,"E"
"P",9.996,51.629,46.619,48.954,"Class1",58,40.484,44.94,28.406,92.52,"E"
"V",30.014,14.724,31.212,34.555,"Class3",78,82.163,46.717,38.136,50.533,"U"
"E",29.218,4.542,57.312,45.904,"Class3",85,78.776,61.372,39.813,43.285,"U"
"E",7.432,37.58,37.077,70.954,"Class1",57,52.638,48.4,35.168,81.632,"M"
"P",3.619,42.544,34.344,26.103,"Class1",65,26.527,47.198,45.747,53.512,"B"
"X",23.289,51.468,31.815,40.105,"Class2",42,85.929,44.432,89.376,70.221,"B"
"P",-3.288,43.267,31.806,83.517,"Class1",49,31.342,45.132,31.729,79.216,"N"
"E",18.463,14.505,40.394,51.518,"Class3",64,86.245,38.697,34.546,48.309,"P"
"P",16.247,34.04,40.01,43.4,"Class1",41,37.908,49.547,38.188,87.793,"B"
"I",33.726,53.713,33.944,55.587,"Class2",33,74.061,16.512,88.525,13.548,"E"
"V",9.32,4.224,39.92,30.904,"Class3",76,77.395,71.029,0.132,48.64,"N"
"X",23.411,48.886,37.347,55.046,"Class2",41,78.208,82.093,93.782,16.973,"H"
"W",35.423,43.467,41.783,43.853,"Class3",51,77.304,28.172,41.644,47.096,"U"
"J",27.716,30.511,60.413,22.22,"Class3",76,77.333,49.047,4.393,51.243,"N"
"J",7.052,54.628,29.458,2.886,"Class1",53,38.782,48.509,44.211,50.05,"B"
"H",28.011,50.447,31.269,72.649,"Class2",36,73.314,68.031,86.101,31.518,"M"
"I",31.823,54.192,33.021,70.529,"Class2",42,87.504,21.11,84.385,53.794,"Y"
"X",10.599,51.599,37.271,17.495,"Class1",42,40.599,44.747,20.167,83.184,"M"
"J",0.862,40.657,36.087,51.012,"Class1",51,52.828,46.165,30.812,81.549,"D"
"X",-0.239,56.268,35.114,71.302,"Class1",40,52.951,44.201,42.009,57.955,"B"
"M",28.642,55.404,31.299,63.37,"Class2",53,94.741,78.941,93.598,35.984,"B"
"F",-6.891,47.081,31.27,17.95,"Class1",60,45.513,48.852,45.147,59.457,"B"
"V",28.387,44.001,50.529,NA,"Class3",64,79.368,26.601,18.592,40.828,"N"
"E",13.086,30.367,45.534,28.673,"Class1",72,49.661,48.787,43.699,68.659,"B"
"F",22.789,35.533,33.239,73.059,"Class3",51,79.225,41.147,35.962,40.804,"V"
"G",32.882,51.031,40.888,71.734,"Class2",29,66.243,28.483,87.495,7.01,"B"
"P",11.958,35.471,30.858,39.421,"Class1",64,37.566,49.852,42.792,83.976,"E"
"X",26.405,51.187,35.485,52.988,"Class2",47,79.872,57.645,89.353,62.057,"M"
"J",11.372,42.553,28.001,25.799,"Class1",37,48.441,48.734,24.49,77.079,"D"
"V",20.779,20.085,45.631,24.812,"Class3",61,81,70.816,35.024,40.932,"N"
"J",27.436,22.356,46.386,47.766,"Class3",53,82.703,51.183,49.606,44.355,"U"
"F",10.259,34.725,31.507,82.865,"Class1",39,43.82,46.643,33.615,86.552,"D"
"F",18.98,2.538,58.898,68.014,"Class3",87,82.45,46.734,12.723,48.386,"V"
"J",41.283,13.534,60.359,33.14,"Class3",84,79.569,31.615,4.96,51.298,"U"
"J",34.006,20.248,43.861,44.155,"Class3",54,82.175,73.672,63.26,53.539,"U"
"X",3.902,34.619,27.333,3.03,"Class1",46,31.709,45.342,44.725,83.395,"D"
"E",25.632,38.43,46.694,71.644,"Class3",65,80.03,60.347,13.196,56.045,"V"
"F",25.146,22.595,37.374,72.668,"Class3",63,80.355,29.403,62.239,45.814,"E"
"J",1.4,40.186,30.581,4.998,"Class1",47,37.97,48.941,33.684,54.241,"B"
"X",8.793,24.663,54.828,40.764,"Class1",57,23.17,48.242,43.887,51.133,"D"
"E",7.836,31.172,25.256,53.935,"Class1",40,57.253,46.977,36.233,82.252,"E"
"M",49.874,50.012,37.537,58.706,"Class2",53,65.54,22.218,87.88,23.431,"H"
"V",31.631,35.192,39.311,44.086,"Class3",44,80.074,27.599,2.385,41.305,"U"
"X",25.568,51.482,38.347,39.945,"Class2",49,78.808,16.53,84.804,37.985,"B"
"W",27.353,24.121,44.555,39.756,"Class3",60,81.235,74.067,20.726,54.466,"N"
"V",20.351,12.297,26.09,23.418,"Class3",82,77.208,44.739,47.042,49.621,"U"
"E",21.51,9.731,46.747,46.279,"Class3",79,82.829,23.581,31.888,47.745,"U"
"J",23.347,16.441,47.414,34.01,"Class3",61,86.407,41.883,42.69,49.089,"V"
"G",34.562,55.812,37.654,67.076,"Class2",37,81.936,34.419,89.926,77.388,"E"
"X",21.22,52.366,43.267,58.547,"Class2",37,69.681,75.053,93.461,9.343,"E"
"X",25.262,48.739,34.869,66.651,"Class2",53,91.041,68.544,89.726,4.705,"M"
"X",7.765,25.956,20.868,67.159,"Class1",65,40.326,44.783,46.201,85.436,"M"
"J",41.354,1.734,37.805,49.092,"Class3",60,83.605,49.35,66.51,49.841,"P"
"E",12.67,25.443,34.232,66.816,"Class1",63,37.085,46.548,42.036,80.732,"N"
"V",35.843,28.192,42.256,68.45,"Class3",67,80.679,74.691,-1.352,42.267,"U"
"X",-0.837,26.541,25.678,21.258,"Class1",53,39.521,44.745,33.464,82.745,"E"
"G",22.696,51.152,31.72,69.548,"Class2",35,78.477,45.74,92.69,8.294,"B"
"X",31.268,55.675,40.7,71.186,"Class2",30,87.815,33.307,83.743,66.402,"E"
"F",30.955,2.951,NA,57.846,"Class3",85,83.733,39.285,45.828,46.122,"E"
"H",30.153,49.086,27.666,NA,"Class2",46,77.23,46.102,91.925,5.685,"Y"
"I",31.512,49.016,31.431,60.136,"Class2",49,100.375,50.941,89.862,55.293,"M"
"X",5.86,45.537,41.81,68.677,"Class1",48,20.6,45.319,31.457,52.665,"E"
"J",26.506,31.096,60.695,29.991,"Class3",57,82.459,58.617,43.339,44.966,"P"
"P",10.172,57.933,20.161,64.601,"Class1",64,45.54,46.285,35.252,90.603,"E"
"F",7.208,49.95,17.669,62.102,"Class1",55,28.677,45.277,36.308,80.321,"M"
"G",9.62,51.202,43.236,57.053,"Class2",50,65.447,22.012,89.42,74.273,"B"
"H",25.894,53.999,28.533,46.698,"Class2",52,72.324,31.103,87.771,52.813,"M"
"E",28.326,28.519,54.341,61.004,"Class3",52,82.131,73.118,41.118,42.482,"P"
"M",18.041,54.852,34.183,82.179,"Class2",34,90.018,69.911,89.75,58.39,"Y"
"E",7.881,35.692,24.737,33.26,"Class1",43,43.799,45.513,42.557,91.548,"D"
"V",35.721,21.668,46.605,43.909,"Class3",85,80.613,72.533,7.634,50.545,"N"
"X",29.697,53.871,40.977,69.243,"Class2",44,78.022,46.422,91.025,47.458,"M"
"J",4.863,36.028,26.61,81.317,"Class1",59,41.241,45.054,45.596,85.796,"E"
"J",14.482,30.147,29.43,66.314,"Class3",67,80.992,71.21,43.764,55.342,"U"
"W",23.717,1.848,45.917,67.38,"Class3",54,73.101,66.599,39.449,56.767,"V"
"G",36.434,48.306,41.387,76.083,"Class2",44,73.044,16.547,91.743,71.144,"H"
"G",18.211,53.329,NA,45.89,"Class2",40,64.805,45.931,90.581,9.875,"B"
"F",25.462,43.077,51.372,73.584,"Class3",47,81.186,28.332,36.629,44.944,"E"
"J",11.321,44.587,40.25,28.152,"Class1",58,44.092,46.068,35.272,52.631,"E"
"J",2.503,58.162,42.04,23.94,"Class1",38,27.922,48.611,40.791,68.614,"E"
"X",18.093,52.215,35.141,43.06,"Class2",43,79.748,76.077,92.188,68.333,"Y"
"X",10.528,24.665,32.48,7.481,"Class1",64,54.408,48.283,36.049,87.842,"N"
"F",39.256,4.904,56.706,41.891,"Class3",45,82.931,35.412,45.994,48.439,"E"
"E",43.985,35.877,55.579,29.172,"Class3",61,80.494,70.096,6.685,47.699,"U"
"X",26.724,55.86,41.074,79.853,"Class2",48,94.078,78.754,85.734,3.26,"M"
"P",1.918,52.107,35.217,80.976,"Class1",72,40.696,44.586,37.449,79.072,"E"
"X",30.225,55.628,34.551,77.242,"Class2",49,72.614,63.629,87.001,43.607,"E"
"M",29.217,48.121,31.923,54.422,"Class2",37,77.001,67.134,89.765,59.15,"Y"
"F",6.1,51.725,29.107,43.766,"Class1",46,28.993,47.903,43.926,76.243,"E"
"X",36.454,49.75,35.768,51.157,"Class2",49,70.581,62.032,89.304,73.558,"M"
"J",36.038,11.579,63.168,42.398,"Class3",64,81.594,29.24,36.277,40.548,"P"
"F",14.114,44.474,35.664,65.74,"Class1",56,42.842,49.223,49.619,86.819,"B"
"I",24.77,48.286,27.933,66.947,"Class2",47,59.592,53.627,90.269,54.702,"B"
"J",3.209,34.066,24.719,NA,"Class1",64,26.959,47.15,44.215,84.158,"D"
"X",24.527,52.165,29.865,63.703,"Class2",37,70.227,28.729,87.431,42.248,"E"
"V",33.522,25.572,36.23,32.958,"Class3",72,78.745,62.772,105.154,52.905,"V"
"E",19.796,9.736,45.149,71.886,"Class3",49,79.723,55.102,40.541,44.575,"P"
"J",13.22,55.526,40.719,57.749,"Class1",51,57.088,44.523,41.367,50.005,"M"
"M",22.139,53.011,30.695,39.57,"Class2",45,61.092,37.291,87.512,64.561,"B"
"H",25.156,52.507,29.034,86.567,"Class2",37,78.427,29.327,87.11,73.88,"E"
"M",26.058,49.295,46.076,55.94,"Class2",47,82.006,28.222,89.935,31.873,"M"
"J",15.984,39.071,36.891,34.907,"Class1",46,38.74,46.15,47.732,52.281,"N"
"J",13.115,50.756,47.63,53.738,"Class1",71,25.707,46.035,41.538,63.163,"B"
"W",36.129,37.926,52.977,26.225,"Class3",55,83.883,65.271,30.28,55.754,"U"
"H",41.268,50.883,42.661,84.188,"Class2",47,78.546,17.718,87.29,48.499,"E"
"J",7.398,55.269,44.592,3.392,"Class1",58,47.239,49.971,26.202,56.148,"B"
"W",44.563,26.111,44.386,NA,"Class3",45,76.327,55.206,59.24,47.047,"E"
"P",11.07,34.593,42.332,37.909,"Class1",56,27.075,44.38,40.225,77.254,"N"
"W",35.381,2.168,54.498,43.945,"Class3",68,83.36,69.871,31.51,50.021,"E"
"V",42.315,17.291,53.933,40.704,"Class3",69,80.05,66.204,54.496,44.395,"V"
"I",26.112,53.329,31.317,68.539,"Class2",49,75.956,59.48,87.663,33.271,"B"
"X",11.517,55.051,23.93,53.23,"Class1",57,34.45,47.947,23.683,87.9,"B"
"I",36.622,50.466,47.091,70.866,"Class2",53,72.305,49.789,90.238,30.13,"Y"
"X",32.225,51.956,32.267,69.639,"Class2",33,79.97,61.414,89.938,7.355,"M"
"M",26.01,50.957,34.674,77.159,"Class2",33,72.137,77.783,92.015,64.487,"M"
"F",21.937,37.367,38.874,57.018,"Class3",63,85.197,70.956,55.747,51.714,"V"
"I",32.974,48.081,32.181,41.93,"Class2",37,83.139,50.408,88.436,12.309,"E"
"E",25.693,12.747,69.33,34.526,"Class3",67,81.593,68.408,61.329,53.358,"P"
"H",35.013,48.542,32.178,70.808,"Class2",32,75.446,68.021,88.196,24.502,"Y"
"H",33.645,52.52,39.215,58.868,"Class2",52,65.063,39.475,91.241,33.741,"B"
"H",26.886,52.079,34.878,52.649,"Class2",36,98.974,24.442,83.91,24.466,"B"
"P",4.41,32.512,34.357,9.57,"Class1",68,40.535,46.444,26.366,67.021,"B"
"F",19.211,43.588,34.887,60.547,"Class3",67,80.857,68.768,22.22,52.398,"P"
"F",30.233,37.242,36.729,45.961,"Class3",50,83.901,53.362,47.858,40.943,"E"
"X",11.833,35.692,42.958,81.576,"Class1",58,45.643,44.238,41.425,79.871,"N"
"V",33.583,16.27,47.998,27.892,"Class3",71,83.078,61.05,18.639,52.225,"N"
"E",30.668,23.811,47.448,66.993,"Class3",70,82.833,49.945,38.951,46.16,"E"
"F",28.476,39.406,34.195,48.18,"Class3",60,78.954,32.219,42.755,47.059,"P"
"E",24.139,6.058,36.545,NA,"Class3",57,78.29,60.964,64.866,42.589,"E"
"P",9.917,49.373,38.539,72.786,"Class1",58,56.162,49.673,52.611,61.91,"M"
"E",32.049,2.248,50.517,26.188,"Class3",74,79.909,34.128,38.317,51.85,"V"
"F",5.703,56.311,25.564,65.553,"Class1",58,42.674,46.296,36.585,92.779,"B"
"X",2.578,45.262,48.88,35.179,"Class1",44,36.258,46.129,37.422,86.159,"N"
"E",15.274,23.213,42.86,65.624,"Class3",86,84.291,68.288,-14.937,48.055,"P"
"J",15.723,50.841,26.088,85.317,"Class1",51,59.34,47.603,35.851,76.241,"B"
"I",28.586,52.064,33.457,NA,"Class2",51,74.18,21.784,84.016,58.517,"Y"
"P",6.709,36.495,41.704,66.233,"Class1",37,37.979,44.028,30.719,89.367,"N"
"J",24.97,25.432,51.092,NA,"Class3",77,82.775,65.158,27.965,44.311,"P"
"F",2.789,47.623,27.455,NA,"Class1",38,38.414,45.466,52.424,90.259,"E"
"E",14.804,55.629,19.063,24.375,"Class1",40,44.906,45.882,42.474,64.087,"N"
"E",8.307,33.141,34.575,54.278,"Class1",56,48.749,45.195,38.738,65.769,"D"
"H",24.889,49.14,36.547,60.969,"Class2",38,73.626,17.472,93.052,46.007,"Y"
"X",34.745,54.049,35.826,48.027,"Class2",37,83.27,15.46,87.232,19.846,"Y"
"E",21.998,7.306,42.482,55.108,"Class3",65,82.347,38.103,29.72,54.526,"U"
"V",26.871,17.223,65.303,66.769,"Class3",57,83.904,29.309,-2.33,42.953,"U"
"H",17.684,52.056,32.083,NA,"Class2",33,61.877,63.222,90.072,8.044,"H"
"I",26.043,50.861,36.758,46.079,"Class2",46,73.544,22.829,91.808,5.628,"Y"
"X",12.635,24.648,40.129,7.585,"Class1",61,19.313,48.933,38.948,66.095,"B"
"E",10.747,43.178,47.609,56.594,"Class1",53,42.116,48.178,38.85,75.379,"M"
"M",30.859,55.689,45.466,58.345,"Class2",45,86.165,75.852,83.86,44.674,"Y"
"J",5.52,41.621,17.82,41.633,"Class1",42,22.463,44.757,26.325,78.164,"E"
"M",19.024,55.634,39.054,75.238,"Class2",32,83.968,65.839,86.475,9.258,"H"
"X",4.277,26.074,31.448,10.142,"Class1",70,40.81,44.873,34.657,54.504,"N"
"E",4.815,50.223,27.512,59.195,"Class1",41,31.762,49.436,49.885,54.492,"E"
"J",37.351,2.045,48.537,56.254,"Class3",57,83.596,41.097,-1.085,49.609,"P"
"E",48.85,10.457,NA,32.951,"Class3",68,81.397,57.213,61.364,47.606,"E"
