"VZB1","RDU2","QGJ3","QKH4","WKR5","MVA6","Output1","YEX7","RZG8","QIG9","BJL10","NLD11"
"Y",45.978,64.185,57,60.438,35.102,"Class3",82.885,44.527,82,95.693,62.035
NA,19.236,79.454,37,42.085,79.563,"Class1",67.819,15.746,19,27.402,69.272
"F",41.469,20.283,54,2.804,35.941,"Class3",70.181,28.435,73,97.696,35.504
"V",44.767,76.957,47,48.61,81.537,"Class1",5.52,60.353,20,69.841,62.686
"J",80.602,17.021,62,37.091,33.314,"Class3",77.59,10.739,75,97.612,53.573
"F",53.3,44.951,58,66.775,35.207,"Class3",71.397,47.901,74,94.304,65.307
"D",62.411,58.136,53,46.583,53.132,"Class2",77.168,53.709,68,84.957,64.753
"Q",67.265,41.192,58,54.402,63.305,"Class2",55.696,50.742,68,29.136,79.558
"Y",61.95,27.799,62,25.312,NA,"Class3",96.693,24.812,74,98.528,52.251
"G",65.776,18.795,70,35.742,33.584,"Class3",73.234,23.751,74,98.201,67.926
"Y",78.357,38.128,60,82.837,34.334,"Class3",90.841,42.101,81,95.015,58.505
"O",65.782,84.217,67,65.268,70.441,"Class2",62.737,58.066,73,43.436,60.162
"G",57.676,51.852,60,29.993,35.539,"Class3",80.376,43.847,71,94.312,49.486
"L",61.089,32.553,54,120.46,34.209,"Class3",73.356,14.863,81,94.206,61.925
"S",64.026,37.908,61,27.474,66.864,"Class2",75.166,51.785,62,26.37,60.405
"G",81.733,38.665,68,79.104,34.534,"Class3",73.265,44.95,71,98.402,27.798
"N",47.986,76.752,54,36.139,79.581,"Class1",-15.624,29.785,26,41.192,69.13
"E",67.068,31.473,66,38.078,46.167,"Class2",71.572,52.162,64,10.671,61.646
"Q",61.639,34.904,63,45.25,63.793,"Class2",73.485,56.929,72,71.601,57.46
"D",61.595,36.029,58,32.657,75.548,"Class2",75.18,49.904,74,46.387,27.21
"J",48.827,70.318,61,81.345,34.189,"Class3",93.747,33.668,73,97.995,36.154
"S",67.225,91.23,52,43.714,NA,"Class2",72.98,59.476,56,22.373,36.595
"M",11.257,77.072,62,44.757,NA,"Class1",64.082,78.382,15,24.307,69.563
"B",45.878,78.568,52,39.132,82.723,"Class1",68.685,54.892,21,20.159,77.559
"M",48.054,82.103,47,37.917,81.498,"Class1",41.105,72.594,19,34.491,73.64
NA,66.638,58.046,65,23.05,21.776,"Class2",68.148,58.564,57,28.009,46.59
"L",67.283,34.41,65,66.864,35.091,"Class3",78.496,43.114,74,95.309,40.005
"D",64.388,85.871,66,56.888,28.689,"Class2",84.354,59.453,56,45.382,70.459
"D",62.522,61.788,60,33.296,22.355,"Class2",66.643,61.241,72,70.193,48.227
"S",63.658,75.857,55,37.215,73.051,"Class2",81.656,59.3,61,78.561,51.341
"G",57.051,15.974,54,44.836,35.741,"Class3",74.877,18.968,80,94.396,26.139
"S",62.702,45.781,64,43.081,64.55,"Class2",70.246,54.451,65,79.359,32.334
"N",49.671,72.987,60,39.862,81.969,"Class1",8.25,53.463,21,79.622,67.835
"Y",81.397,49.096,68,71.882,36.116,"Class3",87.781,16.93,75,98.24,54.141
"E",62.987,118.952,59,50.107,58.553,"Class2",79.825,63.7,60,69.554,75.485
"C",17.465,77.086,47,39.98,83.516,"Class1",44.329,36.437,34,25.84,64.824
"G",60.633,51.643,68,31.954,33.57,"Class3",83.286,35.103,75,95.408,55.473
"M",34.86,71.998,64,43.876,80.024,"Class1",37.697,49.511,6,57.863,73.292
"E",67.149,31.274,63,30.252,39.335,"Class2",82.086,55.757,72,87.167,61.414
"C",29.543,73.878,55,39.922,79.814,"Class1",65.214,61.949,20,52.002,61.123
"D",64.449,54.516,67,39.53,59.141,"Class2",84.882,57.669,70,72.425,60.478
"F",60.713,67.206,53,41.391,33.717,"Class3",80.027,23.881,77,95.443,58.276
"C",48.83,77.862,52,32.783,78.683,"Class1",71.939,57.26,21,32.172,60.636
"G",44.066,33.923,53,57.171,33.294,"Class3",67.352,10.615,82,98.831,62.245
"C",56.469,78.447,43,41.937,82.23,"Class1",42.36,52.952,8,24.985,66.828
NA,61.286,73.055,52,39.397,34.072,"Class2",75.136,55.387,61,87.893,65.302
"F",85.066,77.337,57,51.052,34.09,"Class3",84.723,35.123,76,98.251,52.986
"Q",66.323,83.172,57,64.61,NA,"Class2",52.608,67.476,77,53.562,55.659
"V",41.01,80.375,59,48.478,81.115,"Class1",87.939,54.846,10,53.722,62
"E",67.629,8.41,65,45.058,74.321,"Class2",75.683,46.68,82,30.591,59.306
"F",89.047,36.76,70,64.442,33.367,"Class3",78.002,50.291,82,98.947,42.106
"O",64.838,21.609,54,43.58,36.959,"Class2",65.084,54.809,59,22.623,67.627
"O",62.522,50.076,66,58.449,67.707,"Class2",58.549,47.271,72,16.191,49.835
"Y",66.959,52.148,60,63.857,NA,"Class3",87.138,37.688,77,93.997,40.027
"F",77.609,56.62,51,29.742,35.052,"Class3",77.823,66.32,83,94.548,36.101
"F",75.659,47.067,54,17.269,35.296,"Class3",84.408,21.811,71,97.139,44.884
NA,72.441,50.509,53,55.106,35.382,"Class3",72.172,34.012,77,97.934,50.096
"N",53.734,77.174,51,36.153,82.504,"Class1",43.041,81.636,21,57.445,66.988
NA,16.994,79.875,58,40.857,83.095,"Class1",47.758,40.9,16,35.068,64.414
"S",64.44,36.149,63,48.011,31.857,"Class2",86.078,61.226,79,86.312,27.273
"O",61.555,76.727,51,36.267,77.084,"Class2",70.12,49.054,78,43.444,23.987
"B",35.088,72.287,44,46.521,82.36,"Class1",32.136,49.286,12,61.27,64.698
"D",65.431,46.399,63,35.264,52.646,"Class2",77.947,55.9,79,20.608,56.791
"J",44.584,66.646,51,65.854,33.529,"Class3",76.832,57.988,85,98.026,57.643
"F",60.371,29.546,67,39.67,35.845,"Class3",94.244,51.109,81,94.481,51.343
"S",63.373,56.089,56,39.959,37.847,"Class2",66.216,64.091,76,88.043,32.748
"V",51.896,73.132,52,40.82,81.906,"Class1",116.247,68.037,21,59.771,63.75
"E",61.746,74.027,51,37.752,25.136,"Class2",75.522,57.654,63,8.304,32.025
"N",31.3,79.132,64,34.463,82.42,"Class1",59.385,52.407,20,67.096,71.876
"G",64.267,24.351,54,64.486,36.411,"Class3",69.365,31.982,83,97.422,57.109
"E",67.78,51.755,60,28.897,72.873,"Class2",75.553,51.938,59,56.71,76.996
"O",62.584,53.968,63,25.344,63.387,"Class2",69.381,59.915,64,15.907,47.732
"G",67.118,64.876,63,27.2,35.24,"Class3",79.736,29.862,71,93.213,27.773
"B",10.702,74.255,50,32.389,79.265,"Class1",29.699,56.291,5,77.269,64.469
"O",67.653,75.116,66,43.042,62.176,"Class2",79.573,55.72,56,65.113,32.861
"F",81.239,43.222,57,87.666,34.874,"Class3",89.911,51.181,85,97.335,70.78
"O",66.059,1.156,66,38.983,41.234,"Class2",83.675,55.005,59,5.646,55.085
"Q",66.525,22.236,67,24.691,59.638,"Class2",73.691,55.328,64,37.954,38.46
"M",52.583,70.952,59,44.612,81.619,"Class1",41.45,55.2,33,31.765,74.992
"M",21.656,80.588,34,40.261,81.304,"Class1",13.448,33.009,6,53.387,69.417
"L",33.781,58.792,69,46.872,33.603,"Class3",74.434,17.569,84,95.787,55.702
NA,67.728,70.76,57,50.177,51.372,"Class2",63.767,56.913,77,52.746,48.368
"S",64.733,114.033,64,34.029,53.046,"Class2",71.122,54.702,73,70.935,42.251
"N",28.262,71.92,47,40.489,83.324,"Class1",30.403,46.949,37,63.797,68.568
"B",55.6,76.003,63,35.904,82.47,"Class1",47.514,56.312,29,37.505,74.783
"Y",32.137,53.93,61,77.28,36.998,"Class3",78.055,40.827,81,96.914,40.729
"J",38.519,32.988,53,74.518,34.419,"Class3",88.255,37.109,71,98.155,59.366
"D",67.204,57.069,59,41.852,36.357,"Class2",70.367,58.235,62,18.177,60.123
"S",62.652,5.938,67,35.611,30.931,"Class2",79.766,65.417,72,82.771,56.546
"O",66.354,42.428,55,48.674,21.792,"Class2",71.79,55.985,57,72.839,63.223
"B",12.454,75.918,36,40.865,83.543,"Class1",-5.558,62.417,16,49.69,61.746
"D",61.341,11.385,60,29.556,78.039,"Class2",53.054,50.523,79,20.831,34.799
"N",18.894,76.43,42,43.298,80.907,"Class1",9.893,46.608,16,57.045,61.635
"L",66.164,46.869,67,50.48,34.526,"Class3",89.709,9.761,80,93.034,38.379
"F",56.349,12.203,70,61.227,33.133,"Class3",90.417,27.321,86,94.648,64.712
"B",40.808,79.612,55,39.391,79.468,"Class1",53.342,37.025,26,26.452,62.163
"C",9.996,75.863,46,39.266,79.93,"Class1",15.69,58.72,21,28.396,72.652
"D",61.627,75.423,62,24.512,39.36,"Class2",71.245,54.883,73,53.469,58.206
"M",13.759,77.556,50,25.788,79.295,"Class1",50.901,53.446,33,62.378,72.691
"Q",65.724,32.571,65,29.832,58.921,"Class2",85.385,52.732,79,65.886,63.295
"G",52.747,7.941,61,55.638,34.21,"Class3",82.7,38.769,81,96.678,68.364
"Q",65.736,60.168,65,59.233,23.632,"Class2",70.142,54.552,69,15.307,37.454
"F",33.101,28.528,64,25.16,34.533,"Class3",86.278,20.721,72,95.721,39.643
"E",62.784,70.226,64,47.159,23.729,"Class2",80.775,58.776,73,39.816,30.056
"D",63.359,41.339,67,53.027,52.822,"Class2",77.565,51.195,62,63.007,29.371
"F",46.878,73.966,59,41.665,34.483,"Class3",86.58,10.779,73,94.836,43.156
"Y",72.323,59.016,69,50.828,36.887,"Class3",86.484,32.151,80,97.192,35.595
"E",67.917,128.38,64,35.558,35.792,"Class2",69.224,62.146,58,79.981,33.752
"Q",66.757,63.875,58,30.956,NA,"Class2",74.784,54.148,59,21.991,34.93
"C",16.237,78.977,42,43.993,79.774,"Class1",64.085,59.021,9,19.152,63.592
"E",64.91,76.119,56,40.693,26.279,"Class2",71.031,61.366,77,85.194,49.252
"E",65.091,78.63,50,41.291,35.053,"Class2",82.478,60.161,64,61.357,47.303
"N",20.154,77.303,60,40.002,81.219,"Class1",19.213,39.676,16,27.488,69.169
"L",38.198,28.523,59,70.661,NA,"Class3",71.836,54.672,84,98.544,55.21
"O",65.652,51.232,51,36.667,77.469,"Class2",93.931,64.755,77,9.701,67.53
"L",59.708,47.794,60,70.237,35.879,"Class3",88.317,23.288,81,93.726,68.431
NA,48.135,55.517,63,60.051,33.522,"Class3",79.596,53.734,73,97.859,37.032
"V",24.014,71.542,66,32.833,80.813,"Class1",13.212,47.993,17,57.002,77.179
"G",88.988,26.798,51,90.658,36.544,"Class3",99.14,47.878,71,98.208,51.039
"M",59.088,83.575,51,48.672,82.117,"Class1",-19.902,36.401,24,34.847,76.015
"O",65.472,33.946,50,32.262,48.98,"Class2",62.807,65.313,61,20.419,78.258
"B",19.222,72.773,49,45.081,79.208,"Class1",26.272,60.7,13,21.811,71.69
"O",62.551,42.79,50,30.777,42.889,"Class2",63.249,60.419,71,93.222,70.967
"J",56.396,34.688,53,-4.816,34.033,"Class3",84.083,52.088,82,93.528,65.817
"J",42.928,53.935,60,8.421,36.431,"Class3",85.233,55.372,73,94.162,35.908
"B",16.774,70.421,33,42.553,78.59,"Class1",58.6,59.156,40,38.422,66.537
"L",54.307,49.045,62,46.921,36.311,"Class3",80.565,77.549,72,97.174,52.332
"Y",35.336,62.478,65,13.146,33.63,"Class3",63.611,32.284,71,93.199,58.917
"S",65.328,44.9,65,44.186,25.503,"Class2",52.632,55.621,74,81.767,37.602
"O",67.166,25.988,50,49.552,45.365,"Class2",59.058,49.67,64,83.845,72.239
"J",89.574,52.307,58,58.448,34.359,"Class3",105.754,30.66,81,96.813,60.427
"G",64.913,66.682,66,64.533,34.43,"Class3",71.303,35.288,75,97.745,65.65
"C",56.896,82.88,34,32.603,80.453,"Class1",42.518,58.436,10,26.609,64.523
"M",52.58,75.934,32,39.905,81.742,"Class1",17.972,55.45,10,53.685,73.445
"E",65.686,63.643,56,38.575,28.116,"Class2",65.797,55.329,75,55.146,81.876
"G",42.845,20.157,53,76.517,34.531,"Class3",84.2,11.79,83,98.185,47.897
"Q",61.215,66.061,57,33.468,26.945,"Class2",70.305,57.522,69,30.038,47.629
"J",69.152,57.286,56,64.768,34.033,"Class3",79.741,28.202,77,98.146,64.502
"B",34.995,70.528,65,38.454,81.866,"Class1",6.445,54.244,23,23.271,77.119
"J",73.61,50.433,69,49.724,34.366,"Class3",97.197,16.974,79,95.872,37.328
"C",28.002,74.435,54,34.18,79.765,"Class1",51.607,48.15,5,32.89,70.016
"Q",65.625,86.458,52,35.686,69.012,"Class2",67.713,55.712,80,69.878,25.703
"Y",31.988,21.823,55,54.928,33.346,"Class3",95.755,-3.284,75,98.789,36.043
"Q",62.957,67.327,63,38.63,47.236,"Class2",76.143,56.409,58,35.702,51.968
"B",51.451,75.424,67,39.352,79.053,"Class1",18.819,36.037,13,19.834,59.353
"B",28.984,72.563,44,50.448,83.173,"Class1",81.41,38.604,9,78.618,71.251
"D",63.034,41.754,54,40.091,27.654,"Class2",75.384,51.943,74,24.664,24.58
NA,26.474,84.63,42,42.29,81.515,"Class1",67.184,37.187,10,53.506,62.904
"M",50.242,78.771,57,43.7,82.58,"Class1",78.909,81.683,17,69.374,67.542
"G",37.74,56.363,64,55.198,34.592,"Class3",77.709,23.11,84,97.027,31.578
"M",54.884,70.831,32,37.818,78.468,"Class1",66.432,86.865,32,22.056,71.641
"M",34.049,72.86,52,41.583,83.42,"Class1",43.996,76.244,15,80.292,72.905
"Y",63.167,47.813,68,51.73,34.262,"Class3",74.935,64.885,82,97.591,51.419
"F",63.763,100.702,54,72.049,35.061,"Class3",72.927,49.919,72,93.36,40.912
"O",67.296,91.314,65,34.476,33.705,"Class2",60.852,55.528,60,41.31,59.137
"L",39.491,60.507,65,23.76,36.308,"Class3",79.331,33.227,85,94.095,50.006
"D",61.476,86.949,58,30.834,39.215,"Class2",75.486,59.647,78,80.543,77.431
"Q",61.731,57.345,50,26.854,66.503,"Class2",60.974,56.258,78,74.821,83.633
"V",27.793,77.32,50,43.493,79.864,"Class1",33.06,78.936,32,25.331,74.781
"L",81.347,68.536,68,59.72,34.687,"Class3",88.515,3.014,75,98.427,40.804
"V",60.848,64.591,47,29.727,78.808,"Class1",85.523,75.997,27,22.379,68.996
"C",36.034,76.605,64,43.506,79.72,"Class1",19.375,50.654,10,34.457,71.181
"Q",64.291,74.77,61,27.258,33.925,"Class2",58.224,55.136,81,44.187,34.823
"J",32.984,58.775,56,43.358,33.866,"Class3",98.032,33.327,83,97.9,56.011
"S",67.431,120.942,59,47.514,74.248,"Class2",69.165,49.756,55,27.811,56.928
"L",82.035,64.882,68,72.67,36.287,"Class3",97.211,33.863,79,93.486,66.028
"J",82.621,44.292,65,67.634,33.518,"Class3",70.497,26.525,75,95.373,52.984
"M",53.507,82.15,54,49.216,81.224,"Class1",49.67,82.533,8,51.774,67.642
"L",38.226,12.926,67,107.195,34.295,"Class3",80.157,13.386,80,93.995,31.143
"G",53.456,31.633,51,53.126,36.978,"Class3",84.77,42.925,74,96.905,44.11
"S",61.387,74.092,59,47.3,54.575,"Class2",86.015,50.357,61,95.257,66.46
"E",64.78,50.677,64,29.728,69.999,"Class2",59.725,52.268,71,31.154,82.565
"N",37.034,79.055,57,39.965,83.879,"Class1",65.377,42.844,38,41.117,71.284
"Q",61.893,40.844,63,64.569,63.03,"Class2",86.579,50.339,57,45.683,55.435
"M",57.402,72.125,44,46.044,80.694,"Class1",26.822,35.196,26,20.261,77.336
"N",48.489,78.851,66,34.55,83.338,"Class1",33.196,51.155,40,36.816,77.389
"V",57.53,78.018,60,47.682,79.383,"Class1",37.288,47.511,21,77.136,69.521
"D",65.988,23.045,58,41.828,37.677,"Class2",75.585,50.813,67,44.176,41.679
"F",40.053,28.395,63,49.991,NA,"Class3",94.963,47.972,79,94.172,65.46
"G",46.676,31.249,66,18.328,NA,"Class3",80.039,62.783,74,93.944,45.375
"N",34.475,73.061,38,41.508,81.759,"Class1",51.883,66.634,10,48.897,59.268
NA,57.122,42.129,67,14.196,33.795,"Class3",89.334,7.959,72,93.516,37.312
"Q",65.224,117.383,52,46.272,74.909,"Class2",60.657,53.673,59,88.628,33.548
"F",53.743,51.147,52,52.425,34.807,"Class3",72.91,35.609,78,97.277,34.874
"B",26.298,72.698,48,38.727,82.672,"Class1",33.035,72.89,41,54.002,64.564
"Q",66.584,59.141,51,41.966,25.752,"Class2",86.29,56.22,74,38.124,30.101
"Q",65.509,45.165,66,37.443,39.298,"Class2",64.873,54.517,70,68.061,47.028
"M",48.656,81.325,67,43.12,80.835,"Class1",11.285,82.979,17,74.107,67.096
"L",66.918,31.323,70,45.707,35.277,"Class3",68.329,45.589,83,96.586,36.408
"Y",35.128,44.033,58,53.518,35.113,"Class3",79.184,27.166,77,97.719,28.084
"S",61.539,51.753,56,37.601,50.917,"Class2",77.767,59.522,68,22.863,52.748
"Y",63.681,52.183,53,61.322,36.667,"Class3",81.315,14.746,79,98.937,61.348
"B",57.246,80.515,53,34.714,NA,"Class1",35.076,75.087,10,59.056,63.861
NA,64.639,53.548,58,30.001,73.153,"Class2",70.778,59.654,57,10.899,59.549
"G",56.147,39.57,52,59.216,35.268,"Class3",70.193,42.516,84,93.517,29.185
"F",37.75,27.068,69,30.483,34.311,"Class3",70.498,44.054,75,98.151,39.954
NA,61.147,28.272,58,34.512,27.368,"Class2",78.262,61.952,69,92.412,70.879
"Y",46.959,54.51,54,58.472,33.461,"Class3",76.18,-8.05,77,96.774,65.915
"Y",55.2,55.868,57,51.176,35.817,"Class3",89.65,27.282,80,93.378,46.733
"F",57.852,46.313,60,71.154,33.354,"Class3",97.655,44.835,77,97.667,68.913
"E",64.112,52.728,56,44.669,54.241,"Class2",62.041,63.245,56,40.033,32.549
"Y",62.105,46.88,71,45.381,34.097,"Class3",88.749,14.748,85,97.069,70.738
"S",64.166,63.796,53,31.685,27.074,"Class2",59.307,51.193,74,73.315,58.764
"V",13.003,77.098,39,37.249,79.06,"Class1",-1.391,48.244,36,72.981,67.032
"G",63.002,38.681,53,43.166,33.258,"Class3",89.492,11.031,83,94.604,32.459
"S",67.734,48.125,67,30.891,20.653,"Class2",73.038,63.64,57,64.477,56.309
"M",15.564,73.642,63,42.844,81.17,"Class1",66.857,28.291,25,57.951,76.065
"B",19.783,73.354,33,38.206,80.331,"Class1",41.687,62.402,30,19.56,61.411
"Y",88.516,24.318,55,43.127,34.892,"Class3",78.526,48.128,75,96.12,33.116
NA,84.295,53.411,67,64.872,36.785,"Class3",79.13,10.788,86,97.419,62.258
"Q",66.255,31.627,57,37.052,62.337,"Class2",74.748,53.998,75,44.387,44.551
"D",62.225,53.44,62,41.278,29.307,"Class2",71.207,59.433,56,23.483,62.108
"M",31.012,76.406,32,39.168,78.123,"Class1",102.615,40.654,28,54.656,71.029
"B",57.111,82.554,46,40.855,81.85,"Class1",81.552,40.793,28,60.488,65.278
"F",47.287,62.982,68,54.838,35.236,"Class3",79.213,29.322,71,96.893,34.415
"E",64.271,60.16,63,34.572,79.598,"Class2",82.151,61.437,76,27.746,79.86
"O",66.77,79.466,54,50.503,49.796,"Class2",78.597,59.962,82,26.966,77.75
"Q",65.703,66.398,63,27.101,29.894,"Class2",83.635,62.651,78,49.651,52.274
"S",62.7,41.488,64,36.381,NA,"Class2",75.471,62.008,71,95.623,31.797
"Q",64.784,30.377,52,37.316,37.343,"Class2",91.044,47.7,82,55.208,78.567
"S",61.155,26.866,60,41.81,70.545,"Class2",61.471,62.857,70,34.786,47.4
"S",62.145,70.16,52,45.028,22.829,"Class2",81.279,53.891,79,5.663,47.373
"L",48.163,67.16,71,106.694,36.526,"Class3",80.046,47.176,78,97.385,55.045
"V",59.873,82.068,47,46.564,82.816,"Class1",41.693,35.824,35,76.811,65.391
"D",65.199,54.661,64,59.998,63.49,"Class2",59.914,49.834,69,83.176,55.072
"S",64.731,18.5,67,39.631,46.746,"Class2",74.075,56.04,60,48.764,41.834
"F",72.629,22.608,67,68.569,33.673,"Class3",83.713,42.852,75,96.699,68.426
"B",40.412,77.395,33,41.944,83.736,"Class1",-16.311,39.424,34,77.611,76.428
"Y",77.507,35.4,57,9.846,33.892,"Class3",82.467,64.596,73,93.136,59.357
"L",47.662,53.195,58,44.148,34.393,"Class3",86.73,63.571,73,98.604,53.035
"O",67.19,56.007,51,40.118,37.934,"Class2",55.21,52.309,57,13.165,46.23
"J",44.572,41.844,52,16.209,36.322,"Class3",69.296,69.406,79,95.215,53.858
"L",41.248,60.913,54,37.502,34.198,"Class3",78.659,26.772,72,95.525,49.019
"N",47.118,75.385,46,30.696,78.689,"Class1",61.902,78.394,21,72.015,68.25
"V",11.421,81.351,62,41.927,82.944,"Class1",39.576,35.747,35,52.653,74.36
"O",64.955,61.372,51,41.027,76.943,"Class2",74.965,67.573,55,22.457,42.338
"E",66.883,44.038,64,36.937,35.402,"Class2",75.091,55.52,60,4.152,75.469
"B",41.26,82.889,42,45.398,78.146,"Class1",67.182,85.608,37,68.561,64.912
"G",71.456,51.539,69,84.296,33.374,"Class3",79.049,41.605,71,96.1,34.671
"V",50.246,71.439,56,43.284,81.685,"Class1",47.733,80.566,7,61.076,59.324
"C",30.073,79.973,66,40.114,78.996,"Class1",65.805,33.044,20,58.524,73.561
"G",41.204,26.367,59,48.137,35.865,"Class3",88.329,-0.7,77,94.276,62.819
"B",54.884,79.75,51,41.854,81.123,"Class1",85.225,79.834,31,20.761,73.793
"F",68.137,60.057,60,47.239,35.384,"Class3",90.006,49.275,83,96.632,35.223
"Y",85.227,15.258,58,33.793,36.095,"Class3",80.442,39.606,74,95.639,36.532
"Y",54.368,39.987,60,32.144,NA,"Class3",81.057,26.09,77,97.739,28.183
"D",64.388,57.503,51,38.716,54.036,"Class2",71.58,50.119,77,30.696,63.879
"C",46.404,77.52,67,43.258,81.713,"Class1",3.924,36.196,20,40.087,66.2
"J",43.329,58.692,63,86.729,36.122,"Class3",77.466,35.261,72,96.43,45.846
"L",68.53,36.42,58,25.616,36.785,"Class3",62.983,27.509,75,96.954,43.455
"Y",75.578,46.389,52,20.753,34.049,"Class3",95.461,9.119,73,98.718,52.427
"D",61.051,64.209,57,25.532,34.125,"Class2",86.449,56.346,77,32.782,38.813
"B",13.296,71.025,42,43.979,78.349,"Class1",22.595,52.074,15,52.639,71.603
"L",69.301,77.619,68,38.446,34.391,"Class3",73.922,38.394,73,94.045,68.111
"M",11.945,73.735,61,38.097,80.567,"Class1",44.349,75.293,28,25.67,71.874
NA,67.414,82.778,50,28.702,20.346,"Class2",60.941,53.857,65,44.833,62.428
"O",66.594,34.841,65,40.643,40.191,"Class2",53.902,51.229,68,14.543,66.01
"B",60.2,73.371,45,39.281,79.792,"Class1",28.788,75.128,11,61.263,76.824
"L",65.041,12.998,54,15.6,33.809,"Class3",79.575,52.801,73,94.27,47.581
"C",37.497,82.279,59,44.494,82.923,"Class1",-1.927,66.179,25,37.001,61.968
"V",16.29,75.426,46,37.591,78.262,"Class1",93.486,58.472,9,44.197,70.691
NA,48.133,73.074,71,18.81,NA,"Class3",95.042,19.017,85,96.088,52.57
"G",84.277,21.004,67,31.928,33.835,"Class3",75.521,45.503,82,95.853,28.541
"Y",84.272,36.46,62,74.637,34.881,"Class3",87.344,59.801,81,95.336,42.433
"E",61.721,32.58,52,48.818,25.075,"Class2",84.117,56.596,66,42.724,56.334
"O",67.169,59.309,54,53.262,49.726,"Class2",63.036,59.78,66,17.261,48.584
"B",19.154,78.47,45,38.163,82.23,"Class1",34.019,55.182,13,74.455,75.288
"L",44.111,19.521,55,72.339,34.841,"Class3",72.12,24.145,84,96.789,51.121
"C",31.76,76.457,57,34.297,79.982,"Class1",31.971,58.27,26,36.569,67.334
"J",32.751,48.369,66,65.291,36.572,"Class3",73.74,52.435,82,94.684,52.436
"Y",38.004,52.08,62,31.074,33.305,"Class3",77.943,57.932,76,98.917,39.137
"J",46.359,28.669,69,48.112,33.05,"Class3",84.485,32.191,81,96.922,68.474
"M",23.433,76.295,54,42.084,78.851,"Class1",55.452,58.297,25,63.783,71.861
"E",66.486,37.551,63,44.073,65.297,"Class2",63.377,47.817,59,14.135,66.706
"O",66.157,45.998,58,32.45,50.246,"Class2",59.725,67.846,62,65.266,24.845
"Q",62.002,71.402,66,41.738,69.628,"Class2",68.629,60.579,74,47.821,47.855
"V",12.218,84.771,41,43.055,81.048,"Class1",30.975,52.8,22,70.949,74.172
"F",61.303,27.235,71,1.353,36.81,"Class3",82.513,36.997,75,94.276,34.815
"O",61.616,6.598,61,40.374,74.333,"Class2",59.416,49.834,57,25.329,38.178
"O",64.919,49.488,58,29.589,47.41,"Class2",54.185,58.932,72,44.551,33.467
"C",57.794,74.708,51,38.41,82.301,"Class1",68.926,73.703,10,47.012,64.781
"C",36.739,79.453,34,38.775,82.082,"Class1",39.264,69.829,21,74.783,69.069
"B",48.14,76.836,51,43.061,83.131,"Class1",28.805,29.458,9,41.67,62.237
NA,64.848,41.059,51,42.985,58.173,"Class2",86.075,54.333,73,75.115,38.641
"O",62.787,19.599,63,44.063,24.031,"Class2",78.858,59.426,78,54.291,72.643
"M",48.376,71.98,55,43.581,82.563,"Class1",39.271,47.146,8,64.907,70.999
"L",55.835,42.852,64,46.471,36.591,"Class3",80.355,68.217,72,93.725,27.452
"G",62.105,59.961,64,23.491,36.121,"Class3",84.228,65.088,81,97.858,61.464
"L",64.664,44.699,70,43.265,33.647,"Class3",79.464,20.518,83,93.033,59.593
"N",22.646,76.688,58,43.213,79.144,"Class1",44.413,47.231,27,79.109,65.961
"S",62.382,79.78,55,34.197,35.061,"Class2",58.48,58.674,68,3.143,35.872
"S",65.427,-14.437,57,32.439,61.347,"Class2",62.197,54.426,79,17.198,47.162
"L",71.869,54.232,56,34.682,34.616,"Class3",80.001,32.262,83,93.655,45.58
NA,63.112,74.85,67,39.971,62.907,"Class2",69.064,63.757,62,90.899,83.533
"J",83.163,27.935,57,53.433,35.864,"Class3",87.86,21.118,74,93.776,56.895
"V",49.15,78.993,34,39.766,80.335,"Class1",100.332,59.621,12,80.633,77.711
"F",72.616,45.047,64,60.905,33.562,"Class3",82.173,58.87,74,95.801,30.302
NA,52.712,74.168,54,19.514,36.167,"Class3",83.099,34.601,73,97.571,66.052
"N",64.703,78.505,43,41.995,79.919,"Class1",50.365,21.759,38,78.985,71.928
"Q",67.764,90.105,52,29.063,53.95,"Class2",70.939,55.292,61,95.029,35.454
"J",82.478,51.279,61,48.343,34.408,"Class3",82.36,55.873,83,97.609,63.463
"L",80.943,69.64,71,36.35,35.386,"Class3",64.889,8.054,85,94.387,59.972
"G",73.155,42.198,58,15.602,33.009,"Class3",91.49,40.868,77,93.927,57.947
"N",20.211,74.088,48,49.893,80.934,"Class1",46.225,49.091,37,60.793,70.579
"M",16.627,79.774,66,47.264,78.382,"Class1",-4.22,39.541,27,77.256,61.129
"S",66.032,30.36,50,19.331,62.19,"Class2",82.104,56.51,81,65.908,35.242
"N",59.71,66.962,51,43.754,80.461,"Class1",75.69,65.454,6,80.082,65.529
"B",41.17,82.212,41,42.773,79.652,"Class1",13.379,79.139,12,33.089,65.867
"Q",64.005,57.627,55,57.55,37.005,"Class2",89.304,53.46,56,29.16,76.361
"Q",65.145,43.303,66,53.462,51.389,"Class2",62.02,50.126,59,50.69,39.084
"Y",78.586,52.838,68,88.757,34.872,"Class3",96.291,10.509,84,97.881,37.281
"N",52.936,71.881,40,42.728,79.425,"Class1",93.257,44.227,37,80.39,63.269
"L",87.541,70.151,53,91.769,33.163,"Class3",83.421,32.878,73,96.21,53.564
"Q",66.393,37.694,58,31,52.743,"Class2",81.408,62.459,72,42.869,50.251
"N",17.721,76.018,63,37.023,NA,"Class1",39.306,76.71,10,67.839,73.779
