"OWE1","HKA2","PXA3","KWV4","IDA5","KEC6","YGR7","UVD8","ZFL9","ESN10","Output18"
"X",78.241,75.485,29,45,31.601,52.285,87.769,16.309,54.898,"Class3"
"S",45.227,14.833,38,9,90.127,88.352,56.361,75.661,47.864,"Class1"
"H",50.461,23.374,86,12,82.31,84.881,42.321,62.495,22.857,"Class1"
"V",41.908,39.731,39,23,34.486,33.319,12.253,88.9,74.496,"Class4"
"K",90.652,92.632,40,24,14.865,38.124,48.691,15.026,87.013,"Class3"
"P",52.631,49.732,67,41,43.101,42.329,78.191,48.608,5.431,"Class2"
"V",42.787,12.132,63,11,90.673,85.723,41.325,68.343,34.924,"Class1"
"H",29.698,22.122,70,12,68.151,82.942,56.646,77.676,25.123,"Class1"
"S",44.245,9.372,59,8,75.472,85.99,50.592,66.147,7.879,"Class1"
"X",48.534,68.801,42,37,61.48,24.204,36.966,77.169,74.575,"Class4"
"V",31.474,19.169,49,12,71.934,80.319,67.711,72.569,48.79,"Class1"
"Q",62.429,68.134,22,47,16.961,45.923,60.156,10.715,87.482,"Class3"
"H",15.049,17.443,46,6,79.91,88.335,50.912,72.607,2.119,"Class1"
"Y",55.366,50.538,61,44,54.091,41.194,78.718,34.578,12.146,"Class2"
"F",39.016,15.495,67,11,82.74,87.03,82.552,57.25,27.749,"Class1"
"H",81.307,59.281,60,39,41.681,52.876,14.714,89.736,72.993,"Class4"
"V",57.464,14.65,45,14,72.728,87.644,62.41,75.939,41.145,"Class1"
"K",46.018,71.703,18,34,13.451,38.538,84.84,14.756,88.819,"Class3"
"F",63.641,54.922,38,5,45.178,56.19,20.72,75.281,65.505,"Class4"
"X",31.812,59.713,38,20,24.964,22.786,48.218,73.324,75.592,"Class4"
"Z",42.45,44.994,15,29,15.555,35.182,38.76,12.609,53.953,"Class3"
"V",60.675,74.016,68,29,34.65,22.329,59.952,72.901,68.865,"Class4"
"X",38.465,38.083,62,30,60.582,33.494,34.115,73.662,63.703,"Class4"
"X",121.953,58.788,41,30,48.488,35.875,77.049,14.098,80.975,"Class3"
"H",61.431,34.649,51,9,37.82,40.766,48.757,67.773,71.447,"Class4"
"F",50.79,38.801,35,5,53.79,34.522,13.032,62.27,73.559,"Class4"
"X",90.952,82.061,40,28,24.837,40.563,70.91,16.774,75.968,"Class3"
"S",16.596,16.219,88,6,65.09,81.328,51.528,79.445,62.092,"Class1"
"Q",55.687,56.948,25,29,41.144,51.154,60.537,10.748,57.241,"Class3"
"E",47.317,53.061,71,40,53.403,41.672,78.354,48.548,38.546,"Class2"
"X",68.629,58.919,44,42,46.918,47.75,62.788,12.792,77.141,"Class3"
"F",17.538,8.105,81,5,83.017,87.068,74.808,67.277,67.084,"Class1"
"X",67.059,52.407,15,19,25.472,43.918,42.907,10.948,81.815,"Class3"
"E",42.154,52.652,65,62,64.529,42.542,78.241,48.019,14.164,"Class2"
"P",58.674,54.057,66,54,53.865,40.498,81.752,38.639,NA,"Class2"
"P",58.213,51.066,47,41,99.238,39.979,77.825,45.307,56.28,"Class2"
"V",14.91,48.166,46,1,53.098,40.235,48.347,81.651,70.201,"Class4"
"X",85.425,55.31,26,33,46.997,45.78,46.884,15.7,64.532,"Class3"
"F",43.021,19.121,50,12,49.274,85.62,75.384,80.413,63.392,"Class1"
"F",61.269,17.134,46,12,85.653,NA,60.642,69.121,22.583,"Class1"
"H",54.654,20.695,80,10,96.699,83.91,72.599,84.569,25.727,"Class1"
"V",56.213,57.093,43,40,31.648,37.507,23.905,85.008,69.137,"Class4"
"P",54.599,46.315,48,63,78.867,44.206,75.583,33.247,3.715,"Class2"
"V",68.212,16.487,93,10,64.626,85.688,73.673,62.304,NA,"Class1"
"V",57.419,62.182,75,55,39.89,NA,32.276,58.23,63.239,"Class4"
"V",31.176,47.648,56,54,56.072,31.253,44.821,70.209,72.431,"Class4"
"S",53.403,51.259,55,51,53.718,42.958,77.263,40.145,11.455,"Class2"
"H",14.779,42.64,39,51,60.079,33.299,14.436,69.027,68.924,"Class4"
"Q",79.495,54.17,26,26,28.836,46.934,63.551,15.968,62.826,"Class3"
"Z",62.646,48.157,31,43,48.55,37.496,93.677,14.504,82.464,"Class3"
"O",48.153,17.327,70,8,74.824,86.24,68.708,83.035,30.527,"Class1"
"S",30.783,51.892,45,58,55.888,40.344,76.821,35.962,31.736,"Class2"
"S",46.739,20.989,93,16,96.166,85.96,31.446,79.456,36.45,"Class1"
"U",42.309,42.889,40,8,47.154,35.237,21.52,64.13,73.64,"Class4"
"O",43.844,19.113,71,9,99.413,84.17,46.263,85.544,NA,"Class1"
"E",38.911,52.65,48,65,54.762,NA,88.753,31.897,65.684,"Class2"
"F",63.995,27.359,60,15,63.057,83.141,62.232,85.325,6.796,"Class1"
"V",40.448,39.737,65,55,70.85,38.927,12.46,93.437,74.512,"Class4"
"V",46.862,2.683,79,9,69.73,86.289,65.834,61.571,6.799,"Class1"
"E",49.207,53.118,62,42,51.857,44.318,75.024,42.861,42.485,"Class2"
"Y",44.533,55.336,52,50,56.549,39.888,78.462,36.952,56.448,"Class2"
"P",52.474,54.651,54,51,64.029,41.903,80.147,41.142,25.301,"Class2"
"P",48.289,49.436,57,44,63.112,40.596,87.107,41.552,NA,"Class2"
"J",91.584,66.342,26,36,29.435,43.626,77.335,14.17,50.205,"Class3"
"F",21.696,23.889,38,10,75.234,86.415,42.133,70.065,64.695,"Class1"
"J",96.235,72.304,38,17,24.701,37.064,70.083,14.476,57.781,"Class3"
"O",8.868,11.87,82,5,78.454,84.67,76.63,73.65,61.046,"Class1"
"F",26.787,20.166,56,14,65.761,84.734,83.858,59.48,47.945,"Class1"
"Y",55.809,55.782,65,61,71.345,45.055,85.962,38.585,27.53,"Class2"
"Q",73.399,68.19,19,24,6.46,42.426,70.558,13.573,64.675,"Class3"
"H",50.894,55.491,71,40,42.732,32.593,15.366,86.746,63.457,"Class4"
"E",55.108,52.815,47,64,85.707,39.829,86.271,40.678,62.183,"Class2"
"Y",44.911,53.29,69,52,80.977,40.093,76.941,36.027,26.065,"Class2"
"F",50.496,55.256,51,19,60.875,44.953,25.126,65.644,64.063,"Class4"
"E",49.019,50.763,50,43,61.349,44.512,79.557,47.542,NA,"Class2"
"O",35.231,8.905,53,8,85.094,87.854,73.74,80.583,NA,"Class1"
"F",12.194,61.891,64,40,29.848,30.173,27.521,73.904,NA,"Class4"
"O",18.656,17.7,61,16,91.279,85.515,34.834,81.944,53.486,"Class1"
"H",57.744,6.652,61,9,86.913,85.503,34.398,65.759,66.117,"Class1"
"P",44.674,46.819,45,52,51.109,41.968,86.385,46.53,51.51,"Class2"
"X",72.201,47.214,35,44,14.993,42.77,79.536,15.714,55.458,"Class3"
"Q",73.271,79.387,26,48,28.518,33.151,39.727,12.09,75.537,"Class3"
"H",46.188,54.024,63,51,54.178,45.328,33.748,75.327,65.9,"Class4"
"H",51.222,43.783,37,7,56.128,32.148,53.145,61.247,63.574,"Class4"
"Z",56.657,59.402,42,41,16.511,33.298,74.61,14.462,64.583,"Class3"
"V",62.209,19.005,86,8,79.491,85.113,82.283,60.669,29.554,"Class1"
"F",56.868,17.86,83,12,78.607,86.221,86.455,83.676,25.415,"Class1"
"Z",64.93,88.328,30,18,38.144,46.284,67.911,16.621,62.519,"Class3"
"H",45.73,22.544,89,12,75.223,85.802,82.591,80.969,42.679,"Class1"
"U",34.242,49.367,35,28,51.568,40.503,55.653,79.22,76.238,"Class4"
"F",11.169,47.192,73,53,25.259,23.255,57.17,91.012,NA,"Class4"
"X",33.49,55.129,41,41,27.021,33.569,34.16,59.99,64.175,"Class4"
"U",28.11,58.907,42,8,9.894,24.278,40.5,69.9,68.734,"Class4"
"Q",61.938,70.109,25,42,25.035,54.712,61.98,13.215,81.198,"Class3"
"E",41.88,54.48,69,40,54.164,39.553,79.216,49.56,29.884,"Class2"
"H",28.714,55.598,70,38,69.07,32.637,16.865,80.082,63.24,"Class4"
"J",85.007,56.318,18,47,21.78,45.696,72.102,10.609,78.615,"Class3"
"H",32.976,7.293,68,15,77.556,88.469,85.095,56.666,57.717,"Class1"
"H",39.696,56.958,61,44,50.906,42.967,40.451,57.92,76.613,"Class4"
"S",16.317,22.225,51,6,83.106,85.776,63.096,66.744,16.428,"Class1"
"S",42.685,55.546,59,40,42.193,41.528,78.125,35.15,51.22,"Class2"
"Z",69.712,55.035,39,30,27.612,40.233,65.027,12.831,57.039,"Class3"
"T",52.787,49.904,63,58,61.545,41.112,83.052,43.133,68.485,"Class2"
"F",46.568,13.591,92,12,88.412,85.895,62.987,67.735,28.887,"Class1"
"Z",80.735,50.975,38,26,14.471,40.643,43.429,13.36,59.122,"Class3"
"Y",42.514,56.264,62,58,63.627,39.6,87.81,48.359,68.695,"Class2"
"H",22.819,49.269,56,45,47.869,NA,23.805,88.064,72.065,"Class4"
"S",55.435,20.564,75,16,77.401,85.672,72.875,73.926,9.424,"Class1"
"P",46.32,48.637,54,61,43.351,41.882,83.52,39.814,38.724,"Class2"
"S",42.758,13.774,78,16,74.014,84.937,82.127,78.96,45.765,"Class1"
"O",20.333,19.821,75,16,73.524,82.916,45.559,74.071,36.097,"Class1"
"K",51.235,67.812,21,35,24.161,39.857,54.256,14.432,52.879,"Class3"
"E",56.483,51.54,63,53,41.081,44.311,79.958,32.183,53.35,"Class2"
"F",9.523,45.856,34,18,64.621,30.457,14.965,72.98,68.058,"Class4"
"K",62.327,60.986,39,40,29.929,50.517,42.29,13.803,63.252,"Class3"
"X",32.593,47.256,63,54,26.093,31.978,19.831,80.833,64.497,"Class4"
"K",60.875,66.307,43,45,35.71,36.103,56.636,13.89,82.719,"Class3"
"V",35.41,69.007,38,20,67.307,42.915,60.786,70.919,73.082,"Class4"
"E",50.528,53.279,64,54,43.391,39.275,82.152,38.69,12.897,"Class2"
"X",68.825,51.485,36,31,36.868,34.983,25.963,72.665,63.103,"Class4"
"Z",20.458,70.776,18,42,35.259,46.468,82.293,10.607,64.293,"Class3"
"S",44.78,49.795,66,65,46.278,43.79,81.6,44.919,64.608,"Class2"
"H",48.069,25.412,80,12,72.272,85.793,75.864,83.689,68.845,"Class1"
"V",43.076,20.693,39,7,65.09,NA,55.637,68.397,27.491,"Class1"
"Q",61.786,86.119,18,19,30.753,40.819,68.511,15.566,52.03,"Class3"
"V",40.407,7.2,74,13,75.804,85.732,52.341,68.094,51.31,"Class1"
"X",51.431,51.003,65,12,33.752,39.141,16.168,65.092,72.628,"Class4"
"X",75.281,83.938,19,18,19.145,40.693,48.969,16.213,NA,"Class3"
"Z",96.525,96.834,17,19,40.82,39.234,72.221,14.435,51.006,"Class3"
"V",54.232,19.497,58,13,81.392,90.777,65.789,68.379,74.673,"Class1"
"H",43.712,64.656,65,41,58.826,29.101,18.262,82.94,68.518,"Class4"
"E",42.296,52.705,47,47,88.111,NA,81.959,47.7,41.832,"Class2"
"Q",76.528,59.374,31,18,24.943,34.783,53.147,13.878,75.899,"Class3"
"P",39.861,51.618,52,43,38.018,42.455,87.596,35.108,35.933,"Class2"
"H",64.619,27.288,78,15,86.516,82.928,37.406,73.485,58.303,"Class1"
"V",30.371,24.076,75,15,79.773,85.148,48.509,61.008,51.446,"Class1"
"S",87.518,23.089,44,16,91.214,82.709,55.224,76.21,57.599,"Class1"
"P",39.255,54.252,68,44,72.081,40.821,87.471,35.7,43.195,"Class2"
"O",48.851,9.262,86,16,90.046,84.056,62.897,80.288,33.112,"Class1"
"X",72.13,48.72,42,31,17.159,44.802,85.602,15.645,76.14,"Class3"
"O",13.174,20.574,78,6,58.204,86.484,40.915,76.615,15.116,"Class1"
"E",50.115,47.979,47,43,33.857,42.017,77.911,50.57,19.673,"Class2"
"O",25.421,8.295,89,15,80.866,86.374,49.636,64.899,NA,"Class1"
"J",42.261,49.374,41,31,17.937,41.008,54.554,15.325,51.197,"Class3"
"K",70.289,61.986,22,43,16.006,40.639,88.779,10.017,85.588,"Class3"
"X",40.499,44.725,47,25,58.031,NA,40.725,63.5,74.245,"Class4"
"H",9.836,49.645,46,11,66.044,NA,34.292,88.771,65.105,"Class4"
"Q",79.962,62.381,39,48,32.447,45.858,57.68,12.557,69.238,"Class3"
"V",17.611,63.777,65,43,55.61,18.729,40.893,67.218,76.386,"Class4"
"F",37.654,56.979,74,30,60.359,NA,35.735,87.044,64.759,"Class4"
"X",63.927,61.9,38,41,48.184,46.88,92.843,15.526,NA,"Class3"
"X",38.32,72.429,61,2,34.47,41.92,26.146,65.758,68.674,"Class4"
"S",32.818,25.58,61,6,90.578,90.487,84.609,82.159,50.068,"Class1"
"P",40.587,56.562,56,49,60.829,39.792,83.48,38.036,39.448,"Class2"
"Q",45.275,77.824,44,19,18.621,40.336,49.039,12.454,67.078,"Class3"
"U",29.621,36.955,52,20,62.407,30.275,42.199,57.291,69.816,"Class4"
"S",61.886,51.009,68,42,63.668,NA,86.542,40.114,NA,"Class2"
"F",62.989,16.496,62,12,98.233,86.452,46.002,57.566,18.861,"Class1"
"Z",67.302,69.062,31,24,33.371,NA,60.721,11.561,74.541,"Class3"
"X",68.02,81.644,44,27,33.332,43.237,65.894,16.237,NA,"Class3"
"P",60.023,51.762,60,45,47.921,41.889,78.968,36.201,20.611,"Class2"
"E",37.511,51.802,68,44,74.555,43.172,84.954,47.879,23.328,"Class2"
"Q",44.768,61.999,44,39,21.281,41.876,52.116,15.173,78.255,"Class3"
"K",54.551,70.845,20,21,22.683,47.348,55.106,13.675,51.031,"Class3"
"S",51.587,50.681,70,49,68.82,42.594,79.313,38.053,61.745,"Class2"
"P",44.819,51.509,68,49,61.655,42.774,76.648,47.284,7.651,"Class2"
"E",46.744,51.881,45,65,67.343,39.558,81.732,32.557,68.81,"Class2"
"V",17.651,18.971,83,6,73.15,89.108,45.8,58.32,66.866,"Class1"
"S",34.633,57.325,71,59,53.13,41.708,84.614,45.651,30.415,"Class2"
"H",47.977,52.52,59,55,51.639,15.974,15.856,59.314,71.396,"Class4"
"S",33.412,12.118,46,6,83.861,86.373,34.167,58.821,34.008,"Class1"
"Y",52.022,48.693,45,55,72.347,41.96,79.426,45.553,61.841,"Class2"
"V",69.944,50.345,49,11,27.144,28.267,16.785,84.955,76.668,"Class4"
"V",36.889,11.482,36,9,75.157,81.183,34.858,64.688,26.569,"Class1"
"E",47.492,49.035,71,58,50.329,40.827,78.491,46.471,38.209,"Class2"
"K",80.506,77.374,43,22,20.575,43.948,42.363,16.922,80.558,"Class3"
"Q",65.695,92.544,32,27,46.617,44.974,54.865,15.558,78.949,"Class3"
"K",72.917,84.422,22,25,23.337,40.504,48.725,16.681,49.85,"Class3"
"O",54.629,16.455,53,11,82.969,82.07,55.917,78.776,45.479,"Class1"
"X",70.096,47.762,64,38,50.142,45.812,30.15,65.882,74.528,"Class4"
"V",41.732,62.71,49,47,45.842,31.189,53.937,58.401,75.135,"Class4"
"Q",80.913,78.91,28,20,34.563,43.51,78.418,15.167,73.738,"Class3"
"E",60.306,52.251,69,48,48.613,41.165,76.518,40.115,NA,"Class2"
"K",75.509,72.379,43,48,18.512,44.296,58.618,11.657,68.18,"Class3"
"Y",31.754,55.778,51,48,82.576,38.679,85.265,37.581,26.523,"Class2"
"V",39.967,42.561,37,51,59.558,38.933,45.612,86.745,72.128,"Class4"
"F",57.394,20.59,73,6,89.464,86.081,86.091,56.477,67.094,"Class1"
"H",26.229,20.122,82,16,59.078,86.097,44.304,85.277,32.035,"Class1"
"X",59.724,43.126,68,19,32.901,48.696,15.018,60.629,69.437,"Class4"
"X",53.194,77.677,26,30,31.292,37.717,77.216,15.775,61.56,"Class3"
"P",69.863,52.493,60,64,71.91,41.596,84.981,50.811,26.654,"Class2"
"Z",52.642,62.445,25,24,36.854,54.849,91.37,15.152,60.423,"Class3"
"P",53.683,54.567,65,47,88.991,41.101,77.822,32.805,51.016,"Class2"
"P",46.033,56.18,69,63,61.334,42.522,87.016,45.293,56.764,"Class2"
"X",61.937,45.706,65,48,58.432,59.627,22.769,74.754,68.959,"Class4"
"X",44.57,48.051,71,54,52.148,22.035,35.494,60.851,63.602,"Class4"
"F",59.415,23.978,56,15,68.798,86.895,35.003,56.085,20.795,"Class1"
"X",68.821,49.207,36,46,21.455,39.64,75.94,11.282,71.14,"Class3"
"J",54.622,51.093,31,21,18.737,42.292,63.57,11.277,61.343,"Class3"
"K",50.045,81.061,42,31,16.146,39.81,58.191,10.691,NA,"Class3"
"J",87.918,80.187,19,26,43.748,47.012,73.581,11.266,55.968,"Class3"
"U",44.245,52.925,49,8,41.193,38.493,45.761,65.157,64.353,"Class4"
"P",46.972,48.899,58,50,65.425,46.528,79.005,43.518,45.616,"Class2"
"X",72.827,49.168,22,22,40.827,55.16,44.196,14.276,71.68,"Class3"
"J",85.05,92.773,18,33,15.067,42.969,81.046,11.799,66.357,"Class3"
"V",3.665,59.185,67,28,54.625,27.431,22.041,81.16,76.204,"Class4"
"V",73.622,20.579,66,9,93.13,88.876,32.436,60.52,67.896,"Class1"
"U",37.62,59.966,46,55,70.816,25.185,41.575,76.787,67.746,"Class4"
"F",37.449,9.694,51,9,88.004,86.564,83.102,72.926,17.06,"Class1"
"Y",35.031,45.019,45,48,64.055,42.181,76.646,47.864,NA,"Class2"
"O",36.117,20.581,49,15,95.18,84.174,57.91,83.414,11.832,"Class1"
"S",47.687,21.251,46,15,95.452,89.834,62.728,56.398,58.723,"Class1"
"E",36.388,49.234,48,41,52.055,40.899,75.659,32.982,NA,"Class2"
"E",51.015,48.473,63,55,36.656,43.9,87.329,46.416,7.114,"Class2"
"S",53.586,49.697,59,53,55.685,41.152,76.314,50.627,22.079,"Class2"
"V",-17.358,50.646,69,26,68.503,20.486,15.36,74.441,70.168,"Class4"
"X",64.762,64.036,43,42,12.73,42.157,45.973,13.059,82.927,"Class3"
"J",50.565,57.869,25,18,8.429,40.273,42.977,14.527,72.934,"Class3"
"K",73.175,76.637,43,42,23.774,42.198,80.011,13.769,58.851,"Class3"
"F",39.498,25.157,68,10,87.489,85.856,60.402,82.296,55.702,"Class1"
"H",14.874,59.583,72,7,51.164,64.635,23.262,73.785,65.636,"Class4"
"T",43.839,51.167,61,42,46.197,39.626,87.094,46.71,26.081,"Class2"
"S",48.519,16.466,80,6,86.78,88.415,71.776,82.913,21.236,"Class1"
"U",9.532,65.614,59,51,42.138,32.505,14.128,79.519,65.696,"Class4"
"H",27.095,44.956,54,15,40.086,47.617,56.485,77.479,68.508,"Class4"
"S",46.266,17.797,40,5,73.943,87.091,51.192,84.664,17.659,"Class1"
"X",51.516,61.73,37,33,43.091,36.857,24.635,82.892,67.776,"Class4"
"J",62.438,88.034,34,47,10.313,36.224,51.508,14.081,55.531,"Class3"
"H",12.705,45.249,51,51,22.068,16.373,31.474,96.148,71.957,"Class4"
"X",39.764,56.355,60,31,56.003,47.397,21.786,66.846,70.682,"Class4"
"K",61.116,81.791,23,37,38.736,42.031,39.864,11.832,79.342,"Class3"
"H",21.462,76.643,65,54,63.643,NA,60.146,68.909,73.975,"Class4"
"V",46.412,41.628,61,32,82.281,28.951,37.826,57.517,66.428,"Class4"
"P",40.21,48.68,60,48,66.299,40.711,86.8,38.907,52.047,"Class2"
"H",64.135,13.726,79,14,90.846,84.414,40.641,71.872,35.305,"Class1"
"S",25.061,21.87,79,6,79.67,82.345,61.095,76.892,33.241,"Class1"
"S",43.82,13.464,44,16,88.519,87.738,47.067,62.636,41.317,"Class1"
"H",27.837,63.003,34,32,53.057,37.996,20.346,73.566,71.521,"Class4"
"H",54.73,48.769,59,38,61.267,24.562,28.133,75.778,76.146,"Class4"
"H",39.971,57.787,44,13,41.862,49.801,41.543,64.035,69.068,"Class4"
"U",39.833,50.449,66,8,79.152,59.861,28.82,63.435,63.228,"Class4"
"Q",39.849,97.649,29,29,20.812,50.604,91.997,11.99,83.356,"Class3"
"Y",34.462,54.663,53,60,71.186,43.079,78.319,31.419,56.626,"Class2"
"V",28.605,51.508,40,40,24.951,18.073,28.432,85.104,70.797,"Class4"
"Y",48.769,50.166,68,64,60.598,43.142,85.398,39.889,19.191,"Class2"
"K",52.034,73.716,31,38,21.926,39.549,55.462,11.449,62.697,"Class3"
"H",23.658,11.121,35,15,75.708,88.79,36.167,62.291,6.963,"Class1"
"F",47.005,14.664,75,10,66.074,89.244,49.106,65.57,52.231,"Class1"
"T",36.701,51.759,68,55,81.449,40.672,79.791,45.169,5.699,"Class2"
"V",52.644,8.928,90,7,70.022,NA,73.985,74.472,4.778,"Class1"
"T",59.32,51.25,67,41,91.786,43.175,83.37,47.066,60.083,"Class2"
"K",52.49,73.346,25,26,50.35,41.811,93.074,14.495,61.827,"Class3"
"K",48.711,60.459,21,41,29.752,39.166,39.468,11.171,50.957,"Class3"
"H",48.529,58.986,53,34,32.298,41.034,34.107,72.367,69.718,"Class4"
"J",80.783,50.216,21,42,7.508,47.686,81.801,12.043,NA,"Class3"
"X",47.44,31.936,55,44,72.526,27.911,36.19,62.689,66.726,"Class4"
"V",39.397,21.124,68,6,70.434,84.593,78.664,74.023,9.273,"Class1"
"X",39.16,45.615,73,18,38.523,47.205,50.12,72.843,73.892,"Class4"
"V",29.289,47.601,70,4,67.036,23.238,11.21,95.846,63.747,"Class4"
"J",82.468,64.507,30,41,23.082,47.325,44.598,16.848,73.993,"Class3"
"V",53.756,65.148,74,15,44.399,53.186,57.481,60.004,66.15,"Class4"
"X",59.776,48.844,43,50,42.787,33.019,28.097,59.048,76.465,"Class4"
"O",14.506,25.876,92,16,99.478,NA,74.551,60.584,16.235,"Class1"
"X",38.078,49.871,44,17,55.08,30.991,18.087,78.546,64.694,"Class4"
"X",65.286,54.817,35,5,33.015,42.297,17.579,65.141,70.69,"Class4"
"H",59.812,20.299,55,5,90.235,91.381,84.407,77.763,25.796,"Class1"
"U",25.638,57.801,57,0,81.516,26.849,50.404,91.813,68.291,"Class4"
"S",45.665,48.498,51,49,62.697,40.99,86,47.219,49.871,"Class2"
"E",51.447,47.622,67,54,57.429,43.31,80.812,50.754,23.405,"Class2"
"X",33.949,73.754,60,0,67.428,NA,43.619,79.155,74.476,"Class4"
"Q",78.064,71.992,35,27,25.294,40.939,75.24,12.527,72.614,"Class3"
"H",41.284,61.451,47,22,50.856,27.365,39.994,88.108,76.349,"Class4"
"H",54.85,13.897,78,13,82.824,NA,71.104,57.472,26.997,"Class1"
"Q",46.194,45.693,29,46,37.957,46.388,75.335,15.872,71.318,"Class3"
"S",102.919,16.305,62,6,62.614,84.733,61.863,62.661,49.011,"Class1"
"X",40.775,51.09,72,40,36.676,9.719,14.307,63.449,76.936,"Class4"
"H",49.394,50.665,41,44,51.477,47.328,24.378,62.628,76.649,"Class4"
"P",47.678,53.927,69,48,76.813,41.356,78.568,31.79,9.648,"Class2"
"Q",52.627,73.424,31,32,23.033,51.491,67.209,13.824,78.84,"Class3"
"K",81.098,66.752,31,47,25.273,40.264,61.976,13.121,50.532,"Class3"
"E",46.083,50.666,61,64,74.528,39.525,86.19,44.758,42.028,"Class2"
"H",7.869,52.779,44,6,29.069,35.265,23.58,61.381,73.371,"Class4"
"U",39.773,50.35,52,51,30.713,44.372,25.892,57.789,73.445,"Class4"
"O",41.869,4.749,74,5,56.463,84.662,70.058,83.44,25.441,"Class1"
"F",34.439,22.653,78,7,71.844,86.59,59.77,84.625,42.744,"Class1"
"K",77.52,81.573,38,42,25.055,43.169,71.861,16.337,87.465,"Class3"
"S",50.117,50.857,47,50,62.141,40.189,80.76,43.115,6.873,"Class2"
"S",52.734,50.876,48,60,63.21,40.285,88.899,37.323,39.804,"Class2"
"V",43.043,70.499,37,13,54.021,44.445,27.289,67.521,NA,"Class4"
"V",29.394,19.638,77,10,71.096,83.43,54.978,57.111,24.468,"Class1"
"O",2.642,20.232,57,15,72.599,84.815,86.654,60.159,37.471,"Class1"
"P",26.389,49.415,65,52,64.731,42.679,85.011,36.191,64.814,"Class2"
"Y",37.5,51.468,49,52,47.624,41.314,81.926,48.52,47.396,"Class2"
"K",29.724,86.434,25,37,29.892,41.382,54.233,10.172,55.17,"Class3"
"X",42.021,67.174,50,51,70.693,32.179,35.639,57.776,67.28,"Class4"
"Z",63.199,63.686,21,30,33.261,42.394,52.259,10.807,80.65,"Class3"
"Y",41.582,49.341,60,41,57.84,40.303,87.901,46.504,33.06,"Class2"
"O",32.383,11.629,40,8,76.298,86.93,47.257,64.384,13.438,"Class1"
"E",58.886,54.293,69,49,39.006,43.215,85.68,45.083,17.712,"Class2"
"P",57.993,50.659,62,43,66.312,39.895,88.87,42.725,46.087,"Class2"
"V",53.193,18.346,92,8,74.749,84.428,35.6,69.24,73.646,"Class1"
"V",62.992,71.608,49,41,30.575,52.504,35.202,72.004,75.817,"Class4"
"F",45.033,59.957,51,28,41.733,39.129,50.604,61.315,69.988,"Class4"
"V",44.493,68.7,33,32,71.705,33.721,49.998,76.662,69.317,"Class4"
"U",44.123,52.435,40,39,36.852,54.88,33.1,65.688,73.22,"Class4"
"S",47.858,50.672,61,50,38.013,41.227,81.445,36.784,31.948,"Class2"
"Y",45.471,53.787,56,62,60.22,40.834,77.557,43.865,58.617,"Class2"
"F",64.929,12.962,92,13,72.201,84.484,42.028,62.377,18.249,"Class1"
"T",51.837,53.527,69,47,46.513,39.799,79.186,41.154,NA,"Class2"
"U",10.724,41.696,34,4,86.4,33.064,49.289,83.336,73.582,"Class4"
"J",61.098,38.528,32,18,26.842,36.453,68.078,12.022,63.253,"Class3"
"P",39.957,51.066,57,43,57.272,40.492,79.538,32.977,53.906,"Class2"
"Z",83.561,72.087,19,31,10.748,46.352,48.892,11.772,NA,"Class3"
"V",40.681,63.272,69,45,39.223,28.512,47.655,59.872,76.895,"Class4"
"U",29.894,34.996,68,7,34.161,47.647,42.516,79.87,66.437,"Class4"
"Y",51.09,53.959,46,57,87.803,42.999,80.746,47.788,68,"Class2"
"V",9.444,53.975,75,0,50.284,39.08,40.655,95.582,69.506,"Class4"
"V",27.381,53.494,61,29,42.648,24.566,11.772,57.373,72.598,"Class4"
"K",92.192,93.299,43,27,32.401,41.698,71.414,12.052,86.084,"Class3"
"J",56.909,75.549,32,19,23.605,46.371,82.734,15.033,75.949,"Class3"
"Q",65.496,64.423,22,38,28.285,38.877,64.902,15.828,75.422,"Class3"
"V",60.146,50.901,40,2,53.59,39.233,52.372,63.671,73.074,"Class4"
"J",58.824,68.431,40,17,25.286,41.963,77.334,11.222,70.731,"Class3"
"Q",78.291,61.628,31,30,18.492,44.743,80.112,16.16,52.088,"Class3"
"F",40.331,45.35,72,51,37.691,41.95,42.072,86.622,72.748,"Class4"
"U",32.905,51.415,36,30,42.395,NA,17.729,76.546,68.697,"Class4"
"T",61.133,49.727,66,46,78.63,40.147,82.828,45.449,5.75,"Class2"
"T",34.567,52.211,69,52,70.895,44.317,79.886,38.282,33.875,"Class2"
"Q",71.749,64.526,40,47,12.212,37.464,47.751,13.413,63.953,"Class3"
"S",40.302,50.287,50,63,59.027,42.211,75.131,31.066,29.718,"Class2"
"E",61.64,52.707,66,50,44.361,39.133,76.59,38.717,18.587,"Class2"
