"UAZ1","IMG2","POB3","GLF4","HMU5","LVK6","RYA7","NVU8","Output21","PWB9","JCR10","OTJ11"
"O",88,58.555,21.088,48.344,11,17.173,54.482,"Class3",60.351,47.921,29.581
"X",66,36,38.659,64.068,34,44.967,15.683,"Class2",77.434,53.982,44.708
"T",52,84.725,81.167,76.335,39,83.926,14.608,"Class4",74.563,63.36,34.508
"Y",64,49.731,52.009,63.699,33,58.856,34.289,"Class2",84.749,23.134,81.113
"U",11,86.668,75.431,74.422,36,80.435,18.894,"Class4",90.523,42.975,31.102
"O",75,67.554,19.92,39.18,19,17.646,46.178,"Class3",90.646,97.106,28.779
"D",77,60.755,23.936,41.785,27,17.14,34.921,"Class3",70.919,12.517,28.805
"M",66,82.751,79.864,NA,41,83.245,NA,"Class4",101.586,49.925,30.839
"J",18,27.739,14.933,80.034,30,1.264,55.462,"Class1",40.401,62.313,34.25
"L",61,37.825,60.712,56.466,28,73.885,17.027,"Class2",79.911,44.919,65.13
"M",81,52.514,23.843,29.127,11,17.464,40.25,"Class3",92.612,79.605,29.041
"D",75,40.873,28.399,21.642,9,17.293,NA,"Class3",80.057,22.504,30.26
"D",76,41.501,12.653,47.662,26,18.976,48.423,"Class3",68.153,51.5,28.46
"D",58,79.775,39.17,91.245,62,53.042,83.139,"Class5",28.025,53.118,33.782
"U",69,84.331,80.979,62.711,27,81.322,17.926,"Class4",85.487,53.719,42.278
"D",51,60.777,37.108,87.339,60,46.816,80.286,"Class5",29.607,70.532,29.339
"M",54,62.339,50.561,87.337,52,67.459,79.873,"Class5",30.258,72.658,25.113
"G",12,25.822,21.875,48.415,67,50.794,57.631,"Class1",27.034,62.552,28.525
"G",84,58.356,39.86,32.386,24,17.065,35.972,"Class3",78.613,69.636,30.685
"O",59,58.495,62.944,62.844,29,56.695,20.661,"Class2",80.809,57.451,49.851
"O",74,51.712,32.975,30.628,23,17.391,22.783,"Class3",95.866,65.635,28.217
"T",3,25.185,20.426,105.124,27,14.908,43.327,"Class1",38.319,60.943,76.027
"Z",46,83.683,97.139,74.01,28,86.849,28.568,"Class4",79.716,51.379,38.603
"M",81,51.449,6.585,21.644,13,17,46.711,"Class3",88.119,91.972,28.679
"M",77,68.408,10.037,45.108,15,18.107,55.858,"Class3",61.683,80.513,28.341
"L",60,30.365,77.272,60.645,18,5.934,15.506,"Class2",86.865,19.143,77.267
"B",35,26.336,18.878,52.962,70,37.329,62.707,"Class1",39.738,59.618,78.153
"J",3,25.159,14.304,56.613,75,77.673,43.867,"Class1",42.42,58.752,65.958
"D",78,55.937,19.299,58.049,20,17.68,29.78,"Class3",79.341,96.803,30.985
"O",85,53.788,9.955,28.271,13,17.855,32.171,"Class3",79.212,84.244,29.234
"G",83,32.913,10.043,26.979,17,18.894,32.055,"Class3",92.305,22.703,29.481
"O",64,57.794,51.38,59.143,19,88.365,20.364,"Class2",82.398,43.165,52.149
"Y",63,37.95,54.69,60.151,34,63.474,18.044,"Class2",89.171,45.88,61.1
"Y",64,32.252,76.478,56.318,20,68.406,NA,"Class2",81.202,43.976,66.239
"D",86,43.288,4.473,38.133,13,18.14,31.926,"Class3",60,63.014,30.572
"M",51,82.654,69.947,68.47,34,85.346,8.257,"Class4",91.051,53.65,38.911
"S",23,62.55,23.98,87.497,65,37.038,80.082,"Class5",30.956,44.903,27.895
"X",71,40.162,6.422,35.233,15,18.688,12.355,"Class3",74.504,59.027,28.56
"Z",61,47.44,43.348,60.344,18,28.416,36.403,"Class2",77.98,15.035,48.183
"X",61,53.587,80.187,52.95,33,19.003,24.461,"Class2",73.347,53.461,79.493
"I",38,52.477,48.44,89.956,51,78.33,81.305,"Class5",30.502,40.272,29.525
"B",56,26.788,15.36,NA,59,37.869,62.031,"Class1",38.693,61.483,23.548
"D",75,37.86,9.22,41.949,16,18.822,38.321,"Class3",67.035,90.761,30.054
"W",69,53.84,19.42,90.421,61,52.807,81.566,"Class5",24.849,58.916,30.698
"X",85,53.052,13.107,56.442,16,17.882,34.703,"Class3",49.051,37.167,30.779
"T",29,84.963,78.195,74.242,42,80.221,6.078,"Class4",80.815,45.479,41.506
"O",64,49.918,66.693,56.147,15,6.502,16.897,"Class2",83.271,45.906,74.607
"G",88,51.634,7.078,41.607,26,17.695,48.955,"Class3",67.464,43.627,29.656
"X",64,49.728,45.357,NA,34,16.456,29.577,"Class2",77.328,23.891,45.331
"Z",20,86.476,84.359,67.013,26,78.04,26.95,"Class4",91.979,48.647,39.492
"T",13,85.902,69.972,71.232,43,87.473,21.09,"Class4",94.526,63.014,43.035
"L",59,31.932,51.449,55.793,29,57.953,14.106,"Class2",75.294,35.452,47.465
"U",80,84.458,71.931,65.601,42,81.641,22.975,"Class4",88.878,62.951,44.181
"D",80,31.645,33.262,35.864,13,18.043,48.516,"Class3",64.891,31.754,30.385
"X",85,54.486,19.733,45.343,17,18.164,35.525,"Class3",73.351,27.976,28.706
"X",65,42.536,49.05,50.647,19,65.224,NA,"Class2",76.218,54.529,44.749
"D",20,63.308,26.211,87.266,55,40.739,80.908,"Class5",34.782,75.206,33.398
"W",68,72.484,30.126,86.862,54,50.358,82.156,"Class5",25.739,90.327,28.758
"D",76,40.477,6.972,39.599,17,17.62,39.519,"Class3",72.915,31.605,28.038
"Z",56,83.405,84.716,68.547,36,83.021,50.055,"Class4",81.947,57.87,35.385
"J",45,26.279,22.911,79.114,75,4.819,56.25,"Class1",29.823,58.447,28.732
"Y",61,44.468,71.413,55.563,25,55.646,6.814,"Class2",95.484,29.117,33.632
"O",62,23.902,48.414,56.99,35,88.074,15.148,"Class2",79.034,19.06,76.225
"Y",59,55.577,69.518,58.033,28,35.382,23.622,"Class2",87.154,34.031,41.236
"Z",59,46.537,69.748,59.032,15,20.726,17.986,"Class2",79.564,22.462,43.426
"I",29,68.171,46.846,86.73,65,69.794,82.115,"Class5",33.032,60.032,30.904
"B",47,25.575,12.26,87.149,64,20.999,44.765,"Class1",37.218,59.738,55.708
"W",29,48.043,46.729,91.072,53,61.599,80.038,"Class5",35.736,73.862,27.733
"Y",60,34.485,51.372,55.98,33,62.579,21.816,"Class2",86.805,58.483,46.545
"F",14,85.27,81.655,61.896,47,78.183,14.147,"Class4",86.204,45.534,27.667
"T",43,84.42,95.127,74.832,26,80.647,51.23,"Class4",97.624,44.532,31.688
"I",23,25.559,12.512,66.987,72,58.268,65.579,"Class1",34.599,58.542,67.79
"O",76,48.917,5.694,41.789,16,18.005,52.286,"Class3",79.235,80.739,29.709
"T",41,82.245,77.643,60.56,38,78.508,52.217,"Class4",79.36,34.127,27.981
"Y",62,38.512,76.802,54.947,23,47.115,24.492,"Class2",82.653,52.737,60.355
"S",51,65.17,52.147,89.852,60,41.26,80.749,"Class5",33.614,89.086,33.77
"S",66,79.867,44.699,86.351,51,58.355,NA,"Class5",24.491,97.799,27.615
"M",27,83.571,95.97,74.962,35,81.889,-6.835,"Class4",79.447,43.188,36.416
"I",32,27.016,18.128,88.436,29,83.304,58.851,"Class1",43.077,61.168,74.018
"I",39,62.923,22.339,85.172,54,65.697,81.32,"Class5",29.553,70.985,31.958
"D",85,46.794,35.248,40.102,15,17.337,30.967,"Class3",81.393,79.412,28.732
"G",32,26.75,23.225,77.549,64,43.541,44.692,"Class1",39.737,60.592,92.561
"D",60,72.331,51.914,89.866,54,36.892,81.484,"Class5",32.706,31.661,25.488
"U",43,83,93.183,70.779,32,79.982,33.488,"Class4",88.358,37.394,38.174
"L",61,41.877,53.476,57.474,22,64.018,11.818,"Class2",85.483,53.136,84.717
"G",80,25.481,13.783,61.01,26,16.996,54.687,"Class1",37.442,60.279,74.439
"Z",52,85.648,80.257,77.358,30,78.262,15.539,"Class4",83.626,34.358,35.129
"I",49,69.759,47.299,89.338,62,39.315,81.103,"Class5",30.812,59.462,36.549
"X",59,46.098,75.176,60.264,24,45.47,13.819,"Class2",83.449,58.067,55.058
"G",59,26.724,13.271,58.594,66,2.951,55.84,"Class1",40.119,59.223,25.309
"X",71,62.564,34.849,NA,23,18.037,35.37,"Class3",58.101,98.264,30.698
"F",45,83.837,89.877,73.551,44,84.494,2.328,"Class4",84.043,54.7,37.602
"X",64,46.254,52.146,50.872,23,79.508,22.911,"Class2",79.451,14.469,83.993
"M",73,58.846,25.21,40.947,25,18.845,61.364,"Class3",72.062,83.071,30.444
"T",43,26.079,25.043,74.599,62,90.434,47.067,"Class1",33.869,61.422,81.447
"B",68,27.194,18.182,48.66,46,42.066,55.714,"Class1",35.589,61.976,94.652
"D",55,80.211,37.851,88.526,52,78.577,82.449,"Class5",28.078,94.191,25.637
"D",65,59.512,22.68,86.364,62,74.839,80.73,"Class5",37.448,97.073,36.664
"X",65,41.585,40.783,59.321,32,30.285,18.802,"Class2",75.263,31.232,56.382
"L",59,37.315,75.043,58.175,15,28.509,2.218,"Class2",83.242,32.273,74.261
"O",79,51.799,6.191,44.897,9,18.143,36.027,"Class3",84.072,70.389,29.23
"G",63,26.1,13.854,84.038,84,16.201,59.632,"Class1",40.707,59.305,57.556
"L",64,31.331,42.299,54.244,16,44.556,23.665,"Class2",78.537,31.064,76.34
"J",32,26.14,23.158,71.48,39,83.608,61.23,"Class1",47.792,62.5,39.195
"B",61,26.998,25.231,NA,68,28.124,51.954,"Class1",40.752,60.977,44.163
"D",34,41.144,10.659,84.373,55,70.691,80.247,"Class5",27.235,46.544,28.244
"X",59,46.962,38.819,52.61,33,66.11,2.991,"Class2",87.916,14.67,59.58
"G",85,29.427,26.43,46.407,9,18.754,28.871,"Class3",83.402,23.383,30.477
"G",52,25.341,15.586,93.098,77,75.079,56.116,"Class1",34.138,61.719,33.686
"U",43,84.022,66.631,76.714,44,78.81,18.18,"Class4",83.933,46.464,40.031
"J",74,24.564,14.008,68.97,71,38.949,54.761,"Class1",31.139,60.975,35.067
"X",65,42.321,59.245,53.149,31,62.184,2.34,"Class2",75.523,53.554,83.968
"M",43,58.942,32.826,89.498,64,43.272,81.138,"Class5",24.724,47.829,30.801
"D",86,43.645,30.367,29.073,22,17.064,22.02,"Class3",69.018,16.007,28.952
"M",70,83.27,71.683,67.463,42,88.766,4.761,"Class4",84.08,69.945,35.587
"U",29,84.618,81.057,75.142,34,86.176,NA,"Class4",86.329,67.152,31.401
"M",12,88.997,89.902,NA,35,81.336,24.852,"Class4",89.742,41.488,36.766
"X",66,48.773,56.121,63.181,21,6.246,22.843,"Class2",81.009,32.223,72.241
"S",37,73.248,35.041,86.194,64,39.209,81.681,"Class5",35.14,89.701,36.777
"M",24,85.846,87.727,67.462,32,85.069,24.229,"Class4",76.289,55.45,29.371
"U",52,82.995,94.029,76.959,27,84.646,4.006,"Class4",77.894,62.426,32.008
"D",71,47.307,24.238,32.051,10,17.594,48.921,"Class3",76.285,95.111,28.103
"L",60,44.065,66.679,NA,17,42.062,10.88,"Class2",89.521,32.213,64.979
"D",43,51.325,30.188,86.084,54,43.53,NA,"Class5",33.167,44.099,35.527
"Z",62,56.293,46.359,58.484,26,43.307,17.331,"Class2",77.163,36.277,51.928
"Y",64,40.835,53.585,54.062,21,48.542,10.432,"Class2",90.719,34.495,42.942
"G",77,35.593,41.936,27.759,11,17.237,52.49,"Class3",79.457,24.775,29.123
"Y",61,44.785,52.553,58.741,19,57.057,4.345,"Class2",81.306,30.685,49.909
"G",83,40.323,37.467,50.819,26,17.872,50.857,"Class3",88.164,88.349,30.173
"X",59,41.61,48.851,57.046,35,11.943,23.895,"Class2",75.647,41.643,70.797
"G",42,25.419,17.392,78.107,66,16.547,62.38,"Class1",36.101,60.632,66.069
"T",18,81.97,69.164,74.063,37,81.519,5.059,"Class4",91.394,51.24,35.023
"M",18,84.886,83.758,62.539,46,79.034,3.525,"Class4",75.435,58.491,38.748
"T",25,26.165,22.05,96.555,76,61.631,57.468,"Class1",44.729,62.54,54.934
"Y",60,34.204,60.489,63.287,16,41.312,NA,"Class2",81.65,43.87,31.375
"T",66,79.962,91.305,67.408,45,77.003,28.027,"Class4",90.169,69.346,43.841
"Y",62,41.058,39.473,58.286,23,10.282,-8.101,"Class2",88.134,26.017,66.34
"Z",64,57.176,57.142,56.333,26,17.756,9.266,"Class2",82.168,58.448,45.817
"O",82,59.167,17.745,71.708,23,18.724,50.273,"Class3",69.833,85.701,28.46
"I",60,26.035,18.593,54.715,45,80.412,47.318,"Class1",36.597,59.106,40.952
"G",72,42.801,42.696,21.99,9,18.197,33.435,"Class3",89.309,44.666,29.616
"X",73,39.195,28.793,52.265,9,18.525,26.389,"Class3",79.611,41.071,29.074
"U",40,84.771,89.052,73.651,38,88.258,32.098,"Class4",82.894,66.448,42.615
"J",29,25.834,21.339,NA,35,1.205,60.699,"Class1",37.71,59.743,92.692
"S",21,94.56,21.038,87.759,55,36.402,80.909,"Class5",28.926,29.629,34.615
"Z",37,87.228,80.031,70.47,31,80.009,27.366,"Class4",75.248,47.662,33.969
"O",62,42.763,59.22,57.906,29,88.132,30.156,"Class2",85.069,56.028,41.712
"G",88,32.748,11.007,38.017,9,17.587,41.1,"Class3",65.651,72.925,29.076
"Z",56,86.522,87.21,69.099,27,78.646,26.647,"Class4",97.255,54.428,29.574
"X",62,35.813,46.597,58.415,30,1.31,-14.619,"Class2",73.039,41.496,66.499
"T",68,25.711,27.27,79.877,63,57.702,NA,"Class1",46.016,60.264,18.077
"J",76,25.842,22.292,52.555,56,62.36,45.258,"Class1",44.312,58.26,93.774
"I",16,26.01,21.799,105.635,58,65.88,63.917,"Class1",48.596,59.138,69.586
"U",55,85.566,84.33,71.134,26,82.649,11.677,"Class4",86.225,56.519,35.187
"G",39,25.754,13.487,57.029,55,29.266,54.194,"Class1",38.893,60.957,91.876
"M",25,53.421,46.416,89.776,55,44.055,81.964,"Class5",29.811,52.882,34.333
"J",78,24.637,21.376,77.923,68,6.593,NA,"Class1",41.132,62.531,56.997
"W",26,87.151,38.672,87.575,55,71.606,82.054,"Class5",41.591,28.228,30.525
"O",76,72.677,12.495,35.555,18,17.822,38.87,"Class3",65.858,41.732,30.202
"T",34,84.531,91.262,76.007,26,87.545,27.137,"Class4",95.497,36.217,43.55
"O",62,40.321,53.258,56.361,30,12.706,24.961,"Class2",89.86,30.306,31.347
"O",66,24.43,72.481,56.778,24,26.822,20.569,"Class2",77.769,56.756,48.128
"S",66,58.846,52.212,87.448,55,62.02,81.725,"Class5",34.024,89.606,32.421
"L",64,53.528,48.34,55.814,32,42.562,4.189,"Class2",87.231,26.908,76.183
"G",79,50.743,30.189,39.12,25,17.468,23.927,"Class3",55.521,35.756,28.777
"D",86,44.767,26.737,50.696,21,18.054,40.611,"Class3",48.927,26.879,30.133
"F",13,86.207,94.914,72.17,32,87.668,18.602,"Class4",91.037,40.622,29.761
"M",75,42.213,29.151,59.034,22,17.19,NA,"Class3",85.608,83.118,29.543
"W",36,88.721,29.149,NA,62,75.551,80.83,"Class5",32.031,93.041,31.809
"D",88,73.497,15.954,32.961,20,17.436,41.161,"Class3",88.197,79.399,30.517
"M",65,83.207,85.481,NA,28,87.078,11.197,"Class4",85.805,43.838,44.044
"G",74,40.741,16.234,48.479,14,17.748,9.184,"Class3",77.265,42.304,28.416
"J",68,26.097,23.486,72.549,79,81.78,50.853,"Class1",37.607,61.617,31.223
"S",50,61.412,30.244,87.546,60,68.955,77.745,"Class5",25.929,47.343,26.123
"W",51,43.79,27.979,87.175,57,53.157,82.203,"Class5",26.135,57.104,26.174
"J",9,26.758,19.485,79.135,71,55.155,51.5,"Class1",31.826,61.602,77.916
"U",36,86.312,69.292,NA,42,87.83,5.11,"Class4",92.159,60.083,44.591
"J",27,26.537,27.608,103.041,76,82.876,55.721,"Class1",42.615,61.027,29.919
"D",26,89.33,17.881,86.339,51,37.708,77.994,"Class5",24.968,50.741,35.007
"M",41,93.619,34.111,88.33,55,41.263,80.2,"Class5",29.211,73.808,30.67
"F",79,87.576,88.708,71.988,40,79.136,34.778,"Class4",87.012,53.745,43.005
"O",62,62.495,41.541,65.466,32,1.763,18.761,"Class2",75.225,17.703,57.623
"M",87,89.816,69.316,NA,43,85.198,NA,"Class4",71.081,67.322,36.264
"T",30,86.177,66.615,70.561,39,79.096,24.326,"Class4",71.703,68.136,39.775
"U",59,80.95,75.078,64.223,45,82.795,14.358,"Class4",78.965,48.154,33.266
"L",64,40.373,44.42,61.658,25,19.407,18.748,"Class2",87.72,20.065,48.174
"I",46,58.018,11.768,90.138,56,48.972,81.758,"Class5",27.87,73.871,27.418
"W",25,66.518,46.867,88.611,55,39.706,80.042,"Class5",31.193,93.308,31.678
"I",31,24.925,27.471,73.641,50,87.795,57.475,"Class1",33.807,59.687,27.574
"T",69,85.37,77.565,74.812,27,79.545,NA,"Class4",97.924,67.815,36.006
"B",66,26.083,24.043,60.311,53,88.934,68.851,"Class1",38.692,61.588,92.531
"Z",85,83.638,80.612,71.296,29,82.344,19.216,"Class4",78.58,56.282,36.479
"M",44,70.443,35.892,88.668,55,75.573,NA,"Class5",30.167,53.322,26.024
"D",79,21.898,7.952,36.32,23,18.088,42.68,"Class3",80.399,79,28.938
"Z",53,85.635,81.327,73.493,40,88.729,31.95,"Class4",85.756,65.648,32.618
"X",72,43.23,7.447,25.222,21,18.056,21.191,"Class3",72.447,71.191,28.176
"O",60,43.204,58.058,62.751,32,65.798,6.088,"Class2",80.244,28.186,30.631
"L",60,35.264,76.308,49.294,23,60.579,28.896,"Class2",80.984,14.254,76.719
"G",11,25.826,15.353,55.204,26,4.301,47.07,"Class1",41.204,62.861,31.943
"G",54,26.605,22.564,60.411,66,23.542,39.365,"Class1",32.722,59.132,60.371
"G",6,26.172,12.846,81.737,26,55.823,49.699,"Class1",34.288,59.37,54.322
"F",77,89.36,92.519,64.697,35,88.502,22.42,"Class4",84.396,39.623,38.595
"U",62,86.57,98.457,70.307,28,88.963,11.906,"Class4",95.919,57.292,37.47
"Y",63,41.561,71.967,53.563,21,67.789,22.416,"Class2",75.101,44.585,36.138
"S",65,75.113,54.677,85.384,62,70.681,81.128,"Class5",27.913,28.111,27.665
"I",29,26.861,17.391,NA,27,30.493,49.912,"Class1",39.613,61.735,95.317
"G",78,25.999,27.73,74.818,70,23.682,58.542,"Class1",35.393,59.98,32.375
"J",70,26.579,12.451,59.94,33,56.177,48.809,"Class1",40.798,60.679,40.868
"M",71,46.746,30.785,46.73,21,17.294,52.675,"Class3",98.275,27.206,30.251
"I",22,26.209,18.593,63.145,27,84.021,51.524,"Class1",40.185,62.533,22.068
"M",79,34.809,19.098,NA,18,17.933,18.876,"Class3",71.817,24.379,29.001
"I",36,86.698,49.208,89.511,52,59.92,81.022,"Class5",26.78,84.878,26.159
"Y",59,40.102,78.577,62.874,18,82.673,5.164,"Class2",85.859,50.827,72.653
"M",12,87.839,89.292,66.356,38,88.421,19.516,"Class4",100.265,48.146,35.402
"D",88,33.944,38.56,29.49,25,17.02,40.019,"Class3",64.677,40.084,30.619
"B",6,25.495,14.72,92.949,73,90.816,49.877,"Class1",40.219,59.054,40.577
"J",21,25.526,17.531,73.885,76,41.578,61.423,"Class1",35.416,59.385,32.938
"T",54,84.557,73.177,67.836,27,81.288,NA,"Class4",88.726,51.12,42.69
"L",62,51.86,45.338,61.075,24,86.441,16.754,"Class2",72.77,52.026,43.904
"O",59,40.343,48.084,54.765,28,41.688,14.471,"Class2",79.554,15.949,63.111
"T",41,26.51,27.122,79.235,69,43.392,42.682,"Class1",40.182,58.919,77.926
"I",35,60.096,36.14,86.415,53,50.141,83.142,"Class5",27.111,80.788,32.636
"X",87,36.798,30.495,45.272,18,17.297,39.4,"Class3",75.686,90.987,29.78
"L",60,53.666,77.859,61.195,32,51.028,24.211,"Class2",73.44,18.997,75.55
"U",45,84.364,78.838,66.879,30,82.142,49.101,"Class4",84.54,56.695,44.169
"M",56,57.142,47.942,91.378,61,46.428,78.945,"Class5",30.839,86.228,32.734
"U",85,83.627,72.277,67.831,32,79.27,19.138,"Class4",81.957,41.615,27.384
"B",49,25.645,20.141,62.432,40,80.611,NA,"Class1",32.708,61.982,77.404
"Z",65,33.875,73.604,48.585,21,85.898,14.741,"Class2",86.596,17.76,52.501
"S",29,69.758,16.946,88.228,62,70.534,80.712,"Class5",32.508,74.258,36.07
"W",64,42.528,33.918,87.925,55,35.702,80.852,"Class5",38.341,89.93,29.418
"W",69,87.539,52.873,86.856,57,39.791,82.949,"Class5",26.974,30.896,33.812
"B",37,25.484,13.995,86.245,40,0.393,55.189,"Class1",39.78,60.735,79.298
"S",50,66.403,44.473,87.552,52,67.955,81.488,"Class5",36.013,43.666,29.594
"Y",66,24.509,45.489,59.756,33,92.204,20.149,"Class2",77.457,53.112,79.077
"B",8,26.632,16.179,83.819,47,23.01,53.401,"Class1",42.361,60.03,30.372
"L",59,49.076,74.847,56.792,29,44.4,29.361,"Class2",75.605,55.41,82.666
"S",37,61.329,9.549,87.889,57,76.755,82.24,"Class5",28.137,66.194,25.541
"B",40,26.579,24.997,66.692,66,35.55,59.736,"Class1",35.772,59.506,23.425
"X",66,41.912,61.553,56.789,23,48.31,20.135,"Class2",91.767,15.145,69.638
"O",61,22.475,54.059,55.988,25,6.908,NA,"Class2",82.186,56.112,63.764
"Z",40,84.749,80.763,65.439,38,82.62,13.396,"Class4",87.968,45.189,32.809
"Z",11,89.229,95.858,74.143,27,77.197,28.49,"Class4",90.772,39.538,43.532
"I",75,24.846,20.3,74.648,76,84.253,56.382,"Class1",36.773,60.216,55.862
"U",20,86.97,86.5,66.433,37,87.882,10.649,"Class4",85.404,60.558,29.233
"O",74,44.379,19.716,44.894,17,17.65,21.35,"Class3",67.147,57.694,29.585
"Z",62,86.785,74.756,73.274,27,82.363,-1.17,"Class4",92.338,38.907,40.118
"J",75,25.635,20.46,72.542,36,23.72,58.013,"Class1",34.574,60.137,64.68
"G",75,58.106,3.633,47.404,17,18.239,23.306,"Class3",71.284,76.985,28.533
"O",64,39.322,74.123,53.183,35,53.068,-1.199,"Class2",77.994,22.072,48.442
"L",66,48.271,60.121,60.106,27,67.02,5.226,"Class2",74.345,29.761,72.527
"I",28,77.91,36.05,89.976,57,50.65,78.504,"Class5",35.988,75.766,25.632
"S",45,74.647,15.322,84.772,56,47.601,77.977,"Class5",31.893,87.063,29.051
"I",26,26.617,22.184,NA,77,10.915,54.806,"Class1",43.307,59.847,42.24
"U",81,82.051,98.722,68.264,32,78.644,32.038,"Class4",73.15,61.904,33.86
"O",64,34.147,73.383,59.583,28,27.203,NA,"Class2",74.016,22.761,60.292
"Z",65,45.558,67.919,58.684,26,11.818,7.756,"Class2",80.943,28.839,62.569
"J",37,24.999,14.938,73.451,67,90.933,43.12,"Class1",40.143,61.838,78.409
"I",44,27.108,13.353,54.23,49,57.703,NA,"Class1",37.686,59.364,69.021
"F",28,81.784,72.392,65.636,34,78.963,21.683,"Class4",84.766,64.947,38.166
"S",21,64.244,11.438,88.379,64,61.85,79.952,"Class5",30.307,57.469,32.998
"M",72,63.539,42.643,43.49,26,17.397,48.168,"Class3",84.336,98.619,30.47
"O",59,31.982,44.849,60.755,18,31.864,10.447,"Class2",81.921,17.348,43.091
"D",75,61.953,29.592,32.222,24,18.608,35.036,"Class3",77.138,11.532,30.318
"J",21,25.896,25.711,77.326,49,26.438,62.265,"Class1",37.263,62.14,77.188
"Y",61,45.359,41.933,55.366,33,69.929,11.046,"Class2",68.456,53.903,41.654
"G",23,26.581,13.763,81.011,47,57.394,53.517,"Class1",39.125,60.478,22.328
"B",15,25.957,14.849,69.223,56,26.357,54.095,"Class1",39.686,61.143,63.71
"U",22,85.543,76.73,74.671,41,82.25,13.589,"Class4",90.804,59.336,27.564
"D",78,67.468,19.659,NA,27,17.396,44.094,"Class3",67.36,59.876,29.786
"M",57,58.419,46.284,94.521,55,36.042,NA,"Class5",37.379,56.628,27.717
"S",41,68.017,52.164,88.015,56,77.437,79.957,"Class5",34.342,78.634,26.657
"T",40,84.324,84.774,73.576,30,83.515,26.249,"Class4",87.103,41.177,41.973
"Z",82,82.951,65.634,68.428,41,88.969,3.912,"Class4",90.706,67.294,39.647
"Y",63,39.849,53.976,60.883,16,90.987,20.399,"Class2",84.146,52.954,47.433
"M",43,53.737,39.571,NA,64,46.378,81.178,"Class5",26.875,31.855,30.232
"I",72,25.969,24.336,77.206,40,84.905,50.645,"Class1",39.99,58.526,83.853
"D",59,47.743,30.133,88.606,57,67.231,81.606,"Class5",29.04,87.202,34.756
"M",63,63.264,49.94,86.646,65,59.018,81.219,"Class5",24.092,37.165,33.788
"T",47,83.646,82.127,68.866,40,80.033,23.172,"Class4",102.017,50.831,34.978
"W",21,86.633,21.873,NA,57,53.292,82.369,"Class5",31.127,39.712,35.168
"M",42,68.68,18.014,88.246,62,75.091,81.799,"Class5",38.575,76.683,31.28
"W",64,38.678,16.602,88.611,62,50.491,79.589,"Class5",30.437,50.353,33.662
"F",10,81.938,80.972,68.404,45,77.75,NA,"Class4",89.708,55.252,43.574
"X",88,57.938,24.136,44.497,24,17.245,39.248,"Class3",66.761,58.249,30.378
"Z",61,36.476,56.024,56.82,30,4.428,NA,"Class2",88.056,14.711,33.268
"D",66,86.452,47.91,93.284,63,43.255,80.366,"Class5",31.491,56.596,27.448
"W",34,69.2,41.767,88.734,52,59.803,NA,"Class5",37.48,88.532,27.491
"W",31,58.361,50.882,86.507,62,39.418,80.866,"Class5",31.366,85.901,30.113
"S",49,55.059,26.099,90.757,56,50.733,82.67,"Class5",24.194,92.654,25.965
"Y",64,34.362,51.333,64.642,16,82.358,19.634,"Class2",84.434,39.285,84.412
"M",87,80.85,94.431,63.92,39,79.628,19.737,"Class4",79.64,57.7,28.607
"L",61,63.563,56.094,55.344,19,70.594,20.417,"Class2",85.891,36.787,54.253
"G",28,26.358,26.867,59.776,60,83.921,60.054,"Class1",35.714,62.581,49.403
"G",13,26.511,20.266,82.447,48,8.936,48.515,"Class1",37.216,60.53,94.249
"X",87,65.556,15.187,37.831,15,18.322,13.361,"Class3",90.411,48.251,30.865
"F",86,81.816,89.638,70.993,42,85.733,1.815,"Class4",96.151,68.029,39.372
"T",2,25.29,20.596,84.512,51,48.921,57.226,"Class1",36.512,61.738,73.255
"X",77,44.646,30.374,36.624,9,17.782,11.878,"Class3",84.077,14.643,30.852
"Y",66,41.441,70.099,NA,35,34.66,22.243,"Class2",85.98,51.812,36.88
"X",71,57.253,40.017,NA,26,17.07,30.136,"Class3",68.266,17.764,29.977
"Z",80,87.235,92.464,74.825,39,78.208,44.979,"Class4",80.251,65.407,30.568
"O",63,33.316,49.936,55.448,24,53.603,-2.059,"Class2",87.324,16.464,74.391
"B",8,24.079,25.877,87.052,36,20.095,49.167,"Class1",29.563,60.397,70.757
"S",62,71.589,19.364,89.852,65,41.323,81.531,"Class5",27.078,49.262,25.447
"O",61,33.462,63.041,59.185,21,10.352,17.16,"Class2",77.725,26.567,40.807
"M",38,79.805,37.222,85.585,58,68.246,80.278,"Class5",31.57,70.864,33.621
"F",11,90.883,83.88,61.973,46,79.596,16.7,"Class4",78.83,52.085,29.723
"J",39,26.039,26.339,NA,46,5.944,51.062,"Class1",42.425,58.919,87.855
"G",35,26.025,25.602,76.669,56,8.645,50.281,"Class1",31.559,61.997,92.2
"M",83,85.924,91.484,74.113,42,86.929,32.014,"Class4",78.664,67.304,40.438
"F",58,87.12,91.067,71.438,44,87.351,16.523,"Class4",95.453,59.788,30.017
"O",85,45.025,1.581,NA,18,18.565,21.5,"Class3",65.956,55.588,30.258
"B",80,25.548,26.392,85.152,67,43.689,45.106,"Class1",29.307,58.242,68.203
"M",76,55.266,29.728,41.761,23,18.965,18.523,"Class3",74.985,25.923,29.515
"X",73,60.199,2.739,20.274,23,18.704,13.32,"Class3",64.384,32.017,28.248
"O",86,38.09,8.909,32.821,17,17.929,48.862,"Class3",62.332,26.174,30.291
