"APU1","TNS2","BNJ3","FKI4","NGO5","FMO6","UYZ7","NLU8","CDP9","DKG10","Output2"
"M",92.855,48.899,20.275,73.786,45.015,13,NA,"M",48.673,"Class3"
"J",8.664,14.688,22.656,89.891,89.848,19,79.2,"L",10.12,"Class4"
"X",0.086,34.079,22.515,58.817,76.784,17,81.793,"P",13.82,"Class4"
"E",72.546,38.478,25.465,70.506,28.63,14,47.882,"M",46.684,"Class3"
"H",85.514,32.277,46.418,48.069,57.126,69,39.707,"P",61.477,"Class1"
"C",91.647,31.063,49.951,47.6,56.965,NA,40.443,"D",63.702,"Class1"
"H",86.112,31.531,60.417,48.164,54.523,53,44.702,"P",56.178,"Class1"
"C",86.487,30.557,63.129,46.19,55.969,81,50.537,"B",64.543,"Class1"
"M",75.753,52.052,20.45,67.459,35.174,15,47.948,"R",35.646,"Class3"
"D",83.788,32.447,62.662,44.217,58.004,83,51.265,"F",54.752,"Class1"
"D",86.385,32.182,61.526,46.427,55.299,91,49.972,"P",63.918,"Class1"
"H",89.714,32.825,50.026,47.083,62.217,89,51.053,"B",55.835,"Class1"
"E",58.175,51.302,14.359,74.418,16.439,11,47.521,"R",39.973,"Class3"
"N",80.124,77.596,43.149,41.419,65.717,86,51.302,"I",61.822,"Class2"
"D",91.442,30.763,57.552,46.49,58.76,54,52.827,"P",66.756,"Class1"
"Z",100.474,33.234,58.222,44.045,58.786,58,NA,"P",53.178,"Class1"
"X",7.705,34.974,23.876,59.635,83.997,27,68.684,"J",9.001,"Class4"
"X",21.365,18.371,22.758,2.769,85.541,15,69.183,"P",17.34,"Class4"
"A",98.165,48.077,62.866,36.538,67.952,76,74.22,"H",82.623,"Class2"
"J",18.237,31.344,23.794,50.564,87.121,26,80.328,"L",15.528,"Class4"
"I",7.796,-0.652,22.877,62.769,89.879,26,79.689,"J",9.441,"Class4"
"Q",19.693,32.986,22.006,65.537,91.97,23,80.735,"R",16.615,"Class4"
"Z",93.212,31.501,59.372,48.788,54.677,61,39.982,"F",66.767,"Class1"
"G",66.89,69.44,61.089,32.743,59.039,86,37.183,"Q",26.259,"Class2"
"P",82.26,43.874,15.63,60.185,23.754,10,47.252,"I",49.496,"Class3"
"J",7.57,37.256,22.872,83.44,79.147,43,76.942,"C",9.795,"Class4"
"H",82.814,43.303,19.209,52.782,47.427,10,47.029,"H",10.531,"Class3"
"I",20.018,23.158,23.191,66.503,82.315,14,67.183,"R",11.829,"Class4"
"J",15.053,-12.017,24,50.415,77.864,22,80.226,"P",10.588,"Class4"
"R",86.675,46.388,17.374,66.373,30.462,13,47.708,"H",21.277,"Class3"
"I",19.386,-11.631,22.122,60.767,86.58,NA,73.542,"C",13.149,"Class4"
"N",88.47,50.275,53.04,29.347,67.183,94,33.415,"C",46.998,"Class2"
"D",87.204,32.825,63.603,48.504,61.174,52,49.511,"D",66.595,"Class1"
"H",84.595,53.998,16.249,68.808,33.228,10,NA,"Z",28.006,"Class3"
"E",65.205,39.584,32.386,62.358,57.306,13,47.06,"I",23.929,"Class3"
"Z",87.433,31.086,45.888,45.066,56.216,56,NA,"D",59.743,"Class1"
"M",62.52,26.767,24.494,74.758,40.927,12,47.34,"I",37.267,"Class3"
"D",85.54,31.568,54.528,47.966,58.542,77,46.436,"D",65.649,"Class1"
"G",81.506,57.966,61.46,15.26,64.096,90,74.514,"C",43.088,"Class2"
"G",87.336,31.094,60.253,50.726,61.031,81,52.582,"M",56.671,"Class1"
"N",77.219,25.418,54.461,43.814,65.153,88,63.445,"C",55.267,"Class2"
"A",70.099,21.31,50.89,11.903,63.779,80,72.744,"Q",70.639,"Class2"
"C",92.429,39.312,66.751,41.297,70.911,83,73.514,"H",14.422,"Class2"
"N",66.723,77.266,55.269,56.992,69.501,86,20.686,"H",11.414,"Class2"
"N",58.91,71.981,51.103,36.362,72.054,97,32.243,"I",85.96,"Class2"
"G",78.725,55.412,63.017,30.581,66.413,84,75.223,"Q",7.528,"Class2"
"R",81.479,50.063,24.05,71.11,45.64,14,47.199,"Z",24.828,"Class3"
"D",92.469,31.084,61.893,46.831,59.733,77,48.185,"M",58.136,"Class1"
"R",75.609,29.279,22.038,68.934,38.118,11,47.61,"I",22.461,"Class3"
"C",77.679,46.131,57.59,46.099,72.493,94,47.324,"Q",75.717,"Class2"
"H",81.932,30.938,60.16,43.902,61.37,85,42.147,"B",54.627,"Class1"
"N",59.882,56.694,54.068,60.306,62.124,NA,87.209,"G",38.437,"Class2"
"H",61.929,63.845,16.141,51.275,44.42,14,47.798,"R",39.491,"Class3"
"X",24.29,18.792,22.197,67.123,93.432,29,78.573,"C",12.846,"Class4"
"M",85.39,8.38,16.532,67.32,40.53,10,47.757,"R",10.651,"Class3"
"D",89.883,31.617,49.309,46.63,58.607,69,48.714,"M",64.354,"Class1"
"C",91.178,31.314,49.989,45.923,58.141,95,51.58,"D",58.801,"Class1"
"X",21.122,23.191,22.34,47.995,90.317,24,73.123,"R",9.183,"Class4"
"P",45.699,54.226,19.524,50.828,30.113,10,47.16,"H",45.437,"Class3"
"H",40.263,68.052,65.299,32.448,70.703,83,42.608,"I",22.323,"Class2"
"J",23.07,44.131,23.925,79.923,81.11,30,77.624,"P",12.216,"Class4"
"N",79.678,50.59,42.797,48.426,66.568,NA,85.081,"Q",51.969,"Class2"
"G",88.712,30.62,54.299,46.439,59.153,78,41.231,"D",55.207,"Class1"
"P",53.06,65.726,30.483,58.239,37.04,10,47.64,"M",34.345,"Class3"
"P",84.922,31.608,16.761,62.216,21.458,14,47.787,"R",50.952,"Class3"
"R",56.16,29.991,25.308,67.093,34.712,12,47.594,"M",40.119,"Class3"
"C",90.304,32.029,58.668,39.547,59.119,93,NA,"P",55.953,"Class1"
"C",79.646,61.015,66.179,31.322,73.22,90,29.007,"Q",82.191,"Class2"
"H",82.48,32.78,47.658,47.837,60.217,56,52.7,"B",61.264,"Class1"
"X",33.059,29.132,23.848,60.466,81.179,NA,NA,"C",16.167,"Class4"
"J",18.304,14.898,22.504,70.2,83.149,17,76.803,"L",10.436,"Class4"
"J",8.516,27.999,23.426,42.591,91.3,16,80.382,"J",12.714,"Class4"
"N",65.299,60.847,53.584,20.145,72.316,83,64.788,"H",8.078,"Class2"
"C",88.194,29.846,53.616,46.266,58.524,64,51.853,"D",55.542,"Class1"
"A",77.778,74.424,64.221,66.45,71.93,83,72.785,"I",72.124,"Class2"
"A",81.665,61.794,68.841,22.172,75.036,78,63.031,"H",20.379,"Class2"
"K",16.46,7.03,23.764,57.264,83.919,29,70.505,"R",10.81,"Class4"
"K",9.504,5.464,22.583,82.231,87.548,21,79.207,"P",12.185,"Class4"
"Q",16.176,25.925,22.613,53.526,86.38,14,75.263,"R",17.138,"Class4"
"J",20.86,34.029,22.822,62.653,85.135,19,67.095,"J",12.87,"Class4"
"K",3.233,9.103,23.083,40.142,89.88,29,75.71,"P",15.387,"Class4"
"J",0.527,23.595,22.939,44.817,87.568,28,69.414,"C",11.775,"Class4"
"D",90.404,31.279,48.969,43.543,60.25,71,44.707,"B",53.396,"Class1"
"C",75.176,60.294,58.339,64.658,60.257,87,84.689,"Q",59.603,"Class2"
"H",91.937,32.333,54.177,45.124,58.247,49,51.931,"M",58.2,"Class1"
"M",76.124,19.322,14.79,65.868,37.574,15,47.174,"M",12.452,"Class3"
"Q",10.037,16.597,23.824,82.546,91.015,43,68.233,"J",13.466,"Class4"
"Q",-0.158,27.684,23.815,110.553,90.737,9,76.337,"C",10.752,"Class4"
"Z",89.171,32.84,62.749,47.978,59.823,73,46.221,"M",63.582,"Class1"
"G",59.6,63.303,56.661,27.201,62.212,97,17.119,"Q",55.241,"Class2"
"H",90.997,31.1,55.539,46.377,58.471,63,52.465,"D",58.555,"Class1"
"M",72.617,67.441,22.002,64.568,35.041,12,47.186,"H",17.218,"Class3"
"X",16.594,44.115,23.525,115.586,92.579,25,74.772,"J",9.814,"Class4"
"Q",6.957,32.628,23.122,78.841,78.567,7,71.576,"P",15.24,"Class4"
"X",31.967,30.717,23.045,77.671,89.975,7,66.286,"C",16.948,"Class4"
"H",63.711,75.088,50.07,65.821,65.766,84,50.507,"Q",35.742,"Class2"
"A",82.529,58.527,44.841,35.249,63.053,92,23.052,"Q",11.191,"Class2"
"H",87.734,31.24,53.123,45.934,55.805,78,39.957,"D",65.735,"Class1"
"H",101.259,33.73,63.227,68.793,65.719,75,38.107,"H",39.727,"Class2"
"H",88.407,32.421,54.593,46.5,60.075,87,42.588,"D",63.099,"Class1"
"H",74.219,83.55,50.079,16.666,71.042,86,44.881,"H",36.083,"Class2"
"H",72.892,66.801,53.584,41.758,77.493,78,80.615,"H",58.867,"Class2"
"H",86.329,32.429,57.337,45.201,58.533,53,50.694,"P",62.22,"Class1"
"R",50.768,67.108,31.193,72.306,32.861,13,47.282,"Z",26.326,"Class3"
"N",81.339,31.532,50.316,73.918,71.769,78,38.54,"G",15.629,"Class2"
"P",42.969,26.435,15.253,74.002,21.65,13,47.201,"R",10.608,"Class3"
"E",78.277,52.649,28.775,67.459,35.528,15,47.975,"H",31.826,"Class3"
"H",85.966,31.901,59.422,45.092,57.624,48,43.162,"B",66.728,"Class1"
"Z",87.446,30.999,59.255,46.557,55.959,90,39.16,"B",56.629,"Class1"
"R",65.335,40.555,19.779,57.706,41.738,14,47.145,"I",19.303,"Class3"
"H",64.995,56.201,59.036,17.012,69.527,83,18.028,"H",69.657,"Class2"
"N",61.841,71.596,54.106,30.795,69.267,90,43.781,"H",57.248,"Class2"
"E",71.596,46.621,14.366,47.818,14.705,15,47.726,"M",42.332,"Class3"
"Q",23.868,5.56,22.587,81.261,90.12,13,76.412,"C",12.494,"Class4"
"G",85.932,32.76,51.873,47.319,60.542,53,38.811,"D",66.538,"Class1"
"D",93.185,30.393,46.839,46.498,56.723,58,51.646,"B",55.665,"Class1"
"H",91.576,30.759,47.129,45.77,58.044,76,41.804,"F",66.268,"Class1"
"G",83.304,31.719,52.036,48.29,58.25,63,50.446,"F",53.262,"Class1"
"K",21.994,21.976,23.03,106.192,81.321,43,74.543,"L",16.618,"Class4"
"H",91.911,30.776,50.331,46.357,58.359,50,50.954,"B",60.017,"Class1"
"P",62.917,57.524,28.052,68.439,40.883,10,NA,"Z",40.028,"Class3"
"N",59.494,86.934,55.844,63.652,69.347,86,37.633,"I",38.377,"Class2"
"C",46.424,55.688,64.645,0.008,71.556,88,24.151,"G",54.648,"Class2"
"R",72.515,32.806,32.79,73.595,28.812,12,47.673,"R",38.953,"Class3"
"I",14.186,7.411,22.614,48.828,82.095,33,75.313,"L",9.44,"Class4"
"H",86.786,33.329,46.463,48.158,59.031,70,45.311,"B",59.974,"Class1"
"M",79.199,54.661,21.325,58.308,50.206,13,47.393,"M",21.023,"Class3"
"P",56.165,46.714,32.598,64.597,24.327,12,47.105,"R",28.608,"Class3"
"E",69.913,55.241,26.487,68.617,41.851,11,47.131,"Z",50.208,"Class3"
"H",59.899,51.804,30.604,89.165,24.982,11,47.872,"H",29.992,"Class3"
"I",22.213,24.031,23.536,72.566,86.345,13,71.015,"C",11.639,"Class4"
"M",69.081,26.122,15.903,71.597,46.778,12,47.174,"H",21.93,"Class3"
"H",87.769,32.271,46.427,48.502,61.943,NA,43.914,"D",57.225,"Class1"
"G",90.759,30.72,50.109,46.256,55.65,67,NA,"B",60.916,"Class1"
"X",21.248,27.761,22.419,62.368,86.23,23,67.791,"C",13.373,"Class4"
"X",16.506,0.478,23.476,93.956,94.607,36,75.137,"L",12.851,"Class4"
"C",64.43,48.915,59.683,35.575,69.611,85,76.61,"H",44.712,"Class2"
"K",24.374,14.449,23.718,49.559,80.144,19,72.144,"P",13.817,"Class4"
"H",54.849,50.534,31.781,78.041,50.144,12,47.87,"M",33.955,"Class3"
"Z",94.513,30.969,61.256,51.34,56.913,73,46.318,"M",57.471,"Class1"
"H",88.397,29.404,29.92,67.53,46.618,11,47.964,"M",20.333,"Class3"
"A",70.083,56.929,65.838,-6.584,68.059,83,25.763,"I",72.227,"Class2"
"Q",12.634,24.851,22.282,60.352,86.498,38,72.296,"P",9.286,"Class4"
"J",10.628,19.154,22.702,108.891,79.3,32,79.158,"R",15.43,"Class4"
"I",18.879,36.291,23.047,61.939,85.827,29,74.788,"P",17.1,"Class4"
"J",14.821,9.318,22.794,60.256,89.86,42,69.388,"C",17.857,"Class4"
"X",4.344,33.089,23.351,53.272,81.313,40,67.275,"P",15.913,"Class4"
"I",22.131,17.11,22.553,66.079,82.219,42,78.693,"C",13.722,"Class4"
"R",69.639,48.608,28.867,64.309,27.249,11,47.703,"H",21.155,"Class3"
"I",10.866,30.604,22.86,13.57,86.779,37,69.37,"C",14.611,"Class4"
"N",47.627,36.837,58.333,33.761,70.192,NA,35.108,"C",15.619,"Class2"
"D",92.223,29.641,47.595,48.82,56.346,68,47.29,"F",63.622,"Class1"
"H",89.3,31.677,57.321,44.702,55.851,86,51.377,"P",56.684,"Class1"
"I",4.185,45.387,22.064,86.12,85.517,13,78.495,"C",12.217,"Class4"
"C",71.817,33.152,46.222,7.632,73.471,83,25.428,"H",37.874,"Class2"
"G",56.134,25.372,45.876,34.903,67.854,91,30.938,"Q",54.626,"Class2"
"H",58.368,16.436,17.321,84.451,40.257,15,47.576,"H",22.042,"Class3"
"A",56.704,55.543,46.686,19.339,69.255,85,75.448,"I",4.141,"Class2"
"K",30.802,50.017,22.714,70.225,82.438,19,74.008,"C",13.277,"Class4"
"N",49.741,51.936,67.386,65.776,67.95,85,63.958,"G",58.177,"Class2"
"G",89.051,32.882,61.459,45.182,63.034,65,49.647,"M",66.866,"Class1"
"I",15.784,33.093,22.335,38.954,92.723,NA,76.011,"R",16.051,"Class4"
"X",26.967,20.417,22.377,29.075,85.299,43,81.028,"C",17.397,"Class4"
"M",65.718,54.896,16.127,77.538,38.284,NA,47.193,"M",48.488,"Class3"
"C",91.041,32.054,63.669,47.552,60.506,86,42.798,"M",60.239,"Class1"
"J",22.246,42.617,22.65,49.81,79.286,24,75.346,"P",11.504,"Class4"
"Q",6.092,20.089,23.623,78.285,87.903,21,NA,"J",10.859,"Class4"
"E",65.611,60.368,20.411,53.156,39.09,10,NA,"Z",50.488,"Class3"
"H",82.82,26.22,56.758,19.078,65.168,93,68.556,"H",69.577,"Class2"
"H",93.269,32.798,46.1,46.67,53.151,75,51.984,"P",61.207,"Class1"
"G",89.862,29.714,52.928,49.549,58.625,52,52.33,"F",65.465,"Class1"
"R",79.187,56.68,30.428,77.52,27.924,12,47.414,"R",11.874,"Class3"
"J",32.539,32.353,22.603,71.284,82.707,41,76.635,"L",17.636,"Class4"
"H",62.483,53.245,18.768,67.449,24.32,13,47.53,"R",40.727,"Class3"
"M",61.715,50.979,16.013,73.862,55.713,14,47.424,"H",41.565,"Class3"
"K",7.592,47.427,23.002,64.94,83.042,12,80.122,"L",16.324,"Class4"
"J",27.623,29.133,23.902,66.99,83.335,NA,67.244,"J",9.813,"Class4"
"A",61.711,53.332,57.642,38.697,73.226,97,42.079,"G",45.095,"Class2"
"G",55.381,55.7,57.147,38.099,67.97,91,81.82,"H",70.287,"Class2"
"J",11.233,35.591,23.296,66.104,77.49,31,70.042,"C",10.297,"Class4"
"N",68.633,75.525,50.049,22.092,69.863,81,45.208,"C",80.915,"Class2"
"Z",84.769,32.118,54.751,43.611,55.81,NA,49.948,"F",59.828,"Class1"
"D",89.372,31.451,45.662,45.635,59.032,82,50.534,"F",63.738,"Class1"
"I",19.045,11.29,23.012,58.074,84.134,23,68,"P",10.091,"Class4"
"A",60.864,-9.218,54.481,46.477,70.428,94,NA,"Q",66.395,"Class2"
"H",88.744,32.354,51.798,44.288,57.967,58,52.982,"B",59.083,"Class1"
"H",94.428,33.2,51.279,44.136,58.6,55,39.481,"D",60.122,"Class1"
"Q",20.975,12.779,23.065,98.405,89.982,NA,NA,"J",15.615,"Class4"
"H",93.002,29.087,52.378,48.981,56.226,50,NA,"D",55.287,"Class1"
"C",83.606,32.925,56.661,46.044,55.846,83,NA,"M",55.176,"Class1"
"Q",26.575,35.802,23.158,68.459,83.345,20,71.937,"C",17.129,"Class4"
"N",103.629,67.021,44.099,53.749,61.896,96,NA,"C",64.064,"Class2"
"C",87.208,29.445,61.904,48.951,58.172,66,42.886,"F",57.13,"Class1"
"J",17.833,37.182,22.978,80.022,86.897,16,78.931,"P",14.012,"Class4"
"E",74.477,56.338,21.706,53.939,26.199,14,47.535,"Z",22.685,"Class3"
"N",62.324,80.231,57.965,36.071,67.978,93,38.838,"Q",16.062,"Class2"
"N",61.902,57.546,60.956,3.016,67.628,87,49.169,"G",54.421,"Class2"
"Q",6.789,32.242,22.05,54.019,83.382,19,78.468,"J",17.152,"Class4"
"Z",89.268,29.028,61.525,45.75,59.211,77,NA,"B",63.582,"Class1"
"G",59.599,100.115,43.706,-5.251,79.464,88,24.263,"C",21.813,"Class2"
"E",69.401,59.654,26.929,72.461,43.193,13,47.283,"I",10.773,"Class3"
"C",85.599,94.717,65.131,47.386,65.586,90,33.899,"C",38.361,"Class2"
"J",21.688,12.53,23.269,87.048,89.65,16,66.022,"C",15.392,"Class4"
"R",85.9,40.639,19.372,64.239,23.542,15,47.157,"I",14.815,"Class3"
"Q",30.763,17.873,23.691,64.074,79.975,24,79.167,"P",12.048,"Class4"
"R",68.618,34.075,27.229,54.579,38.841,13,47.013,"M",21.799,"Class3"
"R",49.457,23.176,27.688,61.119,46.515,10,47.27,"H",17.281,"Class3"
"C",55.325,70.483,57.409,19.623,83.88,89,57.46,"C",29.637,"Class2"
"K",14.935,29.382,23.468,95.551,93.244,35,79.699,"P",11.015,"Class4"
"G",70.024,65.761,53.563,41.827,68.034,83,83.758,"H",84.855,"Class2"
"G",96.537,55.371,64.467,16.898,65.407,92,66.708,"Q",30.55,"Class2"
"K",6.36,50.061,22.975,99.157,88.182,27,73.271,"L",13.909,"Class4"
"Z",85.58,31.346,58.206,43.082,57.745,70,52.106,"M",62.944,"Class1"
"C",66.69,6.347,44.908,82.058,71.654,94,66.099,"G",28.449,"Class2"
"R",68.852,50.885,29.662,60.873,21.498,15,NA,"R",32.153,"Class3"
"N",76.563,43.828,60.814,61.936,64.743,83,15.48,"I",36.527,"Class2"
"K",22.646,17.959,22.747,64.768,82.939,33,77.609,"P",11.711,"Class4"
"R",52.917,34.536,31.103,69.116,32.767,13,47.653,"I",31.037,"Class3"
"H",89.275,31.339,48.394,43.388,58.533,48,49.62,"P",66.949,"Class1"
"H",65.426,44.418,13.665,81.701,36.58,10,47.618,"R",11.494,"Class3"
"C",56.684,45.721,51.274,32.624,66.221,88,53.131,"C",18.706,"Class2"
"H",56.689,25.654,20.448,79.452,45.888,11,47.299,"R",17.94,"Class3"
"G",74.831,59.635,46.143,26.335,75.251,76,54.861,"I",35.712,"Class2"
"G",85.096,31.968,51.466,47.519,54.353,74,46.189,"M",62.827,"Class1"
"P",71.817,38.742,28.758,67.742,30.909,15,47.576,"M",39.564,"Class3"
"P",71.98,46.833,31.226,60.033,35.067,15,47.892,"R",31.016,"Class3"
"M",75.016,63.474,31.376,69.174,22.949,12,47.765,"M",43.23,"Class3"
"I",16.03,11.553,23.281,80.444,85.6,14,78.604,"C",9.459,"Class4"
"D",89.567,33.228,49.613,49.037,55.421,81,48.06,"P",63.19,"Class1"
"Q",20.262,6.138,22.273,76.13,91.534,37,77.444,"R",10.098,"Class4"
"X",13.082,39.409,23.408,94.327,91.216,43,68.755,"R",9.948,"Class4"
"H",67.087,49.984,65.849,32.078,69.255,85,23.33,"H",82.743,"Class2"
"H",68.312,22.72,27.155,54.385,51.549,NA,47.177,"R",51.475,"Class3"
"H",73.228,43.803,61.787,66.46,74.258,92,33.575,"H",4.263,"Class2"
"X",9.772,32.657,23.87,75.337,82.333,30,67.447,"R",9.112,"Class4"
"K",20.84,29.294,22.714,63.36,88.102,7,72.67,"P",17.189,"Class4"
"H",81.737,67.781,30.471,66.73,21.898,14,47.917,"H",41.17,"Class3"
"H",75.155,63.015,27.449,78.65,37.054,10,47.813,"Z",14.798,"Class3"
"R",74.592,35.471,28.582,88.69,24.16,10,47.904,"Z",36.324,"Class3"
"Q",17.185,15.438,23.306,67.706,76.004,35,71.146,"P",11.964,"Class4"
"K",10.864,43.464,22.404,73.941,82.524,9,66.839,"L",11.465,"Class4"
"I",1.494,29.512,22.292,101.707,82.042,43,NA,"C",9.501,"Class4"
"J",26.63,24.458,22.659,59.365,77.684,7,66.481,"P",10.781,"Class4"
"P",62.839,50.228,13.376,73.58,31.657,13,47.885,"H",29.681,"Class3"
"H",81.063,59.335,18.463,70.403,26.609,15,47.425,"R",38.735,"Class3"
"G",83.03,30.055,61.839,44.55,58.886,74,48.602,"F",61.897,"Class1"
"N",55.774,49.614,68.371,28.751,60.967,88,88.533,"Q",83.671,"Class2"
"K",12.587,15.176,23.747,58.117,96.443,17,72.333,"P",9.922,"Class4"
"N",67.521,61.329,43.152,25.614,71.426,96,78.294,"H",53.431,"Class2"
"H",85.404,30.647,58.096,43.488,57.028,85,49.937,"D",60.503,"Class1"
"P",49.1,47.62,25.094,68.001,45.659,15,47.985,"I",32.838,"Class3"
"K",12.315,39.276,23.29,76.966,80.923,30,69.052,"L",9.674,"Class4"
"Q",18.741,31.761,23.077,82.559,77.855,39,79.631,"R",9.973,"Class4"
"I",15.722,11.21,22.618,90.85,79.63,NA,68.599,"C",11.784,"Class4"
"P",83.284,40.808,13.07,72.073,46.713,13,47.742,"R",12.727,"Class3"
"R",55.096,66.065,27.958,63.61,21.613,14,47.206,"I",21.83,"Class3"
"X",24.096,12.511,23.603,83.287,90.275,21,76.526,"P",15.835,"Class4"
"N",39.577,59.012,44.816,26.815,71.637,89,38.009,"G",8.986,"Class2"
"H",87.933,57.263,43.638,8.118,64.702,92,26.834,"Q",27.406,"Class2"
"Q",23.45,6.218,22.451,60.947,82.159,7,76.894,"R",15.121,"Class4"
"Q",18.823,-6.931,22.042,72.591,74.877,12,80.161,"R",15.795,"Class4"
"I",17.895,19.857,23.935,54.328,88.14,8,75.723,"P",9.234,"Class4"
"H",61.794,33.237,50.069,30.65,72.244,85,NA,"G",75.644,"Class2"
"Z",90.902,31.797,58.247,45.553,54.898,93,52.121,"M",62.782,"Class1"
"P",66.653,21.07,27.004,86.473,26.163,14,47.398,"M",47.689,"Class3"
"G",95.663,30.55,48.618,49.019,59.516,86,52.105,"D",58.318,"Class1"
"G",86.484,29.984,47.131,48.154,59.093,48,51.215,"B",59.508,"Class1"
"H",88.215,30.742,55.078,46.485,63.89,49,50.108,"F",61.787,"Class1"
"K",18.696,34.576,22.452,119.875,83.972,NA,66.824,"P",10.872,"Class4"
"G",81.538,32.428,47.455,48.652,56.7,81,48.253,"M",56.522,"Class1"
"H",85.465,32.702,29.818,71.533,36.89,12,47.425,"Z",49.812,"Class3"
"P",83.722,62.073,23.105,75.663,43.293,14,47.843,"Z",10.219,"Class3"
"N",61.788,108.41,60.769,6.098,65.728,76,62.797,"I",9.782,"Class2"
"P",87.412,66.274,23.4,66.067,42.695,10,47.774,"Z",34.844,"Class3"
"K",8.465,15.1,22.304,94.805,93.211,9,81.259,"R",11.807,"Class4"
"X",6.308,30.549,23.737,66.802,87.949,19,81.201,"L",10.433,"Class4"
"M",73.397,43.423,19.592,78.93,28.819,14,47.437,"R",21.344,"Class3"
"G",43.077,74.462,51.448,32.609,66.045,90,55.662,"H",68.399,"Class2"
"H",81.413,41.507,16.094,53.805,42.657,12,47.257,"R",24.742,"Class3"
"D",86.72,31.433,45.662,47.168,60.421,67,39.393,"M",62.406,"Class1"
"H",69.657,62.285,45.36,-3.88,72.283,87,82.446,"C",10.482,"Class2"
"J",17.654,41.694,23.726,84.85,87.589,37,79.187,"J",11.978,"Class4"
"H",63.323,33.293,30.225,66.49,35.538,13,47.012,"H",21.604,"Class3"
"J",24.271,19.11,23.915,106.396,80.662,18,68.027,"L",13.83,"Class4"
"C",85.946,31.662,51.482,42.664,58.512,58,41.526,"F",61.326,"Class1"
"M",80.892,52.608,23.455,77.041,29.159,10,47.613,"H",10.482,"Class3"
"J",8.85,34.283,22.544,56.808,86.347,38,73.489,"C",16.418,"Class4"
"Z",91.139,29.53,45.962,47.698,60.734,72,38.215,"F",55.899,"Class1"
"R",45.737,18.095,14.923,66.029,22.405,15,47.866,"I",34.711,"Class3"
"H",84.672,18.279,48.636,66.72,70.802,95,83.08,"I",41.107,"Class2"
"G",77.603,54.733,45.694,42.222,65.003,93,42.148,"Q",39.683,"Class2"
"J",21.515,-24.84,23.474,47.803,84.411,19,67.445,"R",17.694,"Class4"
"H",85.442,31.668,63.446,46.136,62.626,56,42.943,"P",55.134,"Class1"
"H",66.436,53.292,53.234,45.931,68.585,89,NA,"I",19.589,"Class2"
"M",73.851,54.537,23.794,72.543,39.842,11,47.468,"I",10.989,"Class3"
"G",88.453,30.689,51.657,49.515,60.36,93,38.257,"F",56.747,"Class1"
"C",72.147,58.463,64.754,26.234,68.631,82,58.279,"Q",47.777,"Class2"
"C",88.763,30.93,51.044,46.587,57.252,48,40.762,"D",63.202,"Class1"
"H",72.767,48.579,22.178,65.343,35.929,12,47.089,"I",28.113,"Class3"
"K",10.644,-4.219,22.676,56.669,82.615,27,80.81,"C",12.669,"Class4"
"Z",86.247,31.532,50.095,47.53,59.324,NA,40.829,"F",65.28,"Class1"
"Q",18.751,18.467,24,44.678,90.269,11,73.534,"L",9.955,"Class4"
"M",82.32,62.129,16.807,52.718,41.625,10,47.476,"H",17.391,"Class3"
"H",57.909,36.09,17.844,68.175,32.233,13,47.17,"M",49.336,"Class3"
"X",16.696,45.683,22.457,64.277,75.515,35,66.408,"P",15.06,"Class4"
"C",85.041,31.615,50.104,44.738,62.422,56,41.183,"D",65.75,"Class1"
"A",71.708,14.263,49.569,28.98,66.43,92,23.282,"H",74.925,"Class2"
"D",87.706,31.908,51.303,46.11,59.082,78,51.838,"M",62.241,"Class1"
"Q",27.308,10.908,22.592,73.75,78.65,43,66.391,"R",11.573,"Class4"
"J",7.065,27.136,23.059,41.249,77.964,20,76.561,"R",13.629,"Class4"
"H",85.732,31.236,56.19,45.933,57.942,82,46.825,"P",62.942,"Class1"
"H",57.786,33.011,14.098,61.01,44.086,15,47.238,"Z",26.381,"Class3"
"E",61.075,21.759,19.506,63.012,28.859,12,47.358,"H",43.614,"Class3"
"M",52.137,52.454,24.661,54.253,48.927,12,47.244,"M",22.124,"Class3"
"X",6.668,26.931,22.546,56.422,84.434,30,NA,"L",17.679,"Class4"
"I",3.293,11.611,23.147,73.248,87.343,40,73.043,"P",14.024,"Class4"
"H",84.696,44.717,26.901,85.773,35.065,10,47.541,"M",25.198,"Class3"
"C",73.041,86.626,64.938,-6.57,69.475,75,44.924,"H",72.469,"Class2"
"I",25.571,30.336,22.382,39.214,87.429,17,76.092,"J",11.757,"Class4"
"H",73.633,28.005,30.352,73.519,28.487,15,47.26,"H",34.825,"Class3"
"A",58.404,62,49.988,41.479,68.947,77,29.324,"C",25.505,"Class2"
"X",8.778,36.725,23.199,74.137,96.342,17,75.343,"C",9.73,"Class4"
"H",76.532,66.954,66.434,57.405,68.585,75,61.179,"G",50.885,"Class2"
"J",16.858,30.019,22.118,86.825,87.509,40,72.015,"C",9.415,"Class4"
"R",84.034,41.809,24.833,78.267,35.856,11,NA,"M",36.446,"Class3"
"P",66.516,29.306,25.545,53.56,36.712,13,47.646,"H",39.315,"Class3"
"C",81.83,63.957,61.733,55.286,74.341,94,NA,"C",54.931,"Class2"
"I",7.365,24.913,22.449,59.914,90.865,40,70.379,"P",13.948,"Class4"
"I",22.558,42.922,23.673,72.485,79.982,39,76.551,"P",16.817,"Class4"
"R",90.751,44.989,29.046,70.722,50.146,NA,47.533,"H",19.993,"Class3"
