"TFB1","Output8","GTB2","OPN3","OFZ4","GOJ5","BHA6","GTQ7","VTN8","SAR9","RMY10"
"F","Class4",61,"U",58.315,37.603,26.927,44.92,53.926,45.566,64.844
"A","Class1",26,"M",57.335,89.57,29.853,54.788,10.129,90.992,62.224
"P","Class2",40,"I",77.855,50.227,50.252,38.111,44.643,34.44,60.86
"I","Class3",33,"E",48.859,11.785,53.285,51.675,95.384,83.795,40.153
"B","Class5",69,"H",54.452,27.614,16.483,54.31,62.425,12.371,30.051
"E","Class2",29,"J",77.269,19.982,66.612,19.922,32.913,40.146,55.195
"Q","Class2",29,"D",76.497,21.85,52.581,50.612,41.532,37.367,50.833
"B","Class5",68,"H",30.904,26.1,18.517,61.083,87.889,12.385,38.038
"N","Class4",56,"U",14.602,45.064,35.802,45.99,66.516,50.074,54.791
"T","Class4",30,"K",56.235,31.9,58.789,44.114,68.399,41.48,93.225
"I","Class5",71,"F",51.466,30.159,14.042,16.83,88.679,11.132,40.938
"N","Class4",62,"U",62.816,60.074,23.476,44.048,46.32,34.606,82.743
"J","Class3",35,"Y",59.288,10.448,55.248,52.272,88.634,81.371,26.588
"N","Class4",51,"H",43.826,65.891,47.766,46.174,51.907,48.168,62.774
"J","Class3",30,"I",56.753,10.664,36.497,81.447,93.305,79.518,37.749
"C","Class1",33,"C",52.953,90.919,27.664,62.174,13.181,92.042,62.313
"K","Class1",26,"M",64.48,91.414,26.963,44.639,9.401,91.574,65.659
"B","Class5",72,"Y",66.747,24.27,8.246,60.09,65.331,12.297,65.037
"A","Class1",5,"K",66.655,83.416,27.534,58.183,11.978,89.862,61.521
"F","Class4",55,"J",48.329,33.561,36.032,44.481,57.14,50.79,54.609
"T","Class4",64,"K",73.323,43.757,29.886,47.426,41.913,46.512,54.107
"X","Class2",38,"D",81.302,63.007,58.043,56.392,43.43,33.641,55.372
"P","Class3",34,"K",1.404,10.971,53.605,84.513,89.571,80.301,46.327
"I","Class3",34,"E",13.643,11.162,46.107,50.025,102.188,83.274,33.645
"K","Class1",15,"W",73.881,82.38,28.745,71.528,8.804,NA,61.465
"P","Class2",37,"J",70.821,4.171,49.175,35.591,40.066,30.995,79.664
"I","Class3",31,"E",96.935,11.637,51.567,90.873,97.113,73.709,44.305
"E","Class2",28,"K",47.502,71.807,54.062,38.764,36.949,23.065,84.985
"O","Class3",33,"Y",-15.802,11.016,56.843,89.068,98.02,79.295,41.796
"N","Class4",31,"J",45.261,47.043,41.233,50.326,69.448,44.96,90.298
"I","Class5",68,"I",42.131,25.473,8.469,35.755,84.67,12.466,45.032
"Q","Class2",29,"D",63.226,28.364,47.439,39.443,43.418,34.448,92.579
"P","Class3",33,"Y",-1.872,11.608,59.747,53.443,97.236,84.641,11.246
"B","Class4",32,"T",61.303,37.105,52.214,48.751,65.01,47.713,66.706
"B","Class4",48,"J",58.604,31.457,45.085,48.756,39.548,56.17,56.793
"Z","Class5",69,"I",39.107,25.193,5.333,65.863,78.068,11.155,43.954
"I","Class5",68,"F",59.155,27.307,9.27,62.872,59.21,12.289,57.757
"T","Class4",32,"H",91.169,65.333,60.921,47.782,68.318,61.932,64.135
"M","Class4",55,"K",21.937,27.071,46.899,47.041,43.601,48.455,68.93
"N","Class4",43,"K",42.525,23.188,57.521,46.354,68.971,48.449,66.213
"J","Class3",31,"K",6.953,11.246,58.238,86.997,100.411,NA,43.629
"Q","Class2",39,"D",86.909,2.91,51.955,21.845,43.008,20.489,42.729
"Q","Class2",36,"K",52.023,24.638,51.017,27.147,41.918,7.047,42.982
"X","Class2",31,"I",47.187,8.994,44.029,53.43,40.05,22.695,81.768
"D","Class3",33,"E",47.329,10.657,24.598,50.458,85.904,83.009,10.19
"H","Class2",27,"J",79.213,27.047,49.658,37.797,39.148,18.547,63.969
"U","Class5",69,"X",67.595,28.327,13.484,62.443,63.693,11.598,58.834
"O","Class3",33,"I",40.956,11.961,42.762,50.372,74.078,83.06,32.442
"Q","Class1",36,"Q",59.086,84.58,26.682,73.745,12.795,90.878,61.394
"P","Class2",26,"D",78.403,20.033,52.004,30.571,39.098,13.007,50.557
"M","Class4",47,"H",78.201,73.094,36.07,51.476,36.471,NA,95.797
"Z","Class5",69,"I",43.086,28.607,9.413,46.423,63.411,10.672,30.834
"X","Class2",27,"D",19.923,22.192,50.9,25.401,34.873,13.1,82.661
"C","Class1",40,"M",61.299,84.477,23.951,45.229,14.585,89.559,61.947
"O","Class3",32,"I",15.99,10.945,60.535,39.296,82.897,79.554,44.323
"K","Class1",25,"M",61.555,96.518,26.268,43.975,11.759,92.273,60.806
"P","Class3",31,"E",43.416,11.694,50.756,62.612,89.031,84.875,12.67
"H","Class1",8,"C",66.369,93.113,24.716,57.936,0.901,92.342,64.118
"P","Class3",30,"E",78.023,10.804,34.527,51.521,99.673,82.419,37.961
"M","Class4",42,"K",35.047,28.969,19.611,51.031,52.183,41.926,60.773
"K","Class1",29,"C",57.962,96.947,28.44,46.24,4.18,89.289,64.162
"F","Class4",51,"U",12.488,73.912,80.281,51.915,70.57,43.287,96.485
"D","Class3",31,"I",37.307,10.023,57.37,85.598,96.676,92.195,34.587
"B","Class4",36,"K",18.459,19.549,44.12,51.393,59.82,41.629,67.19
"O","Class3",31,"O",40.272,10.641,51.866,75.461,97.931,83.267,28.54
"B","Class5",71,"H",53.292,25.556,13.717,40.029,56.271,13.574,57.887
"Z","Class5",71,"X",24.698,25.553,21.833,24.891,70.344,NA,35.341
"L","Class5",68,"Y",51.51,29.774,12.136,21.192,65.292,10.768,52.499
"B","Class4",57,"J",6.36,54.412,53.361,44.317,63.143,49.973,60.553
"H","Class2",40,"D",66.214,11.006,54.744,50.268,39.655,27.638,82.957
"B","Class5",70,"X",42.72,29.679,10.768,50.837,66.044,10.797,68.837
"I","Class5",68,"F",31.47,30.184,13.982,39.568,45.196,9.197,63.621
"P","Class3",32,"I",-2.608,11.631,44.945,84.084,88.448,72.618,32.62
"I","Class3",32,"E",43.266,11.778,69.225,50.411,93.413,87.65,26.823
"B","Class5",70,"Y",52.517,28.842,12.932,39.552,73.752,NA,43.503
"K","Class1",4,"W",54.634,91.767,27.455,73.965,6.658,91.681,63.153
"J","Class3",31,"I",26.04,10.111,43.243,58.521,87.484,76.105,41.474
"F","Class4",59,"H",52.901,49.257,57.666,48.876,50.741,42.643,77.619
"O","Class3",35,"I",12.681,10.332,48.74,82.34,81.638,83.206,20.145
"X","Class2",30,"A",61.034,34.478,52.474,48.231,47.836,20.248,89.531
"K","Class1",12,"Q",59.805,96.857,31.339,67.762,8.18,92.823,63.813
"P","Class3",32,"Y",56.626,10.308,66.159,70.026,99.634,84.609,32.731
"B","Class4",35,"T",75.102,50.409,33.961,47.269,76.16,53.225,63.246
"C","Class1",6,"W",65.907,90.015,26.804,73.417,1.719,91.435,61.623
"I","Class3",33,"Y",39.264,11.815,28.9,86.086,96.771,90.134,12.331
"H","Class2",33,"I",64.841,21.87,46.805,52.768,41.349,26.336,60.101
"D","Class3",32,"K",11.325,10.672,29.804,42.714,87.066,76.019,12.786
"F","Class4",32,"U",81.634,48.467,57.388,51.295,59.778,43.706,66.886
"I","Class5",71,"Y",24.69,29.295,15.169,70.263,82.399,12.261,48.772
"D","Class3",34,"E",85.683,11.322,20.34,92.759,81.32,95.812,18.053
"M","Class4",43,"K",57.361,53.499,43.237,51.079,63.341,39.904,78.502
"J","Class3",32,"I",32.158,10.68,52.627,31.856,93.649,75.826,16.971
"B","Class5",69,"I",38.644,26.513,14.752,42.579,74.469,10.773,34.155
"J","Class3",33,"E",-8.781,10.68,NA,60.819,84.22,76.775,35.358
"Q","Class1",22,"K",61.824,95.167,27.581,55.577,0.477,91.891,63.861
"H","Class2",28,"I",89.337,19.559,64.98,34.43,43.07,-2.006,71.822
"D","Class3",34,"Y",42.43,10.506,62.306,92.548,87.229,87.552,17.441
"D","Class3",33,"Y",35.604,10.196,67.246,47.048,94.441,81.063,13.535
"Z","Class5",71,"X",32.414,30.824,15.768,71.046,89.812,12.616,42.569
"F","Class4",45,"K",32.692,70.768,39.964,44.265,36.075,43.622,63.398
"D","Class3",33,"I",26.858,11.26,52.648,74.073,85.676,82.128,13.695
"Q","Class2",37,"D",44.296,34.293,59.927,38.414,40.141,34.946,66.736
"E","Class2",34,"K",77.563,30.73,NA,50.534,46.843,31.752,86.024
"F","Class4",55,"T",60.919,62.706,29.357,48.793,46.138,41.947,79.591
"B","Class4",54,"J",50.632,16.699,36.961,45.315,44.111,NA,56.555
"J","Class3",30,"Y",11.278,10.931,52.082,81.897,103.044,77.555,24.594
"C","Class1",36,"K",51.412,96.632,27.557,43.585,0.291,91.099,64.212
"I","Class3",34,"E",44.792,10.488,52.715,85.393,89.277,84.788,21.795
"Q","Class1",33,"Q",67.994,91.553,30.281,63.379,7.719,92.582,67.234
"P","Class2",27,"K",78.86,68.029,47.261,30.317,43.184,19.582,44.184
"H","Class1",8,"C",67.096,88.211,28.293,65.962,8.496,91.113,60.879
"B","Class5",68,"H",46.454,26.405,10.717,62.477,71.009,10.754,44.146
"T","Class4",30,"K",65.885,39.374,23.275,48.956,48.109,40.961,86.908
"J","Class3",31,"Y",16.706,10.253,55.596,33.476,97.035,87.713,31.983
"C","Class1",35,"M",58.817,82.452,26.875,71.118,4.681,92.231,61.711
"O","Class3",31,"O",34.132,10.225,37.712,62.259,92.747,84.097,10.271
"M","Class4",60,"U",10.701,43.555,NA,50.335,52.524,51.371,82.837
"P","Class2",34,"D",41.194,61.806,42.461,19.197,39.1,26.714,77.968
"C","Class1",20,"M",60.071,84.547,27.886,69.997,15.207,91.229,64.267
"P","Class3",32,"K",32.227,11.945,35.479,75.786,93.048,79.601,26.168
"X","Class2",34,"K",89.089,39.783,53.422,25.457,45.686,30.442,66.357
"N","Class4",46,"T",63.691,65.301,29.758,48.579,54.46,46.656,81.659
"L","Class5",68,"F",30.869,25.486,11.797,55.273,67.845,11.784,47.88
"Q","Class1",7,"C",61.86,95.101,28.669,72.082,7.128,93.463,60.966
"N","Class4",45,"H",49.558,85.979,34.088,44.542,54.935,41.965,77.154
"Z","Class5",71,"H",53.469,29.462,8.009,46.314,88.921,12.519,50.158
"T","Class4",52,"K",99.29,36.789,NA,44.591,44.86,46.903,73.145
"N","Class4",57,"J",21.017,31.201,45.65,49.009,48.537,52.652,79.723
"P","Class3",35,"E",29.496,11.412,67.526,89.214,101.539,83.08,14.02
"H","Class1",37,"K",59.835,92.218,29.506,43.924,5.817,93.446,67.721
"C","Class1",34,"M",62.989,85.504,27.467,51.148,10.771,92.678,66.102
"H","Class1",20,"W",61.093,85.428,25.119,64.981,9.427,89.913,63.654
"D","Class3",33,"Y",2.921,11.918,36.582,70.143,81.204,80.507,21.678
"Q","Class1",3,"M",62.345,92.356,26.139,69.201,4.805,92.514,65.365
"T","Class4",45,"K",58.393,59.631,39.449,44.971,39.521,48.1,83.607
"H","Class1",20,"Q",65.251,89.933,29.345,43.133,9.399,92.428,63.15
"U","Class5",68,"H",46.227,27.96,15.895,7.969,78.34,11.187,39.281
"Z","Class5",68,"X",51.425,28.357,10.264,68.558,75.524,8.591,35.833
"E","Class2",33,"A",50.854,22.229,47.201,27.874,33.342,38.478,83.196
"F","Class4",46,"K",70.972,69.351,58.55,51.292,57.128,45.435,77.209
"D","Class3",33,"Y",23.393,10.974,27.95,76.543,100.859,81.712,29.476
"M","Class4",45,"T",61.459,61.102,24.419,50.35,50.304,57.856,61.613
"T","Class4",41,"K",47.153,14.543,36.786,48.2,59.282,33.172,59.192
"P","Class3",32,"E",30.958,11.194,62.386,81.151,80.647,81.701,44.37
"H","Class1",40,"W",64.696,82.38,26.644,66.78,10.675,92.471,66.469
"O","Class3",30,"I",31.101,11.134,66.422,61.381,94.085,90.499,10.313
"M","Class4",35,"J",23.987,24.2,32.684,46.618,79.614,42.534,84.009
"E","Class2",34,"I",79.941,4.648,55.439,16.772,40.126,18.34,94.691
"H","Class1",15,"K",58.621,92.24,25.192,52.433,12.18,91.527,62.033
"O","Class3",33,"Y",36.971,10.78,57.902,84.8,83.126,78.619,18.224
"B","Class5",69,"Y",60.86,29.87,15.469,45.773,67.598,11.038,51.909
"H","Class1",18,"C",59.689,93.313,24.631,46.175,20.22,91.7,64.808
"M","Class4",37,"H",56.674,17.037,72.323,51.924,56.718,42.018,71.531
"H","Class1",37,"M",65.565,90.712,25.703,70.974,9.883,91.222,64.765
"I","Class5",68,"X",35.19,27.592,13.828,29.624,64.508,9.977,44.625
"P","Class3",30,"Y",27.856,10.349,55.06,76.056,90.605,80.53,38.265
"D","Class3",35,"E",54.259,10.338,39.972,74.932,101.329,84.453,15.094
"H","Class2",27,"A",80.069,14.4,67.095,50.998,32.537,21.458,93.309
"P","Class3",33,"Y",-11.159,11.215,80.035,47.17,82.943,81.697,34.414
"L","Class5",72,"I",25.754,28.168,8.943,41.59,92.549,11.051,30.406
"K","Class1",21,"C",57.07,96.671,28.59,48.779,9.363,92.029,64.286
"H","Class2",40,"I",69.769,64.078,52.575,18.48,27.215,39.68,85.458
"A","Class1",12,"Q",65.058,83.254,NA,69.313,9.023,91.881,65.017
"U","Class5",72,"Y",62.43,24.918,11.58,18.569,71.088,8.726,35.429
"A","Class1",14,"W",61.338,89.556,29.192,66.401,10.563,93.886,64.141
"C","Class1",5,"M",63.467,83.314,26.068,45.193,12.974,90.727,63.172
"P","Class2",38,"J",67.788,32.87,51.977,37.157,38.367,23.877,87.084
"Q","Class1",38,"Q",62.289,82.588,29.074,45.303,7.078,91.364,63.772
"F","Class4",37,"H",55.355,49.824,53.361,47.284,61.625,42.96,55.369
"H","Class1",38,"Q",57.492,88.93,29.69,60.5,14.55,90.813,64.594
"M","Class4",30,"H",61.147,19.345,81.248,48.31,59.968,36.569,73.374
"X","Class2",40,"I",83.252,37.065,56.368,52.106,34.952,18.356,80.937
"I","Class3",30,"O",63.211,11.472,74.932,85.221,83.668,78.38,10.53
"H","Class1",27,"K",64.296,82.265,29.147,50.26,4.654,91.804,65.286
"H","Class2",36,"J",71.889,67.899,55.668,37.418,38.196,24.718,48.529
"L","Class5",68,"F",25.508,28.961,5.522,21.355,69.848,10.304,63.357
"H","Class2",32,"D",72.472,43.031,71.872,16.235,32.299,17.435,55.638
"B","Class5",69,"I",45.967,30.877,4.019,46.02,78.496,11.616,36.44
"E","Class2",28,"A",80.528,28.428,51.754,46.387,42.146,37.283,89.175
"X","Class2",40,"A",71.51,59.429,46.053,32.104,49.297,39.968,57.828
"B","Class4",54,"J",39.268,67.926,NA,50.65,52.429,30.466,52.294
"M","Class4",50,"T",69.759,71.721,32.805,46.124,64.584,46.224,62.479
"I","Class5",68,"F",32.721,27.483,9.578,52.757,80.258,14.016,39.995
"I","Class3",34,"O",31.889,11.401,37.155,39.626,81.621,93.527,27.773
"K","Class1",7,"M",59.143,84.914,28.955,49.952,10.054,92.065,62.869
"B","Class4",35,"K",79.073,16.35,41.599,49.509,44.834,36.768,62.214
"B","Class4",58,"J",41.9,34.941,43.259,48.884,41.865,44.423,89.003
"I","Class3",30,"O",68.089,11.81,38.619,76.234,87.749,77.113,46.42
"T","Class4",35,"H",60.463,84.062,33.597,50.831,58.956,35.478,84.163
"L","Class5",68,"I",24.526,24.189,7.994,35.791,64.021,9.031,51.226
"B","Class4",48,"T",50.271,52.968,36.362,46.632,49.502,40.976,80.816
"C","Class1",11,"W",66.829,90.7,23.214,47.267,8.57,92.088,60.358
"Z","Class5",71,"H",48.909,24.663,10.066,71.403,64.651,12.477,49.686
"L","Class5",69,"H",34.491,30.944,14.773,18.088,72.238,12.703,52.924
"D","Class3",30,"E",20.226,11.429,62.684,77.784,89.249,NA,26.723
"H","Class2",37,"I",75.098,27.021,NA,15.923,43.473,23.189,92.323
"B","Class4",51,"T",47.472,49.189,53.708,46.304,54.464,47.968,79.541
"K","Class1",22,"C",61.866,87.794,29.008,74.038,8.613,92.353,66.477
"D","Class3",30,"Y",74.556,10.696,35.401,65.693,77.901,81.118,16.08
"M","Class4",43,"H",59.426,58.705,14.4,47.588,70.002,34.717,63.343
"K","Class1",14,"W",63.556,96.624,27.627,64.231,3.068,91.381,61.866
"J","Class3",30,"K",43.435,10.271,27.68,82.125,91.362,81.247,15.036
"B","Class5",71,"I",72.551,30.842,20.684,40.174,87.977,12.075,32.63
"B","Class4",54,"U",42.858,64.435,41.203,47.63,57.606,NA,53.017
"E","Class2",36,"J",68.368,45.882,57.248,54.155,42.02,42.813,76.071
"L","Class5",72,"X",33.824,25.466,13.823,60.151,70.025,12.574,39.877
"P","Class3",31,"E",-13.753,11.516,49.708,92.464,76.578,77.743,36.304
"U","Class5",70,"F",54.774,30.748,NA,48.805,61.923,12.343,45.289
"I","Class3",32,"K",-10.074,10.907,38.145,38.14,92.845,83.472,32.58
"I","Class5",70,"X",29.146,25.566,5.717,51.846,94.366,12.662,66.635
"I","Class3",30,"Y",49.051,11.256,76.353,36.622,80.866,91.09,34.653
"H","Class2",27,"I",67.108,7.995,41.29,18.471,36.295,30.287,50.187
"I","Class5",72,"X",45.36,24.278,NA,69.83,72.339,12.562,47.637
"O","Class3",35,"E",22.799,11.674,27.864,67.009,93.974,81.89,45.389
"L","Class5",69,"H",62.752,29.092,11.963,65.748,84.419,13.124,38.031
"H","Class2",36,"J",61.485,45.464,67.867,30.27,44.224,26.353,41.884
"A","Class1",19,"K",67.104,86.042,29.12,47.862,3.505,92.088,64.017
"N","Class4",63,"K",60.175,12.144,69.261,50.787,63.645,38.903,81.774
"U","Class5",69,"F",16.416,28.779,6.51,74.778,60.905,13.227,66.483
"F","Class4",32,"U",26.59,85.294,71.735,51.422,59.076,40.658,54.658
"Z","Class5",69,"H",21.604,27.49,7.394,6.835,83.919,12.567,63.404
"Q","Class1",25,"M",63.912,83.872,30.004,57.035,7.931,90.91,60.682
"L","Class5",71,"F",82.571,27.316,5.556,72.833,74.68,8.361,35.153
"A","Class1",27,"K",63.08,92.917,NA,65.135,8.817,90.982,61.92
"D","Class3",34,"O",14.054,11.937,30.062,56.147,81.359,79.856,10.981
"F","Class4",41,"U",20.131,51.212,82.327,48.802,58.969,53.718,86.211
"I","Class3",32,"E",38.187,11.641,37.565,86.379,95.73,83.223,32.893
"I","Class5",69,"Y",40.143,24.449,13.766,72.822,67.539,9.879,46.274
"U","Class5",72,"Y",33.012,30.204,7.175,56.495,73.201,12.831,38.962
"J","Class3",32,"O",55.396,11.395,36.375,35.306,89.677,78.92,17.121
"H","Class1",5,"C",64.397,94.125,31.442,61.392,7.814,89.438,62.7
"U","Class5",72,"F",51.021,28.699,9.972,73.422,89.455,12.517,41.377
"L","Class5",68,"I",47.414,28.19,13.34,11.431,77.096,14.512,48.463
"U","Class5",71,"H",63.265,24.724,14.944,46.431,73.884,13.252,65.931
"I","Class3",33,"E",24.485,10.417,51.53,39.496,83.554,86.516,42.605
"M","Class4",42,"H",47.263,55.847,47.572,50.654,51.46,46.767,67.648
"H","Class2",28,"J",55.047,7.232,55.853,39.662,38.28,35.93,89.083
"T","Class4",31,"H",49.093,42.134,NA,47.586,73.102,42.951,85.229
"Q","Class2",40,"J",61.191,47.457,57.077,55.776,41.722,38.734,65.967
"H","Class2",33,"I",69.74,69.003,46.302,37.21,42.581,45.595,52.125
"M","Class4",51,"K",17.615,69.799,34.642,51.852,53.954,41.804,52.295
"K","Class1",7,"K",66.469,84.791,27.574,57.583,6.473,91.11,67.427
"A","Class1",32,"M",58.624,92.419,30.498,66.486,11.39,90.636,63.288
"N","Class4",33,"J",78.884,56.784,12.828,48.016,42.755,60.991,56.235
"P","Class2",27,"K",65.25,8.715,NA,21.849,41.966,26.702,62.676
"Q","Class1",12,"W",60.005,89.28,29.551,53.089,7.852,91.23,62.116
"I","Class5",71,"X",17.151,28.112,10.43,33.906,74.554,11.649,37.993
"Q","Class1",31,"C",67.204,86.745,29.483,49.052,9.948,89.292,62.56
"I","Class5",70,"Y",32.342,24.511,13.4,20.888,54.948,11.853,42.032
"J","Class3",35,"Y",30.51,10.732,68.397,34.966,91.89,93.645,35.347
"Q","Class1",23,"W",65.32,90.144,26.559,58.376,7.624,91.897,60.86
"Q","Class1",27,"M",62.823,96.411,30.282,68.842,7.116,91.846,65.719
"H","Class1",20,"C",63.129,94.959,27.02,48.84,10.08,91.412,61.592
"B","Class5",68,"Y",60.239,25.642,11.092,41.958,80.5,10.04,41.625
"H","Class1",10,"C",58.043,85.255,26.399,70.374,7.093,92.701,62.26
"C","Class1",9,"M",62.595,90.298,29.878,57.229,13.132,92.615,63.916
"B","Class5",70,"H",33.137,27.635,12.633,43.781,81.853,12.398,63.025
"H","Class2",31,"I",71.623,7.549,52.602,48.54,33.144,39.418,61.208
"N","Class4",35,"H",87.541,40.63,42.944,51.033,63.588,40.258,56.003
"F","Class4",57,"T",43.715,52.094,49.237,49.372,56.948,48.466,89.47
"Q","Class2",33,"A",64.86,64.268,53.427,26.041,39.856,42.788,62.953
"C","Class1",12,"M",59.648,94.506,28.633,59.642,8.565,91.005,60.97
"X","Class2",34,"K",62.154,70.662,NA,20.081,35.581,21.211,76.423
"H","Class2",29,"I",59.349,15.629,63.052,45.697,30.546,27.848,41.464
"N","Class4",30,"T",41.858,8.136,NA,48.827,62.721,NA,68.333
"M","Class4",62,"K",70.346,74.174,5.603,49.557,71.54,30.843,73.038
"X","Class2",31,"J",73.813,15.149,48.631,19.83,35.504,38.836,89.528
"Z","Class5",72,"I",61.788,30.242,19.091,66.037,63.983,9.392,52.491
"P","Class2",39,"K",58.75,38.645,51.423,32.534,39.085,23.103,52.228
"P","Class3",33,"I",35.21,10.941,55.147,66.175,78.767,84.232,43.338
"L","Class5",69,"X",55.893,24.782,13.288,8.457,53.204,9.444,38.309
"B","Class4",30,"U",124.098,11.237,82.05,45.066,53.958,46.798,74.324
"U","Class5",70,"F",41.961,29.141,6.426,48.821,78.218,14.239,36.333
"X","Class2",34,"A",104.34,62.465,57.67,15.74,46.023,29.408,57.39
"K","Class1",18,"W",58.866,83.855,30.763,66.105,6.849,93.368,62.675
"N","Class4",33,"H",75.122,43.805,14.51,44.295,43.319,30.055,95.703
"B","Class4",47,"J",29.022,75.941,55.437,51.245,38.9,42.366,89.66
"N","Class4",34,"U",60.343,75.732,50.322,50.57,56.524,43.439,88.004
"L","Class5",68,"H",23.881,26.594,13.193,27.149,63.984,10.665,64.665
"T","Class4",57,"J",48.862,71.673,9.479,49.991,53.705,43.822,81.207
"Z","Class5",72,"H",40.626,24.18,9.724,48.19,65.619,10.81,67.809
"T","Class4",40,"J",70.16,73.376,22.617,45.768,54.481,46.353,57.965
"O","Class3",31,"E",46.312,10.794,34.07,54.897,89.895,82.428,13.279
"Q","Class1",28,"Q",58.267,88.383,28.689,51.717,0.009,90.984,66.523
"C","Class1",25,"M",58.666,93.441,29.833,57.231,0.858,92.021,64.119
"I","Class5",72,"I",62.542,28.651,14.065,71.485,59.35,9.982,48.724
"U","Class5",70,"F",46.673,25.764,5.65,45.664,70.113,11.222,67.218
"I","Class5",70,"Y",26.215,28.417,14.37,53.684,58.436,11.45,67.911
"A","Class1",17,"W",72.987,83.588,27.082,63.283,13.703,89.709,63.195
"I","Class5",72,"I",45.425,29.049,12.806,55.533,81.866,10.933,67.226
"H","Class2",38,"A",89.596,5.653,59.804,16.99,30.846,34.166,47.423
"P","Class3",30,"O",61.325,10.591,68.414,32.984,91.165,92.684,11.178
"Q","Class2",31,"I",66.952,41.015,54.811,32.608,42.255,15.475,93.584
"L","Class5",70,"I",31.872,24.814,11.51,48.986,65.544,8.699,43.259
"A","Class1",15,"W",55.044,93.399,26.574,65.986,13.797,91.447,60.563
"O","Class3",34,"O",28.428,11.092,56.287,43.137,95.315,87.073,31.829
"E","Class2",33,"J",82.357,56.807,57.45,46.94,36.722,26.287,47.607
"H","Class2",35,"A",74.231,22.178,42.299,51.732,38.629,16.345,42.87
"J","Class3",32,"K",41.817,11.918,61.157,50.193,87.355,85.54,25.622
"P","Class3",32,"Y",31.533,11.425,27.238,46.634,92.293,80.324,13.207
"U","Class5",72,"X",47.663,29.348,11.599,62.038,69.95,14.097,59.935
"K","Class1",40,"C",58.221,87.714,27.687,56.84,11.359,92.999,67.07
"Q","Class1",26,"Q",52.349,91.88,NA,59.986,13.036,91.343,63.78
"K","Class1",30,"W",56.444,92.56,29.461,57.043,3.491,88.656,64.231
"X","Class2",33,"J",83.671,13.591,51.098,41.881,30.53,14.413,89.241
"H","Class1",20,"C",52.417,85.242,25.215,45.949,9.954,91.371,62.436
"A","Class1",26,"M",58.733,95.347,27.063,62.318,7.857,91.444,62.817
"Q","Class1",13,"K",61.041,83.729,28.948,47.427,9.996,NA,60.674
"I","Class5",71,"F",35.481,27.909,10.984,9.625,65.649,11.294,33.991
"I","Class3",33,"Y",57.053,11.873,49.539,40.552,93.298,85.628,16.335
"L","Class5",68,"I",61.493,27.133,4.392,54.591,70.549,9.91,41.534
"D","Class3",33,"E",5.824,10.36,38.913,59.504,92.416,76.25,29.236
"H","Class1",6,"W",64.076,87.501,25.392,74.764,4.29,92.743,63.212
"T","Class4",48,"H",79.578,44.742,-0.111,46.538,36.862,42.27,80.749
"C","Class1",16,"Q",60.159,85.824,28.968,59.374,10.992,89.801,64.464
"A","Class1",8,"K",62.648,83.095,27.212,44.289,15.119,92.553,66.346
"L","Class5",72,"Y",45.628,27.117,9.813,6.026,71.807,NA,47.679
"N","Class4",47,"H",30.216,68.169,71.786,45.734,42.305,44.476,86.716
"Z","Class5",68,"X",40.487,26.785,NA,32.322,90.641,10.772,36.451
"F","Class4",46,"H",39.314,29.616,48.057,50.065,74.221,54.621,75.426
"I","Class3",34,"I",38.013,10.746,38.249,64.608,97.576,86.158,18.799
"U","Class5",71,"H",46.919,26.806,12.625,8.58,77.548,NA,68.33
"Q","Class2",33,"J",82.049,22.421,53.778,40.19,45.981,29.184,91.153
"D","Class3",35,"K",82.622,11.416,42.015,42.909,99.793,83.42,23.798
"N","Class4",34,"T",57.622,71.374,48.372,47.626,41.921,41.514,80.712
"M","Class4",47,"H",70.096,60.026,32.951,49.173,26.31,45.111,88.803
"N","Class4",49,"K",43.641,27.809,25.586,49.784,66.47,38.376,96.093
"Q","Class2",36,"I",61.039,21.351,42.249,25.006,36.992,20.546,71.095
"H","Class2",33,"I",66.474,48.653,60.365,36.089,43.815,36.744,67.214
"E","Class2",39,"I",75.594,61.822,58.158,28.827,31.805,21.984,66.8
"L","Class5",70,"X",33.206,24.43,12.273,65.99,78.909,12.758,42.577
"P","Class3",31,"I",-11.35,11.117,23.519,66.434,75.692,88.231,31.643
"P","Class3",32,"E",54.379,11.239,50.209,60.231,89.07,86.795,23.399
"I","Class5",71,"Y",53.234,27.67,7.837,28.675,73.656,9.834,66.914
"I","Class5",72,"Y",23.725,26.633,14.073,24.859,86.29,12.105,67.025
"I","Class5",69,"I",33.048,30.734,10.014,68.129,80.186,9.143,59.564
"N","Class4",56,"U",49.065,11.77,7.526,48.517,44.067,30.754,88.352
"F","Class4",46,"H",59.941,37.848,96.179,47.106,34.081,43.071,74.349
"N","Class4",58,"T",47.24,68.256,40.467,48.563,63.687,43.502,61.047
"A","Class1",10,"Q",65.307,86.693,NA,52.395,11.799,90.928,65.04
"K","Class1",11,"M",67.789,91.836,26.564,60.37,14.106,92.517,63.051
"E","Class2",34,"K",84.212,5.64,60.846,48.494,29.698,20.985,93.107
"B","Class5",72,"Y",71.152,26.191,14.293,54.239,69.517,9.968,37.003
"Z","Class5",72,"X",60.008,24.09,NA,33.269,79.025,11.039,43.49
"Q","Class1",35,"Q",61.322,84.943,26.188,53.494,9.428,91.516,60.347
"F","Class4",37,"H",61.879,79.003,25.61,51.107,39.209,62.863,56.264
